"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"XKX8","16-January-2018",2018,"Violence against civilians","Attack","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","SDP: Social Democratic Party of Serbia","Europe","Kosovo","Mitrovica","North Mitrovica","","North Mitrovica",42.895,20.865,"Intellinews","International","On the morning of January 16, prominent Kosovan Serb leader Oliver Ivanovic was shot six times and killed during a drive-by outside the SDP HQ (of which Ivanovic was a member) in Kosovo's northern town known as North Mitrovica [Albanian] or Kosovska Mitrovica [Serb]. Reports claim that the gunman is from the criminal group of Milan Radojcic, a prominent regional mafia boss, although Kosovan police have denied reports that Radojcic's group was involved. The attack raised political tensions between Serb and [Albanian] Kosovar politicians.",1
"XKX17","05-March-2018",2018,"Violence against civilians","Attack","Unidentified Armed Group (Kosovo)","Serbian Ethnic Group (Kosovo)","Civilians (Kosovo)","Albanian Ethnic Group (Kosovo)","Europe","Kosovo","Mitrovica","North Mitrovica","","North Mitrovica",42.895,20.865,"UNMIK","National","On March 5, 2018 in North Mitrovica, Kosovo an Albanian teenager was beaten by a group of Serbian youth, called 'KM-Forte'. The teenager was taken to a hospital.",0
"XKX23","20-March-2018",2018,"Violence against civilians","Attack","Unidentified Armed Group (Kosovo)","Albanian Ethnic Group (Kosovo)","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Peja","Istog","","Donji Dragoljevac",42.761,20.49,"KoSSev","National","On March 20, 2018 in Dragoljevac, Kosovo, a Serbian returnee was severely beaten up by his Albanian neighbors, allegedly over property issues. This has been seen in the Serbian public as an attempt of intimidation of potential Serbian returnees.",0
"XKX24","21-March-2018",2018,"Violence against civilians","Attack","LV: Self-Determination","","Civilians (Kosovo)","Government of Kosovo (2017-2020)","Europe","Kosovo","Pristina","Pristina","","Pristina",42.667,21.172,"AFP","International","On March 21, 2018 in Pristina, Kosovo, tear gas was repeatedly released in the Parliament during the vote on the border agreement with Montenegro, causing evacuation. MPs from the Vetevenndosje (Self-determination) opposition party were arrested after the police search.",0
"XKX27","26-March-2018",2018,"Violence against civilians","Attack","Police Forces of Kosovo (2017-2020)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo); Government of Serbia (2017-)","Europe","Kosovo","Mitrovica","North Mitrovica","","North Mitrovica",42.895,20.865,"RTK; AP; Politika; Local Source","Subnational-National","On March 26, 2018, Kosovo police arrested the Director of the Serbian Government Office for Kosovo Marko Djuric, who was attending a roundtable in North Mitrovica. Djuric was arrested for illegal entry into Kosovo.It was reported that the police has beaten Djuric, and injured around 30 roundtable participants and reporters during the arrest.",0
"XKX35","20-April-2018",2018,"Violence against civilians","Attack","Unidentified Armed Group (Kosovo)","Albanian Ethnic Group (Kosovo)","Civilians (Kosovo)","Journalists (Kosovo); Women (Kosovo)","Europe","Kosovo","Mitrovica","North Mitrovica","","North Mitrovica",42.895,20.865,"Vecernje Novosti","Regional","As reported on April 20, 2018, female journalists on Serbian Pink TV were assaulted by an unknown perpetrator of reportedly Albanian ethnicity in North Mitrovica, Kosovo.",0
"XKX48","31-May-2018",2018,"Violence against civilians","Attack","Unidentified Armed Group (Kosovo)","Albanian Ethnic Group (Kosovo)","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo); Orthodox Christian Group (Kosovo)","Europe","Kosovo","Peja","Istog","","Zhaq",42.706,20.502,"Balkan Insight","Regional","As reported on May 31, 2018, a Serbian Orthodox priest and his family were assaulted in Zac, Kosovo in what the media deemed to be ethnically motivated act of violence. Kosovo police, however, said that the attack was merely verbal.",0
"XKX52","12-June-2018",2018,"Violence against civilians","Attack","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Journalists (Kosovo)","Europe","Kosovo","Pristina","Pristina","","Pristina",42.667,21.172,"UNMIK","National","On June 12, 2018 in Pristina, Kosovo, Valon Rashiti, a reporter for T7 was attacked, which caused him head injuries.",0
"XKX57","25-June-2018",2018,"Violence against civilians","Attack","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Pristina","Gracanica","","Suhodoll",42.547,21.106,"Tanjug","Regional","On June 25, 2018 in Serb-majority Suvi Dol, Kosovo, a Serbian man was beaten and shot. The attack was perceived by the Serbian political representatives and the media as being ethnically motivated, and as a message to Serbian returnees that they are not welcome in Kosovo.",0
"XKX60","04-July-2018",2018,"Violence against civilians","Attack","Unidentified Armed Group (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo)","Europe","Kosovo","Mitrovica","Vushtrri","","Prelluzhe",42.733,21.026,"Local Source; B92.net","Subnational-Regional","On July 4, 2018 in Priluzje village in Kosovo a Serbian man was stabbed and seriously wounded.",0
