"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"XKX40","28-May-2018",2018,"Riots","Mob violence","Rioters (Kosovo)","","Civilians (Kosovo)","Serbian Ethnic Group (Kosovo); Health Workers (Kosovo)","Europe","Kosovo","Pristina","Gracanica","","Suhodoll",42.547,21.106,"B92.net","Regional","On May 28, 2018 a local healthcare facility in Suhodoll, Kosovo, was pelted with stones in an alleged attempt by Albanians to prevent Serbs to access to healthcare, according to the facility's director and Serbian media.",0
"AFG54303","08-May-2021",2021,"Riots","Mob violence","Rioters (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"GardaWorld; AP; AFP","Other-International","On 8 May 2021, ambulance workers were beaten by an angry crowd near the Sayed-ul-Shuhada High School Dasht-e-Barchi neighborhood of PD 13 of the city of Kabul following a series of bombings that left many school children dead. The health workers were attempting to take the injured to the hospital when they were attacked by a crowd of onlookers. [size=no report]",0
"ALG556","30-May-2001",2001,"Riots","Violent demonstration","Rioters (Algeria)","Berber Ethnic Group (Algeria); Health Workers (Algeria)","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Tizi Ouzou","Tizi Ouzou","","Tizi Ouzou",36.712,4.046,"AP","International","Thousands of doctors, nurses and medical workers marched in Tizi Ouzou over the security forces handling of unrest in the region, specifically violence against demonstrators and rioters. Some clashes between police and protesters were reported at the end of the march.",0
"ALG5130","12-February-2018",2018,"Riots","Violent demonstration","Rioters (Algeria)","CAMRA: Autonomous Medical Residents Collective; PT: Workers Party; Health Workers (Algeria)","Police Forces of Algeria (1999-2019)","","Northern Africa","Algeria","Alger","","","Algiers",36.752,3.042,"AFP; Maghreb Emergent","Regional-International","Some 1,000 striking trainee doctors protested on the streets of Algeria's capital to demand the scrapping of compulsory public service in defiance of a ban on protests in the city. One of the protests which ended at the central post office was joined by activists from the workers party. There they lightly clashed with police forces.",0
"ALG5530","27-October-2018",2018,"Riots","Mob violence","Rioters (Algeria)","","Civilians (Algeria)","Health Workers (Algeria)","Northern Africa","Algeria","Skikda","Skikda","","Skikda",36.879,6.907,"El Watan (Algeria)","National","On Oct 27, a number of residents from the 'Lac des oiseaux' impoverished area, located just south of Skikda, tried to force entry into the Abderrezak Bouhara hospital in protest at being excluded from housing beneficiary lists.",0
"ALG8946","13-July-2020",2020,"Riots","Mob violence","Rioters (Algeria)","","Civilians (Algeria)","Health Workers (Algeria)","Northern Africa","Algeria","Bouira","Bouira","","Bouira",36.38,3.901,"El Watan (Algeria); Liberte (Algeria)","National","Around 13 July 2020, around thirty people attacked personnel and destroyed equipment at the hospital in Bouira (Bouira) while trying to take out the body of a patient who had died from coronavirus. The director of the hospital was injured during the incident. [size=around 30]",0
"ANG3509","02-June-2021",2021,"Riots","Mob violence","Rioters (Angola)","","Civilians (Angola)","Health Workers (Angola)","Middle Africa","Angola","Luanda","Viana","Viana Sede","Viana",-8.902,13.372,"24 Horas","National","Around 2 June 2021 (as reported), friends and family of a coronavirus victim attacked and injured a doctor inside a hospital in Viana (Vianda, Luanda) as the group demanded answers the man's death. The group also marched to the Health Ministry. [size=no report]",0
"ARG4668","29-May-2018",2018,"Riots","Violent demonstration","Rioters (Argentina)","Health Workers (Argentina); Teachers (Argentina)","Police Forces of Argentina (2015-2019)","","South America","Argentina","Chubut","Biedma","","Puerto Madryn",-42.767,-65.036,"Diario Jornada; Diario El Chubut","Subnational","On 29 May 2018, in Puerto Madryn (Chubut), teachers and health workers held a demonstration calling for the implementation of parity payments, reinstatement of social projects, and better working conditions. The event took place in the aftermath of an official housing delivery, in which the Governor was present. Demonstrators attempted to stand in the way of the politician's car, which led police officers to intervene. A person was arrested and later released. [size=no report]",0
"ARG51","17-January-2019",2019,"Riots","Violent demonstration","Rioters (Argentina)","Prisoners (Argentina)","Police Forces of Argentina (2015-2019) Prison Guards","Civilians (Argentina); Health Workers (Argentina)","South America","Argentina","Buenos Aires","San Nicolas","","San Nicolas de Los Arroyos",-33.33,-60.214,"El Faro Colon Buenos Aires","National","Reported on 17 January 2019, in San Nicolas de Los Arroyos, Buenos Aires, 3 prisoners took control of a prison health clinic and took hostage a prison guard, a doctor, and a nurse demanding better conditions for prisoners. They demanded that media come to hear their complaints or they would kill the hostages but eventually were released. The hostages were not injured. [size=3]",0
"ARG1401","30-January-2020",2020,"Riots","Violent demonstration","Rioters (Argentina)","ATE: Association of State Workers; Labour Group (Argentina); Health Workers (Argentina)","","","South America","Argentina","Ciudad Autonoma de Buenos Aires","","","Buenos Aires",-34.614,-58.458,"La Gaceta","National","On 30 January 2020, in Buenos Aires (Ciudad Autonoma de Buenos Aires), health workers associated to ATE (Association of State Workers) blocked the traffic and the doors of Nuestra Senora del Carmen hospital and set fire to tires in a demonstration to demand the reactivation of the trigger clause (a clause created to protect wages from inflation). [size=no report]",0
"ARG1999","02-June-2020",2020,"Riots","Mob violence","Rioters (Argentina)","","Civilians (Argentina)","Health Workers (Argentina)","South America","Argentina","Buenos Aires","Loberia","","Loberia",-38.164,-58.782,"El Faro Colon Buenos Aires","National","On 2 June 2020, in Loberia (Buenos Aires), a group threw stones to the house of a health worker, after it became public that she was infected with the coronavirus. No one got injured. [size=no report]",0
"ARG2892","10-September-2020",2020,"Riots","Violent demonstration","Rioters (Argentina)","ATE: Association of State Workers; Labour Group (Argentina); Health Workers (Argentina); Teachers (Argentina); SISAP: Public Health Union","","","South America","Argentina","Chubut","Rawson","","Trelew",-43.253,-65.306,"Diario Jornada","Subnational","On 10 September 2020, around Trelew (Chubut), ATE (Association of State Workers), health workers associated to SISAP (Public Health Union) and educational workers blocked National Route 3 and set fire to tires in a demonstration to demand a reliable salary payment schedule. [size=no report]",0
"ARG6860","04-March-2021",2021,"Riots","Violent demonstration","Rioters (Argentina)","Health Workers (Argentina)","Civilians (Argentina)","Government of Argentina (2019-)","South America","Argentina","Santa Cruz","Guer Aike","","Rio Gallegos",-51.627,-69.226,"Tiempo Sur (Argentina)","Subnational","On 4 March 2021, in Rio Gallegos (Santa Cruz), a group of health workers occupied the regional offices of the Health Ministry in the city, to demand better working conditions and against overtime payment. The rioters caused damages in the nursing department, blocked the National Route 3 highway and attacked two public employees. The event took place under the context of the coronavirus pandemic and the increasing workload and contagion risk in hospitals. [size=no report]",0
"ARG7125","15-March-2021",2021,"Riots","Violent demonstration","Rioters (Argentina)","Health Workers (Argentina)","","","South America","Argentina","Buenos Aires","San Miguel","","San Miguel",-34.54,-58.716,"La Nacion (Argentina)","National","Around 15 March 2021, in San Miguel (Buenos Aires), workers of San Miguel hospital demonstrated in front of it and set fire to tires. The the reason for the demonstration is unknown. [size=no report]",0
"ARG7890","11-June-2021",2021,"Riots","Violent demonstration","Rioters (Argentina)","Polo Obrero; Barrios de Pie; MST: Workers' Socialist Movement; New MAS: Movement for Socialism (Argentina); Health Workers (Argentina); Labour Group (Argentina)","Police Forces of Argentina (2019-)","","South America","Argentina","Ciudad Autonoma de Buenos Aires","","","Buenos Aires",-34.614,-58.458,"La Nacion (Argentina); Diario El Dia; Indymedia Argentina","National","On 11 June 2021, in Buenos Aires - Buenos Aires (Ciudad Autonoma de Buenos Aires), members of the Polo Obrero, the Barrios de Pie, health workers, the Workers' Socialist Movement (MST) and the Movement for Socialism (MAS) marched through the streets demanding decent wages, work and vaccinations against the coronavirus, in the morning. The police intervened using tear gas and a clash was reported between police forces and demonstrators. During the afternoon, the group continued the demonstration and crossed the Pueyrredon bridge. [size=no report]",0
"ARG8091","16-July-2021",2021,"Riots","Violent demonstration","Rioters (Argentina)","Health Workers (Argentina); Labour Group (Argentina)","Police Forces of Argentina (2019-)","","South America","Argentina","Buenos Aires","La Plata","","La Plata",-34.921,-57.953,"Diario El Dia","National","On 16 July 2021, in La Plata (Buenos Aires), doctors, nurses, and hospital's cleaning workers demonstrated to demand improvement in salaries and working conditions. The group clashed with the police when they tried to block Diagonal 74, in the access to the highway. [size=no report]",0
"AUT868","20-November-2021",2021,"Riots","Violent demonstration","Rioters (Austria)","FPOE: Freedom Party Austria; Police Forces of Austria (2019-); Health Workers (Austria); Police Forces of Germany (2005-2021); Protesters (Germany)","Police Forces of Austria (2019-)","Journalists (Austria); Civilians (Austria)","Europe","Austria","Wien","","","Vienna",48.208,16.372,"Aachener Zeitung; Shz; Redaktionsnetzwerk Deutschland; Kleine Zeitung; Oe24.At; Volksblatt; Basler Zeitung","National-Regional","On 20 November 2021, between 35,000 (according to the police) and 100,000 (according to organizers) people, including health workers, neo-Nazis, German police officers (as civilians), and far-right members, demonstrated in Vienna at the call of FPO against coronavirus-related measures such as lockdown and compulsory vaccination. Some demonstrators wore 'a Star of David' type patch with 'unvaccinated' written on it. They called for more freedom. Clashes with the police broke out, police officers used pepper spray and demonstrators threw bottles. Journalists covering the demonstration were physically attacked by demonstrators. 6 arrests were made. 2 police officers were slightly injured. [size=between 35,000 and 100,000]",0
"AUT893","27-November-2021",2021,"Riots","Violent demonstration","Rioters (Austria)","Health Workers (Austria); FPOE: Freedom Party Austria","Police Forces of Austria (2019-)","","Europe","Austria","Niederosterreich","Sankt Polten","","Sankt Polten",48.2,15.633,"Heute - Osterreichs Neue Tageszeitung; Oberosterreichische Nachrichten; Berliner Zeitung","National-Regional","On 27 November 2021, around 3,500 people, including health workers, demonstrated in Sankt Polten at the call of FPO against coronavirus-related measures such as compulsory vaccination. One police officer was injured and 11 people were arrested for 'aggressive behavior'. [size=around 3,500]",0
"BGD7505","31-January-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Rajshahi","Joypurhat","Joypurhat Sadar","Joypurhat",25.094,89.023,"United News of Bangladesh","National","On Jan 31, in Joypurhat, viva test for the post of health assistant at Joypurhat Modern District Hospital was marred due to an attack by unidentified men who also took away the valuable documents and papers relating to the test. Four doctors were injured in the attack.",0
"BGD7879","18-March-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Dhaka","Gazipur","Gazipur Sadar","Gazipur",23.998,90.422,"United News of Bangladesh","National","On Mar 18, in Gazipur, angry relatives of a patient and local people ransacked a hospital in Tongi area following death of a young man from wrong treatment.",0
"BGD7888","19-March-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Dhaka","Gazipur","Gazipur Sadar","Tongi",23.892,90.402,"Right Vision News; Daily Star (Bangladesh)","National-Regional","On 19 Mar 2010, in Tongi (Gazipur, Gazipur, Dhaka), locals and relatives of a deceased patient ransacked the United Hospital over alleged wrong treatment of the patient which caused his death. No one was hurt during the incident.",0
"BGD8003","29-March-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Rangpur","Thakurgaon","Thakurgaon Sadar","Thakurgaon",26.031,88.47,"United News of Bangladesh","National","On Mar 29, an angry mob vandalized a private clinic in Thakurgaon town following the death of a mother after giving birth to a child due to alleged negligence of doctors.",0
"BGD8528","17-July-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Khulna","Magura","Sreepur","Dariapur",23.604,89.452,"Daily Star (Bangladesh)","National","Local residents and relatives of a patient beat up a doctor and besieged Sreepur Upazila Health Complex in Dariapur, Sreepur upazila, Magura district on 17 July 2010 following the death of a patient at the hospital due to lack of treatment.",0
"BGD8556","21-July-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Dhaka","Dhaka","New Market","Dhaka - Dhanmondi",23.74,90.385,"Daily Star (Bangladesh)","National","Relatives of a patient beat up doctors and ransacked Renaissance Hospital and Research Institute in Dhanmondi area, Dhaka on 21 July 2010 over the death of a patient, alleging doctor's negligence. The rioters also attacked Medinova Diagnostic Centre in Dhanmondi. At least ten persons including two doctors were wounded.",0
"BGD8589","24-July-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","BCL: Bangladesh Chhatra League; Students (Bangladesh)","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Dhaka","Dhaka","Sher-e-bangla Nagar","Dhaka - Sher e Bangla Nagar",23.774,90.377,"Daily Star (Bangladesh)","National","Activists of Bangladesh Chhatra League (BCL) looted a hospital meeting room and assaulted officials of Dhaka Shishu Hospital, Sher-e-Bangla Nagar area, Dhaka on 24 July 2010 demanding handing over of the hospital's tenders.",0
"BGD9004","20-September-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","AL: Bangladesh Awami League","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Rangpur","Panchagarh","Panchagarh Sadar","Panchagarh",26.333,88.558,"United News of Bangladesh","National","On September 20, around 20 youths, backed by an Awami League leader, entered the Civil Surgeon office and ransacked furniture and windowpanes, in Panchagarh city (Panchagarh district, Rangpur). They questioned the authorities as their recommended candidates could not pass in the written test held under Health Department.",0
"BGD9073","01-October-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Rangpur","Dinajpur","Fulbari","Phulbari",25.495,88.95,"Daily Star (Bangladesh)","National","Local residents vandalised Phulbari Health Care Clinic in Phulbari upazila town, Dinajpur district on 1 Oct 2010 following a woman's death due to alleged negligence of the clinic.",0
"BGD9094","04-October-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","BCL: Bangladesh Chhatra League; Students (Bangladesh)","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Khulna","Khulna","Khulna Sadar","Khulna",22.81,89.564,"United News of Bangladesh","National","Bangladesh Chhatra League activists ransacked the nuclear centre of Khulna Medical College Hospital in Khulna city on 4 Oct 2010 and severely beat up a lab assistant.",0
"BGD9334","10-November-2010",2010,"Riots","Violent demonstration","Rioters (Bangladesh)","Students (Bangladesh)","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Dhaka","Madaripur","Rajoir","Rajoir",23.188,90.032,"Daily Star (Bangladesh)","National","On 10 Nov, students from the Tekerhat Popular High School and College blocked the Dhaka-Barisal highway in Rajouri upazila (Madaripur, Dhaka) following the death of their teacher at Rajouri hospital and hurled brickbats at the residence of a doctor that they accuse of being negligent in the teacher's treatment. No injuries were reported in the student's attack on the doctor's residence and it is unclear if anyone was home at the time.",0
"BGD9461","26-November-2010",2010,"Riots","Mob violence","Rioters (Bangladesh)","AL: Bangladesh Awami League","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Dhaka","Dhaka","Keraniganj","Basta",23.699,90.344,"Daily Star (Bangladesh)","National","On 26 Nov, AL activists assaulted a pharmacist at Basta bazar (Dhaka, Dhaka).",0
"BGD10642","13-June-2011",2011,"Riots","Violent demonstration","Rioters (Bangladesh)","Health Workers (Bangladesh)","Rioters (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Mymensingh","Mymensingh","Mymensingh Sadar","Mymensingh",24.756,90.406,"United News of Bangladesh","National","On June 13, in Mymensingh city (Mymensingh, Mymensingh), trainee nurses at Mymensingh Medical College Hospital staged a demonstration over a hospital policy, and employee nurses attacked them with sticks, leading to a clash that injured 30 people.",0
"BGD10739","22-June-2011",2011,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Barisal","Bhola","Char Fasson","Char Fasson",22.186,90.761,"United News of Bangladesh","National","On June 22, in Char Fasson town (Bhola, Barisal), a group of youths vandalized the Civil Surgeon's residence, condemning him for their inability to attain jobs. There were no injuries.",0
"BGD11119","04-August-2011",2011,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Rajshahi","Natore","Natore Sadar","Natore",24.411,88.987,"Daily Star (Bangladesh)","National","On Aug 4, agitated relatives and locals assaulted an on-duty doctor and ransacked a private clinic in the town, following the death of a woman in post-natal complication at the clinic in Natore.",0
"BGD11189","19-August-2011",2011,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Rangpur","Thakurgaon","Thakurgaon Sadar","Thakurgaon",26.031,88.47,"United News of Bangladesh","National","On Aug 19, a clinic was vandalized in the Thakurgaon district town following the death of a patient due to alleged negligence of duty by the doctors.",0
"BGD11353","15-September-2011",2011,"Riots","Mob violence","Rioters (Bangladesh)","","Rioters (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Khulna","Khulna","Khulna Sadar","Khulna",22.81,89.564,"United News of Bangladesh","National","On Sep 15, seven people, including nurses, were injured as the relatives of a baby boy clashed with nurses and went on a rampage following his death at Khulna Shishu Hospital in Khulna.",0
"BGD11403","21-September-2011",2011,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Dhaka","Manikganj","Manikgonj Sadar","Manikganj",23.858,90.01,"Daily Star (Bangladesh)","National","On Sep 21, group of youth ransacked the Momtaz Eye Hospital in Manikganj. The reason for vandalism is unknown.",0
"BGD11467","29-September-2011",2011,"Riots","Mob violence","Rioters (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Rajshahi","Pabna","Santhia","Santhia",24.053,89.562,"Daily Star (Bangladesh)","National","On Sep 29, locals vandalised a private hospital in Santhia upazila following death of a newborn baby. They blamed the hospital administration for negligence in the case.",0
