"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"AFG675","01-February-2017",2017,"Violence against civilians","Abduction/forced disappearance","Taliban","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Badghis","Qadis","","Qadis",34.809,63.43,"TOLO News","National","2 public health department employees have been kidnapped by the Taliban on 02-Feb-2017 in Qadis district, Badghis province.",0
"AFG701","02-February-2017",2017,"Violence against civilians","Abduction/forced disappearance","Taliban","","Civilians (Afghanistan)","Doctors (Afghanistan); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Badghis","Qala-i-Now","","Qala-i-Now",34.987,63.129,"Noor TV","National","The Taliban have abducted 2 civilian doctors in the Province Badghis on 02-Feb-2017.",0
"AFG4369","26-July-2017",2017,"Violence against civilians","Abduction/forced disappearance","Taliban","","Civilians (Afghanistan)","Doctors (Afghanistan); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Jowzjan","Sheberghan","","Sheberghan",36.668,65.753,"Pajhwok Afghan News","National","Taliban abducted 2 senior health officials from Sheberghan-Mazar-i-Sharif highway on their way to Sheberghan city. Taliban denied claims.",0
"AFG5600","11-September-2017",2017,"Violence against civilians","Attack","Unidentified Armed Group (Afghanistan)","","Civilians (International)","ICRC: International Committee of the Red Cross; Doctors (Spain); Aid Workers (International); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Balkh","Mazar-e-Sharif","","Mazar-e-Sharif",36.709,67.111,"AFP; Khaama Press; TOLO News; Aid Worker Security Database","Local partner-Other","1-2 patients at a rehabilitation center for the disabled run by the International Red Cross shot and killed a Spanish RC physiotherapist in Mazar-e Sharif in Balkh Province around midday on September 11, 2017. 2 people were arrested. An Afghan hospital employee was also injured.",1
"AFG8166","06-January-2018",2018,"Violence against civilians","Attack","Military Forces of Afghanistan (2014-2021) Special Forces","","Civilians (Afghanistan)","Students (Afghanistan); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Helmand","Nawzad","","Nawzad",32.403,64.47,"Pajhwok Afghan News","National","An Afghan Special Unit conducted an overnight operation in Nawzad District, Helmand Province, on January 6, 2018. 3 civilians, including a woman and an employee of the Lashkargah Emergency Hospital, were killed and another civilian was wounded. The Taliban reported the civilian deaths, including students.",3
"AFG38899","05-July-2018",2018,"Violence against civilians","Attack","Military Forces of Afghanistan (2014-2021)","NATO: North Atlantic Treaty Organization","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Urozgan","Shahidhassas","","Shahidi Hassas",32.928,65.481,"Voice of Jihad","Other","On July 05 2018, 9 health care professionals were killed during a raid by NATO and Afghan forces on a health center in the Kashi area of Shahidi Hassas (Charchio) district, Urozgan. 2 ambulances and 2 motorbikes were destroyed. They also raided a Taliban prison and arrested 7 prisoners.",0
"AFG11542","18-July-2018",2018,"Violence against civilians","Attack","Taliban","","Civilians (Afghanistan)","Military Forces of Afghanistan (2014-2021); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"Khaama Press","National","Taliban militants shot and killed an unarmed senior army officer, who was serving in a military hospital, on his way to work on July 18 in Kabul City.",1
"AFG11924","24-July-2018",2018,"Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan); Students (Afghanistan)","Caucasus and Central Asia","Afghanistan","Ghor","Chighcheran","","Chighcheran",34.52,65.251,"AP","International","Unidentified gunmen kidnapped 6 civilians (a doctor, his driver, and 4 university students; 3 women are among the 6) in Ghor Province, as reported on July 24.",0
"AFG16149","17-January-2019",2019,"Violence against civilians","Attack","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Government of Afghanistan (2014-2021); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Nangarhar","Sher Zad","","Sherzad",34.25,70.01,"Pajhwok Afghan News","National","On 17-January-2019, 1 civilian who was public health official was killed by unidentified armed militants in the the Sherzad district of Nangarhar province.",1
"AFG16839","03-March-2019",2019,"Violence against civilians","Attack","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Takhar","Rustaq","","Rustaq",37.126,69.83,"Bakhtar News Agency","National","On 03-March-2019, 1 civilian who was a doctor was killed by unidentified armed militants in the Rustaq district of Takhar province.",1
