"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"CEN2264","11-May-2014",2014,"Battles","Armed clash","Seleka Militia","Fulani Ethnic Militia (Central African Republic)","Anti-Balaka","Journalists (France)","Middle Africa","Central African Republic","Nana-Mambere","Bouar","Herman-Brousse","Bouar",5.931,15.593,"RFI","International","Ex-Seleka and Peul ambushed an Anti-Balaka vehicle. At least ten combatants died in the ensuing clash, including four Anti-Balaka and six ex-Seleka and Peul. French journalist Camille Lepage, who was on assignment with the Anti-Balaka, was also killed.",11
"DRC11335","14-July-2017",2017,"Battles","Armed clash","Mayi Mayi Militia (Simba)","","Police Forces of the Democratic Republic of Congo (2001-2019) Okapi National Park","Journalists (United States)","Middle Africa","Democratic Republic of Congo","Ituri","Mambasa","","Okapi Wildlife Reserve",2,28.5,"Radio Okapi","National","Mayi Mayi Simba attacked a group of US journalists in Okapi National Park. The park guards accompanying the journalists fought back. 4 park guards were killed and 1 US journalist was kidnapped. He was released the following day.",4
"DRC15406","02-January-2018",2018,"Battles","Armed clash","Military Forces of the Democratic Republic of Congo (2001-2019) National Intelligence Agency","","Private Security Forces (Democratic Republic of Congo)","Journalists (Democratic Republic of Congo)","Middle Africa","Democratic Republic of Congo","Kinshasa","","","Kinshasa",-4.325,15.322,"ProtectDefenders.eu","Local partner-Other","02 January. Six armed men claiming to be members of the Democratic Republic of Congo's National Intelligence Agency (ANR) attempted to enter the home of journalist Tshivis Tshivuadi in Kinshasa. The assailants severely assaulted a guard at the residence.",0
"IRQ863","01-March-2017",2017,"Battles","Armed clash","Islamic State (Iraq)","","Military Forces of Iraq (2014-2018)","Journalists (Iraq)","Middle East","Iraq","Ninewa","Al Mosul","Al Muhamadath","Mosul",36.335,43.119,"Musings on Iraq","Other","Islamic State mortar and sniper fire wounded four in West Mosul, including an Agence France Presse journalist.",0
"MEX21558","02-August-2020",2020,"Battles","Armed clash","Unidentified Gang (Mexico)","","Police Forces of Mexico (2018-) State Police","Journalists (Mexico)","North America","Mexico","Guerrero","Iguala de la Independencia","","Iguala de la Independencia",18.344,-99.538,"El Siglo de Durango; La Silla Rota","National","On 2 August 2020, in Iguala de la Independencia, Guerrero, a journalist from the PM news website was shot dead along with a state police officer inside a restaurant. The journalist had previously suffered another armed attack in 2016 and was under the Protection of Human Rights Defenders and Journalists mechanism of the Federal Secretariat. 2 fatalities.",2
"PAK56214","25-February-2020",2020,"Battles","Armed clash","Unidentified Armed Group (Pakistan)","","Police Forces of Pakistan (2018-)","Journalists (Pakistan); PML-N: Pakistan Muslim League-Nawaz","South Asia","Pakistan","Khyber Pakhtunkhwa","Swat","Matta Sebujni","Shakardara",34.872,72.409,"South Asia Terrorism Portal","Other","On 25 Feb 2020, a journalist and PML-N local leader was shot dead by unidentified assailants at Shakardara area (Swat district, Khyber Pakhtunkhwa). A police guard of the journalist who was with him at the time of the incident remained unhurt.",1
"PHL3504","30-July-2017",2017,"Battles","Armed clash","Armed Drug Suspects (Philippines)","Government of the Philippines (2016-); Police Forces of the Philippines (2016-) Barangay Peacekeeping Action Team; Private Security Forces (Philippines); Journalists (Philippines)","Police Forces of the Philippines (2016-)","Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group","Southeast Asia","Philippines","Northern Mindanao","Misamis Occidental","Ozamis","Ozamiz",8.148,123.841,"Foundation for Media Alternatives; Rappler; Philippine Star; CNN","Local partner-National","On 30 July 2017, a drug suspect-cum-mayor and 15 others (including his family, 3 BPAT members, 2 Lumad TV staff) were killed in a shootout between private bodyguards and police forces (PNP and PNP-CIDG) in Barangays Baybay San Roque (at least 7 dead) and Santa Cruz (at least 6 dead) in Ozamiz city (Misamis Occidental, Northern Mindanao). Three others, including a police officer, were injured. 5 associates, including the vice mayor, were arrested (1 of 2 events).",16
"YEM7066","02-December-2017",2017,"Battles","Armed clash","Military Forces of Yemen (2016-) Supreme Political Council","","General People's Congress","Journalists (Yemen)","Middle East","Yemen","Sanaa","Sanhan","","Sanaa - Bayt Baws",15.275,44.217,"Xinhua","International","Houthi fighters stormed Saleh-ownedAl-Yemen Alyoum satellite TV station (located in Bayt al Baws) in southern Sanaa and took it over following deadly clashes late on Saturday. Three guards were wounded by an RPG that was fired at the building. 41 people are being held hostage by the militia members. Al-Jazeera Arabic announced that most of the Journalists were all released on the 14th of December, 2017. An official from the internationally recognized Hadi government confirmed that the other four hostages died after sustaining injuries from the al Houthi takeover of the station.",4
"YEM8650","08-February-2018",2018,"Battles","Armed clash","Military Forces of Yemen (2016-) Supreme Political Council","","Military Forces of Yemen (2012-)","Journalists (Yemen)","Middle East","Yemen","Taizz","","","Taizz",13.567,44.033,"Yemen Data Project; Gulf News (UAE)","Local partner-National","In the southern city of Taiz, residents told Gulf News that a local right activist was killed in Al Houthi mortar and gunfire attacks as government forces engage in fierce clashes with rebels on the city's outskirts. Al Houthi snipers gunned down Raham Al Bader, an activist, and her associate who were documenting Al Houthi attacks on civilians on the eastern outskirts of the city. As many as 12 Houthis were killed in the ensuing firefight. Fatalities are counted as 12 Houthis and 2 activists.",14
"YEM20673","07-June-2018",2018,"Battles","Armed clash","Military Forces of Yemen (2016-) Supreme Political Council","Journalists (Yemen); Militia (Pro-Government); Operation Restoring Hope","Military Forces of Yemen (2012-)","Militia (Pro-Government); Operation Restoring Hope","Middle East","Yemen","Al Jawf","Al Maton","","Al Matun",16.231,44.585,"Yemen News Agency SABA; Yemen Data Project","Local partner-National","In Jawf, pro-Houthi forces claim to have killed and wounded a 'dozens' of pro-Hadi troops in the Hazmah area of Matun district. Fatalities (12) coded as half (6). An Al-Masirah cameraman was reported injured by a stray bullet or shell during the firefight. 7 airstrikes were launched during the battles.",6
