"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"AFG2703","17-May-2017",2017,"Explosions/Remote violence","Suicide bomb","Islamic State (Afghanistan)","","Civilians (Afghanistan)","Journalists (Afghanistan); Police Forces of Afghanistan (2014-2021); Former Government of Afghanistan (2014-2021)","Caucasus and Central Asia","Afghanistan","Nangarhar","Jalalabad","","Jalalabad",34.426,70.452,"Afghanistan National Television; Noor TV; Digital Media Source; AP; RFE/RL; Negah TV; Afghan Islamic Press News Agency; Sedai Khelafat Radio (Afghanistan); Liveuamap; Xinhua; Ariana TV; Amaq; AFP; Sharq TV; TOLO News; Pajhwok Afghan News; Khaama Press","Local partner-New media","4 Islamic State suicide bombers stormed the national television station in Jalalabad city killing 4 state TV employees and 2 police officers. Islamic State claims to have brought about 30 fatalities in the attack. Total fatalities coded as 10 (including 4 suicide bombers).",10
"AFG7065","07-November-2017",2017,"Explosions/Remote violence","Suicide bomb","Islamic State (Afghanistan)","","Private Security Forces (Afghanistan)","Civilians (Afghanistan); Journalists (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"AP; Xinhua; Bakhtar News Agency","National-International","On November 7th, 2-5 people, including 2 security guards, were killed and at least 20 civilians injured when 2 Islamic State suicide bombers attacked the Shamshad TV building in Kabul. Total fatalities coded as 4 (including 2 suicide bombers).",4
"AFG7968","28-December-2017",2017,"Explosions/Remote violence","Suicide bomb","Islamic State (Afghanistan)","","Civilians (Afghanistan)","Journalists (Afghanistan); Shiite Muslim Group (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"1TV (Afghanistan); Pajhwok Afghan News; Amaq; AP; TOLO News; Khaama Press; AFP; Anadolu Agency","New media-National","The Islamic State claimed responsibility for a suicide bombing on the pro-Iranian, Shiite Tabayan Cultural Center on the morning of December 28, 2017, in the Dasht-e Barchi area of Kabul City. Around 100 people had gathered for a seminar marking the 28th anniversary of the Soviet invasion of Afghanistan; the center shares a building with the Afghan Voice Agency, an anti-IS radio station. Besides 1-3 suicide bombers, up to 3 other bombs were used in the attack. 50 people, including a journalist, were killed along with at least 1 bomber and 84-90 injured, including 9 journalists. The IS claimed killing 100, including officials and reporters, and wounding another 120; they criticized Tabayan for receiving support from Iran and promoting Shia Islam.",51
"AFG9801","30-April-2018",2018,"Explosions/Remote violence","Suicide bomb","Islamic State (Afghanistan)","","Police Forces of Afghanistan (2014-2021)","Police Forces of Afghanistan (2014-2021) National Directorate of Security; Civilians (Afghanistan); Journalists (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"TOLO News; Pajhwok Afghan News","National","On April 30th, 29 people were killed and 49 injured, when 2 Islamic State suicide bombers detonated themselves near an NDS office in the Shashdarak area of Kabul. It is not clear whether the first attacked targeted the office itself, however the second attack occurred after police, NDS personnel, and journalists arrived at the scene. Of the 29 killed, 9 were journalists and 3 were police officers. Total fatalities coded as 31 (including 2 suicide bombers).",31
"AFG13758","06-September-2018",2018,"Explosions/Remote violence","Suicide bomb","Islamic State (Afghanistan)","","Civilians (Afghanistan)","Journalists (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"Xinhua","International","On 06-September-2018, 25 people were killed, including 2 Tolo News journalists, and 90 others wounded in a double suicide bombing conducted by Islamic State militants at a sports gym in the Dasht-i-Barchi area of Kabul city, Kabul district, Kabul province. Total fatalities coded as 27 (including 2 suicide bombers).",27
"AFG15752","26-December-2018",2018,"Explosions/Remote violence","Shelling/artillery/missile attack","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Journalists (Afghanistan)","Caucasus and Central Asia","Afghanistan","Herat","Ghoryan","","Ghoryan",34.345,61.493,"Etilaat e Roz","National","On 26-December-2018, unidentified armed militants fired a missile which hit the Neda-e Sobh-e Ghoryan Radio station in Ghoryan district, Herat province. No injuries or fatalities were reported.",0
"AFG16982","12-March-2019",2019,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Journalists (Afghanistan)","Caucasus and Central Asia","Afghanistan","Helmand","Lashkargah","","Lashkargah",31.594,64.372,"Afghan Islamic Press News Agency","National","On 12-March-2019, an Afghan journalist was wounded after a bomb exploded in his car in PD2 of Lashkargah city, Lashkargah district, Helmand. No group claimed responsibility.",0
"AFG22912","31-July-2019",2019,"Explosions/Remote violence","Remote explosive/landmine/IED","Taliban","","Civilians (Afghanistan)","Journalists (Afghanistan)","Caucasus and Central Asia","Afghanistan","Farah","Bala Buluk","","Bala Buluk",32.636,62.465,"New York Times","International","On July 31 2019, 35 civilians including 2 journalists were killed and 27 were wounded when a Taliban-planted IED hit their bus in the Ab Khorma area of Bala Buluk district, Farah.",35
"AFG23046","04-August-2019",2019,"Explosions/Remote violence","Remote explosive/landmine/IED","Islamic State (Afghanistan)","","Civilians (Afghanistan)","Journalists (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"New York Times; Telegram; AP","New media-International","On 04 August 2019, a magnetic bomb planted by IS militants hit a bus carrying employees of the Khurshid TV station , killing 2 passersby and injuring 2-4 civilians, in Kabul city.",2
"AFG25610","24-September-2019",2019,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Journalists (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kandahar","Kandahar","","Kandahar",31.613,65.71,"AFP; New York Times; Xinhua","International","On September 24 2019, 4 civilians, including 2 children and a local journalist, were killed and at least 3 civilians were wounded by a bomb placed next to the gate of President Ashraf Ghani' campaign office in Kandahar city. It's unclear who planted the bomb.",4
