"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"ANG367","07-July-1998",1998,"Battles","Armed clash","Unidentified Armed Group (Angola)","","MONUA: United Nations Observer Mission in Angola (1997-1999)","","Middle Africa","Angola","Uige","Bembe","Bembe","Toto",-7.15,14.267,"CM Journal","International","Blue helmet helicopter fired upon.",0
"CEN13","20-February-1997",1997,"Battles","Armed clash","MISAB: Inter-African Mission to Monitor the Implementation of the Bangui Agreements (1997-1998)","","Unidentified Armed Group (Central African Republic)","","Middle Africa","Central African Republic","Bangui","Bangui","Bangui","Bangui",4.361,18.555,"Reuters; Africa Research Bulletin","Other-International","Clashes after the announcement of the new government. As french soldiers approached stolen vehicle armed men fired back at them, they shot back and killed a man",1
"CEN16","22-March-1997",1997,"Battles","Armed clash","MISAB: Inter-African Mission to Monitor the Implementation of the Bangui Agreements (1997-1998)","","Mutiny of Military Forces of the Central African Republic (1993-2003)","","Middle Africa","Central African Republic","Bangui","Bangui","Bangui","Bangui",4.361,18.555,"Africa Research Bulletin","Other","7 killed (20 says African research bulletin), sides unspecified",7
"CEN18","23-March-1997",1997,"Battles","Armed clash","MISAB: Inter-African Mission to Monitor the Implementation of the Bangui Agreements (1997-1998)","","Mutiny of Military Forces of the Central African Republic (1993-2003)","","Middle Africa","Central African Republic","Bangui","Bangui","Bangui","Bangui",4.361,18.555,"Africa Research Bulletin","Other","7 killed (20 says African research bulletin), sides unspecified",0
"CEN19","24-March-1997",1997,"Battles","Armed clash","MISAB: Inter-African Mission to Monitor the Implementation of the Bangui Agreements (1997-1998)","","Mutiny of Military Forces of the Central African Republic (1993-2003)","","Middle Africa","Central African Republic","Bangui","Bangui","Bangui","Bangui",4.361,18.555,"Africa Research Bulletin","Other","7 killed(20 misab says African Research Bulletin), sides unspecified",0
"CEN20","25-March-1997",1997,"Battles","Armed clash","MISAB: Inter-African Mission to Monitor the Implementation of the Bangui Agreements (1997-1998)","","Mutiny of Military Forces of the Central African Republic (1993-2003)","Military Forces of the Central African Republic (1993-2003) Yakoma Faction","Middle Africa","Central African Republic","Bangui","Bangui","Bangui","Bangui",4.361,18.555,"All Africa","Regional","at an arms factory nw of bangui where 150 man chad contingent is based",0
"CEN23","15-April-1997",1997,"Battles","Armed clash","Unidentified Armed Group (Central African Republic)","","MISAB: Inter-African Mission to Monitor the Implementation of the Bangui Agreements (1997-1998)","","Middle Africa","Central African Republic","Bangui","Bangui","Bangui","Bangui",4.361,18.555,"All Africa","Regional","defence minister attacked by uniden. man on Boganda Avenue, MISAB arrive to right men",0
"CEN31","21-June-1997",1997,"Battles","Armed clash","MISAB: Inter-African Mission to Monitor the Implementation of the Bangui Agreements (1997-1998)","","Mutiny of Military Forces of the Central African Republic (1993-2003)","","Middle Africa","Central African Republic","Nana-Grebizi","Kaga-Bandoro","Grivai-Pamia","Kouanga",7.1,19.317,"Africa Research Bulletin; New York Times","Other-International","in retaliation to the event in early may whereby a misab patrol rode through avenue boganda shooting and killing dozens of people, this event killed over 100 people",0
"CEN30","21-June-1997",1997,"Battles","Armed clash","MISAB: Inter-African Mission to Monitor the Implementation of the Bangui Agreements (1997-1998)","","Mutiny of Military Forces of the Central African Republic (1993-2003)","","Middle Africa","Central African Republic","Bangui","Bangui","Bangui","Bangui",4.361,18.555,"New York Times","International","in retaliation to the event in early may whereby a misab patrol rode through avenue boganda shooting and killing dozens of people, this event killed over 100 people",100
"CEN33","22-June-1997",1997,"Battles","Armed clash","MISAB: Inter-African Mission to Monitor the Implementation of the Bangui Agreements (1997-1998)","","Mutiny of Military Forces of the Central African Republic (1993-2003)","","Middle Africa","Central African Republic","Nana-Grebizi","Kaga-Bandoro","Grivai-Pamia","Kouanga",7.1,19.317,"Africa Research Bulletin; New York Times","Other-International","in retaliation to the event in early may whereby a misab patrol rode through avenue boganda shooting and killing dozens of people, this event killed over 100 people",0
