ID,REEF,LOCATION,CNTRY_ID,COUNTRY,LAT,LON,YEAR,DISEASE,SPECIES,SCALE,NOTES,REMARKS,INFO,SOURCE
4018.00000,"Lady Musgrove Island, Capricorn Bunker Sector",Gladstone,AUS,Australia,-23.91667,152.40000,2003.00000,White syndrome,Acropora spp.,Few (2-50) colonies,no record,"AIMS Archive, Gladstone",,ReefBase
4020.00000,21529S,Gladstone,AUS,Australia,-23.85000,151.25000,2003.00000,White syndrome,Acropora spp.,Single (1) colony,no record,"AIMS Archive, Swain Sector",,ReefBase
4017.00000,"One Tree Island, Capricorn Bunker Sector",Gladstone,AUS,Australia,-23.50000,152.08333,2003.00000,White syndrome,Acropora spp.,Few (2-50) colonies,no record,"AIMS Archive, Gladstone",,ReefBase
0.00000,"Wreck Island,Caprico",Gladstone,AUS,Australia,-23.19000,151.59000,2003.00000,White syndrome,,,17 colonies (large r,,"AIMS Archive, 2003a",WCMC
0.00000,"Wreck Island,Caprico",Gladstone,AUS,Australia,-23.19000,151.59000,2003.00000,White syndrome,,,17 colonies (large r,,"AIMS Archive, 2003a",WCMC
0.00000,"Wreck Island,Caprico",Gladstone,AUS,Australia,-23.19000,151.59000,2003.00000,White syndrome,,,17 colonies (large r,,"AIMS Archive, 2003a",WCMC
217.00000,Great Barrier Reef,Cape Grenville to Capricorn Bu,AUS,Australia,-22.80000,150.70000,1994.00000,Black-band Disease,Acropora spp.,Few (2-50) colonies,no record,,Coral Reefs 15(1):58.,ReefBase
218.00000,Great Barrier Reef,Cape Grenville to Capricorn Bu,AUS,Australia,-22.80000,150.70000,1993.00000,Black-band Disease,Acropora spp.,Few (2-50) colonies,no record,,Coral Reefs 15(1):58.,ReefBase
219.00000,Great Barrier Reef,Cape Grenville to Capricorn Bu,AUS,Australia,-22.80000,150.70000,1994.00000,Black-band Disease,Montipora spp.,Few (2-50) colonies,no record,,Coral Reefs 15(1):58.,ReefBase
220.00000,Great Barrier Reef,Cape Grenville to Capricorn Bu,AUS,Australia,-22.80000,150.70000,1993.00000,Black-band Disease,Montipora spp.,Few (2-50) colonies,no record,,Coral Reefs 15(1):58.,ReefBase
221.00000,Great Barrier Reef,Cape Grenville to Capricorn Bu,AUS,Australia,-22.80000,150.70000,1994.00000,Black-band Disease,Porites spp.,Few (2-50) colonies,no record,,Coral Reefs 15(1):58.,ReefBase
222.00000,Great Barrier Reef,Cape Grenville to Capricorn Bu,AUS,Australia,-22.80000,150.70000,1993.00000,Black-band Disease,Porites spp.,Few (2-50) colonies,no record,,Coral Reefs 15(1):58.,ReefBase
31499.00000,Recruitment Complex,Andavadoaka,MDG,Madagascar,-22.12000,43.20000,2008.00000,Unknown,No data,No data,No data,Reef Check submitted by Blue Ventures. Reef Id : 43.11.49.7E.22.07.22.3S,,ReefBase
1633.00000,,,NCL,New Caledonia,-21.33330,165.00000,0.00000,Coral tumours,Acropora formosa,no record,no record,"Catala, pers. comm., cited in Peters et al., 1986","JOURNAL OF THE NATIONAL CANCER INSTITUTE, Vol.76, No.5, pp.895-912.",ReefBase
0.00000,,,MUS,Mauritius,-20.40000,57.68330,0.00000,Skeleton eroding band,,,,,"Antonius, A., 1999",WCMC
2962.00000,,,MUS,Mauritius,-20.25000,57.75000,2002.00000,Skeleton eroding band,Acropora spp.,no record,no record,,Coral Reefs 22: 48-48,ReefBase
30551.00000,,,MUS,Mauritius,-20.25000,57.75000,1998.00000,Skeleton eroding band,Cyphastrea chalcidicum,Few (2-50) colonies,no record,Date is uncertain,"Atoll Research Bulletin, Vol.481:1-21",ReefBase
0.00000,"Reef 19159, Whitsund",Proserpine,AUS,Australia,-19.40000,149.55000,2002.00000,White syndrome,,,27 affected colonies,,"AIMS Archive, 2002a",WCMC
0.00000,"Reef 19159, Whitsund",Proserpine,AUS,Australia,-19.40000,149.55000,2002.00000,White syndrome,,,27 affected colonies,,"AIMS Archive, 2002a",WCMC
0.00000,"Reef 19159, Whitsund",Proserpine,AUS,Australia,-19.40000,149.55000,2002.00000,White syndrome,,,27 affected colonies,,"AIMS Archive, 2002a",WCMC
393.00000,Cockle Bay,Townsville,AUS,Australia,-19.15000,146.83330,1979.00000,Coral hyperplasia,Platygyra pini,Few (2-50) colonies,no record,,"HELGOL WISS MEERESUNTERS, Vol.37, pp.99-112",ReefBase
394.00000,Cockle Bay,Townsville,AUS,Australia,-19.15000,146.83340,1979.00000,Coral hyperplasia,Platygyra sinensis,Few (2-50) colonies,no record,,"HELGOL WISS MEERESUNTERS, Vol.37, pp.99-112",ReefBase
2691.00000,Florence Bay,Magnetic Island,AUS,Australia,-19.13333,146.83333,2001.00000,Atramentous necrosis,Montipora aequituberculata,no record,no record,Black lesions spread within days,Marine Ecology Progress Series 281:63-77,ReefBase
2692.00000,Florence Bay,Magnetic Island,AUS,Australia,-19.13333,146.83333,2001.00000,Atramentous necrosis,Montipora aequituberculata,no record,no record,Black lesions spread within days,Marine Ecology Progress Series 281:63-77,ReefBase
2693.00000,Florence Bay,Magnetic Island,AUS,Australia,-19.13333,146.83333,2001.00000,Atramentous necrosis,Montipora aequituberculata,no record,no record,Black lesions spread within days,Marine Ecology Progress Series 281:63-77,ReefBase
2694.00000,Florence Bay,Magnetic Island,AUS,Australia,-19.13333,146.83333,2001.00000,Atramentous necrosis,Montipora aequituberculata,no record,no record,Black lesions spread within days,Marine Ecology Progress Series 281:63-77,ReefBase
2695.00000,Florence Bay,Magnetic Island,AUS,Australia,-19.13333,146.83333,2001.00000,Atramentous necrosis,Montipora aequituberculata,no record,no record,Black lesions spread within days,Marine Ecology Progress Series 281:63-77,ReefBase
2696.00000,Bright Point,Magnetic Island,AUS,Australia,-19.13333,146.83333,2001.00000,Atramentous necrosis,Montipora aequituberculata,no record,no record,Black lesions spread within days,Marine Ecology Progress Series 281:63-77,ReefBase
2697.00000,Bright Point,Magnetic Island,AUS,Australia,-19.13333,146.83333,2001.00000,Atramentous necrosis,Montipora aequituberculata,no record,no record,Black lesions spread within days,Marine Ecology Progress Series 281:63-77,ReefBase
2698.00000,Bright Point,Magnetic Island,AUS,Australia,-19.13333,146.83333,2001.00000,Atramentous necrosis,Montipora aequituberculata,no record,no record,Black lesions spread within days,Marine Ecology Progress Series 281:63-77,ReefBase
2699.00000,Bright Point,Magnetic Island,AUS,Australia,-19.13333,146.83333,2001.00000,Atramentous necrosis,Montipora aequituberculata,no record,no record,Black lesions spread within days,Marine Ecology Progress Series 281:63-77,ReefBase
