Rank,City,Country
1,Tokyo,Japan
2,London,United Kingdom
3,Singapore,Republic of Singapore
4,New York,United States of America
5,Melbourne,Australia
6,Frankfurt,Germany
7,Paris,France
8,Seoul,South Korea
9,Berlin,Germany
10,Sydney,Australia
11,Hong Kong,China
12,Copenhagen,Denmark
13,Vienna,Austria
14,Amsterdam,Netherlands
15,Helsinki,Finland
16,Zurich,Switzerland
17,Dubai,UAE
18,Osaka,Japan
19,Toronto,Canada
20,Geneva,Switzerland
21,Shanghai,China
22,Beijing,China
23,Kuala Lumpur,Malaysia
24,Vancouver,Canada
25,Moscow,Russia
26,Taipei,China
27,Dublin,Ireland
28,Tel Aviv,Israel
29,Stockholm,Sweden
30,Istanbul,Turkey
31,San Francisco,United States of America
32,Bangkok,Thailand
33,Los Angeles,United States of America
34,Fukuoka,Japan
35,Madrid,Spain
36,Boston,United States of America
37,Chicago,United States of America
38,Barcelona,Spain
39,"Washington, D.C.",United States of America
40,Milan,Italy
41,Buenos Aires,Argentina
42,Jakarta,Indonesia
43,Brussels,Belgium
44,Cairo,Egypt
45,Mumbai,India
46,Sao Paulo,Brazil
47,Mexico City,Mexico
48,Johannesburg,South Africa
