"year","code","starts","compls"
"2016-17","E09000002",185,0
"2016-17","E09000003",99,1
"2016-17","E09000004",34,53
"2016-17","E09000005",38,3
"2016-17","E09000006",21,43
"2016-17","E09000007",0,0
"2016-17","E09000001",17,0
"2016-17","E09000008",180,2
"2016-17","E09000009",176,0
"2016-17","E09000010",32,13
"2016-17","E09000011",25,44
"2016-17","E09000012",35,0
"2016-17","E09000013",56,6
"2016-17","E09000014",0,0
"2016-17","E09000015",55,0
"2016-17","E09000016",15,14
"2016-17","E09000017",6,7
"2016-17","E09000018",71,76
"2016-17","E09000019",166,15
"2016-17","E09000020",3,2
"2016-17","E09000021",0,20
"2016-17","E09000022",1,1
"2016-17","E09000023",138,58
"2016-17","E09000024",28,2
"2016-17","E09000025",0,72
"2016-17","E09000026",32,0
"2016-17","E09000027",45,8
"2016-17","E09000028",90,0
"2016-17","E09000029",0,26
"2016-17","E09000030",142,98
"2016-17","E09000031",126,30
"2016-17","E09000032",12,23
"2016-17","E09000033",39,0
"2015-16","E09000002",202,318
"2015-16","E09000003",376,113
"2015-16","E09000004",190,197
"2015-16","E09000005",96,202
"2015-16","E09000006",110,86
"2015-16","E09000007",195,106
"2015-16","E09000001",0,0
"2015-16","E09000008",397,263
"2015-16","E09000009",171,94
"2015-16","E09000010",324,59
"2015-16","E09000011",277,614
"2015-16","E09000012",67,63
"2015-16","E09000013",20,86
"2015-16","E09000014",66,5
"2015-16","E09000015",98,59
"2015-16","E09000016",22,67
"2015-16","E09000017",25,95
"2015-16","E09000018",476,79
"2015-16","E09000019",318,181
"2015-16","E09000020",33,108
"2015-16","E09000021",35,65
"2015-16","E09000022",640,238
"2015-16","E09000023",358,169
"2015-16","E09000024",80,92
"2015-16","E09000025",320,53
"2015-16","E09000026",279,33
"2015-16","E09000027",123,88
"2015-16","E09000028",393,267
"2015-16","E09000029",110,85
"2015-16","E09000030",750,295
"2015-16","E09000031",217,229
"2015-16","E09000032",489,410
"2015-16","E09000033",5,8
