"long","lat","order","piece","id","group","name"
128.833,32.6663,1,1,1,1.1,"catovair"
128.8488,32.67551,2,1,1,1.1,"catovair"
128.8647,32.68471,3,1,1,1.1,"catovair"
128.8806,32.69392,4,1,1,1.1,"catovair"
128.8964,32.70312,5,1,1,1.1,"catovair"
128.9123,32.71231,6,1,1,1.1,"catovair"
128.9282,32.72151,7,1,1,1.1,"catovair"
128.944,32.73071,8,1,1,1.1,"catovair"
128.9599,32.7399,9,1,1,1.1,"catovair"
128.9758,32.74909,10,1,1,1.1,"catovair"
128.9917,32.75828,11,1,1,1.1,"catovair"
129.0076,32.76746,12,1,1,1.1,"catovair"
129.0235,32.77665,13,1,1,1.1,"catovair"
129.0394,32.78583,14,1,1,1.1,"catovair"
129.0553,32.79501,15,1,1,1.1,"catovair"
129.0712,32.80419,16,1,1,1.1,"catovair"
129.0871,32.81337,17,1,1,1.1,"catovair"
129.103,32.82254,18,1,1,1.1,"catovair"
129.1189,32.83171,19,1,1,1.1,"catovair"
129.1348,32.84088,20,1,1,1.1,"catovair"
129.1507,32.85005,21,1,1,1.1,"catovair"
129.1666,32.85922,22,1,1,1.1,"catovair"
129.1826,32.86838,23,1,1,1.1,"catovair"
129.1985,32.87754,24,1,1,1.1,"catovair"
129.2144,32.8867,25,1,1,1.1,"catovair"
129.2303,32.89586,26,1,1,1.1,"catovair"
129.2463,32.90502,27,1,1,1.1,"catovair"
129.2622,32.91417,28,1,1,1.1,"catovair"
129.2782,32.92333,29,1,1,1.1,"catovair"
129.2941,32.93248,30,1,1,1.1,"catovair"
129.3101,32.94162,31,1,1,1.1,"catovair"
129.326,32.95077,32,1,1,1.1,"catovair"
129.342,32.95991,33,1,1,1.1,"catovair"
129.3579,32.96906,34,1,1,1.1,"catovair"
129.3739,32.9782,35,1,1,1.1,"catovair"
129.3899,32.98734,36,1,1,1.1,"catovair"
129.4058,32.99647,37,1,1,1.1,"catovair"
129.4218,33.00561,38,1,1,1.1,"catovair"
129.4378,33.01474,39,1,1,1.1,"catovair"
129.4538,33.02387,40,1,1,1.1,"catovair"
129.4697,33.03299,41,1,1,1.1,"catovair"
129.4857,33.04212,42,1,1,1.1,"catovair"
129.5017,33.05124,43,1,1,1.1,"catovair"
129.5177,33.06037,44,1,1,1.1,"catovair"
129.5337,33.06949,45,1,1,1.1,"catovair"
129.5497,33.0786,46,1,1,1.1,"catovair"
129.5657,33.08772,47,1,1,1.1,"catovair"
129.5817,33.09683,48,1,1,1.1,"catovair"
129.5977,33.10594,49,1,1,1.1,"catovair"
129.6137,33.11505,50,1,1,1.1,"catovair"
129.6298,33.12416,51,1,1,1.1,"catovair"
129.6458,33.13327,52,1,1,1.1,"catovair"
129.6618,33.14237,53,1,1,1.1,"catovair"
129.6778,33.15147,54,1,1,1.1,"catovair"
129.6938,33.16057,55,1,1,1.1,"catovair"
129.7099,33.16967,56,1,1,1.1,"catovair"
129.7259,33.17876,57,1,1,1.1,"catovair"
129.742,33.18786,58,1,1,1.1,"catovair"
129.758,33.19695,59,1,1,1.1,"catovair"
129.774,33.20604,60,1,1,1.1,"catovair"
129.7901,33.21512,61,1,1,1.1,"catovair"
129.8061,33.22421,62,1,1,1.1,"catovair"
129.8222,33.23329,63,1,1,1.1,"catovair"
129.8383,33.24237,64,1,1,1.1,"catovair"
129.8543,33.25145,65,1,1,1.1,"catovair"
129.8704,33.26053,66,1,1,1.1,"catovair"
129.8865,33.2696,67,1,1,1.1,"catovair"
129.9025,33.27867,68,1,1,1.1,"catovair"
129.9186,33.28774,69,1,1,1.1,"catovair"
129.9347,33.29681,70,1,1,1.1,"catovair"
129.9508,33.30588,71,1,1,1.1,"catovair"
129.9669,33.31494,72,1,1,1.1,"catovair"
129.9829,33.32401,73,1,1,1.1,"catovair"
129.999,33.33307,74,1,1,1.1,"catovair"
130.0151,33.34212,75,1,1,1.1,"catovair"
130.0312,33.35118,76,1,1,1.1,"catovair"
130.0473,33.36023,77,1,1,1.1,"catovair"
130.0634,33.36928,78,1,1,1.1,"catovair"
130.0796,33.37833,79,1,1,1.1,"catovair"
130.0957,33.38738,80,1,1,1.1,"catovair"
130.1118,33.39643,81,1,1,1.1,"catovair"
130.1279,33.40547,82,1,1,1.1,"catovair"
130.144,33.41451,83,1,1,1.1,"catovair"
130.1602,33.42355,84,1,1,1.1,"catovair"
130.1763,33.43259,85,1,1,1.1,"catovair"
130.1924,33.44162,86,1,1,1.1,"catovair"
130.2086,33.45066,87,1,1,1.1,"catovair"
130.2247,33.45969,88,1,1,1.1,"catovair"
130.2408,33.46872,89,1,1,1.1,"catovair"
130.257,33.47774,90,1,1,1.1,"catovair"
130.2731,33.48677,91,1,1,1.1,"catovair"
130.2893,33.49579,92,1,1,1.1,"catovair"
130.3054,33.50481,93,1,1,1.1,"catovair"
130.3216,33.51383,94,1,1,1.1,"catovair"
130.3378,33.52284,95,1,1,1.1,"catovair"
130.3539,33.53186,96,1,1,1.1,"catovair"
130.3701,33.54087,97,1,1,1.1,"catovair"
130.3863,33.54988,98,1,1,1.1,"catovair"
130.4025,33.55889,99,1,1,1.1,"catovair"
130.4186,33.56789,100,1,1,1.1,"catovair"
130.4348,33.5769,101,1,1,1.1,"catovair"
130.451,33.5859,102,1,1,1.1,"catovair"
128.833,32.6663,1,1,2,2.1,"catovair"
128.8437,32.66883,2,1,2,2.1,"catovair"
128.8543,32.67135,3,1,2,2.1,"catovair"
128.865,32.67388,4,1,2,2.1,"catovair"
128.8757,32.6764,5,1,2,2.1,"catovair"
128.8864,32.67893,6,1,2,2.1,"catovair"
128.897,32.68145,7,1,2,2.1,"catovair"
128.9077,32.68397,8,1,2,2.1,"catovair"
128.9184,32.68649,9,1,2,2.1,"catovair"
128.9291,32.68901,10,1,2,2.1,"catovair"
128.9398,32.69153,11,1,2,2.1,"catovair"
128.9504,32.69404,12,1,2,2.1,"catovair"
128.9611,32.69656,13,1,2,2.1,"catovair"
128.9718,32.69908,14,1,2,2.1,"catovair"
128.9825,32.70159,15,1,2,2.1,"catovair"
128.9932,32.70411,16,1,2,2.1,"catovair"
129.0038,32.70662,17,1,2,2.1,"catovair"
129.0145,32.70913,18,1,2,2.1,"catovair"
129.0252,32.71164,19,1,2,2.1,"catovair"
129.0359,32.71415,20,1,2,2.1,"catovair"
129.0466,32.71666,21,1,2,2.1,"catovair"
129.0573,32.71917,22,1,2,2.1,"catovair"
129.0679,32.72168,23,1,2,2.1,"catovair"
