"long","lat","order","piece","id","group","name"
-174.2059937,52.22029877,1,1,1,1.1,"aero-flight"
-174.133131428416,52.2392874043597,2,1,1,1.1,"aero-flight"
-174.060206853925,52.258231142714,3,1,1,1.1,"aero-flight"
-173.987220028514,52.2771299160046,4,1,1,1.1,"aero-flight"
-173.914171004891,52.2959836551999,5,1,1,1.1,"aero-flight"
-173.841059836482,52.3147922912959,6,1,1,1.1,"aero-flight"
-173.767886577437,52.3335557553169,7,1,1,1.1,"aero-flight"
-173.694651282628,52.3522739783166,8,1,1,1.1,"aero-flight"
-173.621354007655,52.3709468913789,9,1,1,1.1,"aero-flight"
-173.547994808844,52.3895744256188,10,1,1,1.1,"aero-flight"
-173.474573743252,52.4081565121832,11,1,1,1.1,"aero-flight"
-173.401090868667,52.4266930822522,12,1,1,1.1,"aero-flight"
-173.327546243611,52.4451840670395,13,1,1,1.1,"aero-flight"
-173.25393992734,52.4636293977937,14,1,1,1.1,"aero-flight"
-173.180271979849,52.4820290057989,15,1,1,1.1,"aero-flight"
-173.106542461869,52.5003828223761,16,1,1,1.1,"aero-flight"
-173.032751434873,52.5186907788835,17,1,1,1.1,"aero-flight"
-172.958898961078,52.536952806718,18,1,1,1.1,"aero-flight"
-172.884985103442,52.5551688373158,19,1,1,1.1,"aero-flight"
-172.811009925672,52.5733388021532,20,1,1,1.1,"aero-flight"
-172.736973492219,52.5914626327483,21,1,1,1.1,"aero-flight"
-172.662875868287,52.6095402606608,22,1,1,1.1,"aero-flight"
-172.588717119828,52.6275716174939,23,1,1,1.1,"aero-flight"
-172.51449731355,52.6455566348948,24,1,1,1.1,"aero-flight"
-172.440216516912,52.6634952445559,25,1,1,1.1,"aero-flight"
-172.36587479813,52.6813873782153,26,1,1,1.1,"aero-flight"
-172.29147222618,52.6992329676583,27,1,1,1.1,"aero-flight"
-172.217008870795,52.7170319447181,28,1,1,1.1,"aero-flight"
-172.142484802468,52.7347842412766,29,1,1,1.1,"aero-flight"
-172.067900092458,52.7524897892658,30,1,1,1.1,"aero-flight"
