"long","lat","order","piece","id","group","name"
-3.92629,5.26139,1,1,1,1.1,"air-burkina"
-3.930245,5.319795,2,1,1,1.1,"air-burkina"
-3.934201,5.3782,3,1,1,1.1,"air-burkina"
-3.938157,5.436605,4,1,1,1.1,"air-burkina"
-3.942114,5.495009,5,1,1,1.1,"air-burkina"
-3.946072,5.553414,6,1,1,1.1,"air-burkina"
-3.950031,5.611819,7,1,1,1.1,"air-burkina"
-3.953991,5.670223,8,1,1,1.1,"air-burkina"
-3.957951,5.728628,9,1,1,1.1,"air-burkina"
-3.961912,5.787033,10,1,1,1.1,"air-burkina"
-3.965874,5.845437,11,1,1,1.1,"air-burkina"
-3.969837,5.903842,12,1,1,1.1,"air-burkina"
-3.973801,5.962246,13,1,1,1.1,"air-burkina"
-3.977765,6.020651,14,1,1,1.1,"air-burkina"
-3.981731,6.079055,15,1,1,1.1,"air-burkina"
-3.985697,6.13746,16,1,1,1.1,"air-burkina"
-3.989664,6.195864,17,1,1,1.1,"air-burkina"
-3.993632,6.254268,18,1,1,1.1,"air-burkina"
-3.997601,6.312673,19,1,1,1.1,"air-burkina"
-4.001571,6.371077,20,1,1,1.1,"air-burkina"
-4.005541,6.429481,21,1,1,1.1,"air-burkina"
-4.009513,6.487885,22,1,1,1.1,"air-burkina"
-4.013485,6.54629,23,1,1,1.1,"air-burkina"
-4.017459,6.604694,24,1,1,1.1,"air-burkina"
-4.021433,6.663098,25,1,1,1.1,"air-burkina"
-4.025409,6.721502,26,1,1,1.1,"air-burkina"
-4.029385,6.779906,27,1,1,1.1,"air-burkina"
-4.033362,6.83831,28,1,1,1.1,"air-burkina"
-4.03734,6.896714,29,1,1,1.1,"air-burkina"
-4.041319,6.955118,30,1,1,1.1,"air-burkina"
-4.0453,7.013522,31,1,1,1.1,"air-burkina"
-4.049281,7.071926,32,1,1,1.1,"air-burkina"
-4.053263,7.13033,33,1,1,1.1,"air-burkina"
-4.057246,7.188734,34,1,1,1.1,"air-burkina"
-4.06123,7.247138,35,1,1,1.1,"air-burkina"
-4.065216,7.305542,36,1,1,1.1,"air-burkina"
-4.069202,7.363945,37,1,1,1.1,"air-burkina"
-4.073189,7.422349,38,1,1,1.1,"air-burkina"
-4.077178,7.480753,39,1,1,1.1,"air-burkina"
-4.081167,7.539156,40,1,1,1.1,"air-burkina"
-4.085158,7.59756,41,1,1,1.1,"air-burkina"
-4.089149,7.655964,42,1,1,1.1,"air-burkina"
-4.093142,7.714367,43,1,1,1.1,"air-burkina"
-4.097136,7.772771,44,1,1,1.1,"air-burkina"
-4.101131,7.831174,45,1,1,1.1,"air-burkina"
-4.105127,7.889577,46,1,1,1.1,"air-burkina"
-4.109124,7.947981,47,1,1,1.1,"air-burkina"
-4.113122,8.006384,48,1,1,1.1,"air-burkina"
-4.117122,8.064787,49,1,1,1.1,"air-burkina"
-4.121123,8.123191,50,1,1,1.1,"air-burkina"
-4.125124,8.181594,51,1,1,1.1,"air-burkina"
-4.129127,8.239997,52,1,1,1.1,"air-burkina"
-4.133131,8.2984,53,1,1,1.1,"air-burkina"
-4.137137,8.356803,54,1,1,1.1,"air-burkina"
-4.141143,8.415207,55,1,1,1.1,"air-burkina"
-4.145151,8.47361,56,1,1,1.1,"air-burkina"
-4.14916,8.532013,57,1,1,1.1,"air-burkina"
-4.15317,8.590416,58,1,1,1.1,"air-burkina"
-4.157182,8.648818,59,1,1,1.1,"air-burkina"
-4.161194,8.707221,60,1,1,1.1,"air-burkina"
-4.165208,8.765624,61,1,1,1.1,"air-burkina"
-4.169223,8.824027,62,1,1,1.1,"air-burkina"
-4.17324,8.88243,63,1,1,1.1,"air-burkina"
-4.177258,8.940832,64,1,1,1.1,"air-burkina"
-4.181277,8.999235,65,1,1,1.1,"air-burkina"
-4.185297,9.057638,66,1,1,1.1,"air-burkina"
-4.189319,9.11604,67,1,1,1.1,"air-burkina"
-4.193342,9.174443,68,1,1,1.1,"air-burkina"
-4.197366,9.232845,69,1,1,1.1,"air-burkina"
-4.201392,9.291248,70,1,1,1.1,"air-burkina"
-4.205418,9.34965,71,1,1,1.1,"air-burkina"
-4.209447,9.408052,72,1,1,1.1,"air-burkina"
-4.213476,9.466455,73,1,1,1.1,"air-burkina"
-4.217507,9.524857,74,1,1,1.1,"air-burkina"
-4.22154,9.583259,75,1,1,1.1,"air-burkina"
-4.225574,9.641661,76,1,1,1.1,"air-burkina"
-4.229609,9.700063,77,1,1,1.1,"air-burkina"
-4.233645,9.758465,78,1,1,1.1,"air-burkina"
-4.237683,9.816867,79,1,1,1.1,"air-burkina"
-4.241723,9.875269,80,1,1,1.1,"air-burkina"
-4.245764,9.933671,81,1,1,1.1,"air-burkina"
-4.249806,9.992073,82,1,1,1.1,"air-burkina"
-4.25385,10.05048,83,1,1,1.1,"air-burkina"
-4.257895,10.10888,84,1,1,1.1,"air-burkina"
-4.261942,10.16728,85,1,1,1.1,"air-burkina"
-4.26599,10.22568,86,1,1,1.1,"air-burkina"
-4.27004,10.28408,87,1,1,1.1,"air-burkina"
-4.274091,10.34248,88,1,1,1.1,"air-burkina"
-4.278144,10.40088,89,1,1,1.1,"air-burkina"
-4.282198,10.45929,90,1,1,1.1,"air-burkina"
-4.286253,10.51769,91,1,1,1.1,"air-burkina"
-4.290311,10.57609,92,1,1,1.1,"air-burkina"
-4.29437,10.63449,93,1,1,1.1,"air-burkina"
-4.29843,10.69289,94,1,1,1.1,"air-burkina"
-4.302492,10.75129,95,1,1,1.1,"air-burkina"
-4.306555,10.80969,96,1,1,1.1,"air-burkina"
-4.31062,10.8681,97,1,1,1.1,"air-burkina"
-4.314687,10.9265,98,1,1,1.1,"air-burkina"
-4.318755,10.9849,99,1,1,1.1,"air-burkina"
-4.322825,11.0433,100,1,1,1.1,"air-burkina"
-4.326897,11.1017,101,1,1,1.1,"air-burkina"
-4.33097,11.1601,102,1,1,1.1,"air-burkina"
-3.92629,5.26139,1,1,2,2.1,"air-burkina"
-3.902782,5.331671,2,1,2,2.1,"air-burkina"
-3.879269,5.401951,3,1,2,2.1,"air-burkina"
-3.855751,5.472231,4,1,2,2.1,"air-burkina"
-3.832227,5.542509,5,1,2,2.1,"air-burkina"
-3.808697,5.612786,6,1,2,2.1,"air-burkina"
-3.785162,5.683063,7,1,2,2.1,"air-burkina"
-3.761621,5.753338,8,1,2,2.1,"air-burkina"
-3.738074,5.823613,9,1,2,2.1,"air-burkina"
-3.714522,5.893886,10,1,2,2.1,"air-burkina"
-3.690963,5.964159,11,1,2,2.1,"air-burkina"
-3.667398,6.03443,12,1,2,2.1,"air-burkina"
-3.643827,6.104701,13,1,2,2.1,"air-burkina"
-3.62025,6.17497,14,1,2,2.1,"air-burkina"
-3.596667,6.245239,15,1,2,2.1,"air-burkina"
-3.573078,6.315506,16,1,2,2.1,"air-burkina"
-3.549481,6.385772,17,1,2,2.1,"air-burkina"
-3.525879,6.456038,18,1,2,2.1,"air-burkina"
-3.50227,6.526302,19,1,2,2.1,"air-burkina"
-3.478654,6.596565,20,1,2,2.1,"air-burkina"
-3.455032,6.666827,21,1,2,2.1,"air-burkina"
-3.431403,6.737088,22,1,2,2.1,"air-burkina"
-3.407767,6.807347,23,1,2,2.1,"air-burkina"
-3.384124,6.877606,24,1,2,2.1,"air-burkina"
-3.360474,6.947863,25,1,2,2.1,"air-burkina"
-3.336817,7.01812,26,1,2,2.1,"air-burkina"
-3.313153,7.088375,27,1,2,2.1,"air-burkina"
-3.289482,7.158628,28,1,2,2.1,"air-burkina"
-3.265803,7.228881,29,1,2,2.1,"air-burkina"
-3.242117,7.299132,30,1,2,2.1,"air-burkina"
-3.218424,7.369383,31,1,2,2.1,"air-burkina"
-3.194723,7.439632,32,1,2,2.1,"air-burkina"
-3.171014,7.509879,33,1,2,2.1,"air-burkina"
-3.147298,7.580126,34,1,2,2.1,"air-burkina"
-3.123574,7.650371,35,1,2,2.1,"air-burkina"
-3.099842,7.720615,36,1,2,2.1,"air-burkina"
-3.076103,7.790857,37,1,2,2.1,"air-burkina"
-3.052355,7.861098,38,1,2,2.1,"air-burkina"
-3.028599,7.931338,39,1,2,2.1,"air-burkina"
-3.004836,8.001577,40,1,2,2.1,"air-burkina"
-2.981064,8.071814,41,1,2,2.1,"air-burkina"
-2.957283,8.14205,42,1,2,2.1,"air-burkina"
-2.933495,8.212284,43,1,2,2.1,"air-burkina"
-2.909698,8.282517,44,1,2,2.1,"air-burkina"
-2.885892,8.352749,45,1,2,2.1,"air-burkina"
-2.862078,8.422979,46,1,2,2.1,"air-burkina"
-2.838256,8.493207,47,1,2,2.1,"air-burkina"
-2.814424,8.563435,48,1,2,2.1,"air-burkina"
-2.790584,8.633661,49,1,2,2.1,"air-burkina"
-2.766735,8.703885,50,1,2,2.1,"air-burkina"
-2.742877,8.774108,51,1,2,2.1,"air-burkina"
-2.71901,8.844329,52,1,2,2.1,"air-burkina"
-2.695134,8.914549,53,1,2,2.1,"air-burkina"
-2.671248,8.984767,54,1,2,2.1,"air-burkina"
-2.647354,9.054984,55,1,2,2.1,"air-burkina"
-2.62345,9.125199,56,1,2,2.1,"air-burkina"
-2.599536,9.195413,57,1,2,2.1,"air-burkina"
-2.575614,9.265625,58,1,2,2.1,"air-burkina"
-2.551681,9.335836,59,1,2,2.1,"air-burkina"
-2.527739,9.406045,60,1,2,2.1,"air-burkina"
-2.503787,9.476252,61,1,2,2.1,"air-burkina"
-2.479826,9.546458,62,1,2,2.1,"air-burkina"
-2.455854,9.616662,63,1,2,2.1,"air-burkina"
-2.431873,9.686864,64,1,2,2.1,"air-burkina"
-2.407881,9.757065,65,1,2,2.1,"air-burkina"
-2.38388,9.827264,66,1,2,2.1,"air-burkina"
-2.359868,9.897461,67,1,2,2.1,"air-burkina"
-2.335846,9.967657,68,1,2,2.1,"air-burkina"
-2.311814,10.03785,69,1,2,2.1,"air-burkina"
-2.287771,10.10804,70,1,2,2.1,"air-burkina"
-2.263718,10.17823,71,1,2,2.1,"air-burkina"
-2.239654,10.24842,72,1,2,2.1,"air-burkina"
-2.215579,10.31861,73,1,2,2.1,"air-burkina"
-2.191494,10.38879,74,1,2,2.1,"air-burkina"
-2.167398,10.45898,75,1,2,2.1,"air-burkina"
-2.143291,10.52916,76,1,2,2.1,"air-burkina"
-2.119173,10.59934,77,1,2,2.1,"air-burkina"
-2.095044,10.66952,78,1,2,2.1,"air-burkina"
-2.070904,10.73969,79,1,2,2.1,"air-burkina"
-2.046752,10.80987,80,1,2,2.1,"air-burkina"
-2.02259,10.88004,81,1,2,2.1,"air-burkina"
-1.998416,10.95021,82,1,2,2.1,"air-burkina"
-1.97423,11.02038,83,1,2,2.1,"air-burkina"
-1.950033,11.09054,84,1,2,2.1,"air-burkina"
-1.925824,11.16071,85,1,2,2.1,"air-burkina"
-1.901604,11.23087,86,1,2,2.1,"air-burkina"
-1.877372,11.30103,87,1,2,2.1,"air-burkina"
-1.853128,11.37119,88,1,2,2.1,"air-burkina"
-1.828872,11.44135,89,1,2,2.1,"air-burkina"
-1.804604,11.5115,90,1,2,2.1,"air-burkina"
