"long","lat","order","piece","id","group","name"
123.979,10.3075,1,1,1,1.1,"air-busan"
124.0211,10.55433,2,1,1,1.1,"air-busan"
124.0633,10.80116,3,1,1,1.1,"air-busan"
124.1056,11.04799,4,1,1,1.1,"air-busan"
124.1479,11.2948,5,1,1,1.1,"air-busan"
124.1903,11.54161,6,1,1,1.1,"air-busan"
124.2328,11.78842,7,1,1,1.1,"air-busan"
124.2753,12.03522,8,1,1,1.1,"air-busan"
124.318,12.28201,9,1,1,1.1,"air-busan"
124.3607,12.52879,10,1,1,1.1,"air-busan"
124.4035,12.77557,11,1,1,1.1,"air-busan"
124.4464,13.02234,12,1,1,1.1,"air-busan"
124.4893,13.26911,13,1,1,1.1,"air-busan"
124.5324,13.51587,14,1,1,1.1,"air-busan"
124.5755,13.76262,15,1,1,1.1,"air-busan"
124.6188,14.00936,16,1,1,1.1,"air-busan"
124.6621,14.25609,17,1,1,1.1,"air-busan"
124.7055,14.50282,18,1,1,1.1,"air-busan"
124.749,14.74954,19,1,1,1.1,"air-busan"
124.7927,14.99625,20,1,1,1.1,"air-busan"
124.8364,15.24295,21,1,1,1.1,"air-busan"
124.8802,15.48965,22,1,1,1.1,"air-busan"
124.9241,15.73633,23,1,1,1.1,"air-busan"
124.9681,15.98301,24,1,1,1.1,"air-busan"
125.0123,16.22968,25,1,1,1.1,"air-busan"
125.0565,16.47634,26,1,1,1.1,"air-busan"
125.1009,16.72299,27,1,1,1.1,"air-busan"
125.1454,16.96963,28,1,1,1.1,"air-busan"
125.19,17.21626,29,1,1,1.1,"air-busan"
125.2347,17.46288,30,1,1,1.1,"air-busan"
125.2795,17.70949,31,1,1,1.1,"air-busan"
125.3245,17.95609,32,1,1,1.1,"air-busan"
125.3696,18.20268,33,1,1,1.1,"air-busan"
125.4148,18.44925,34,1,1,1.1,"air-busan"
125.4601,18.69582,35,1,1,1.1,"air-busan"
125.5056,18.94238,36,1,1,1.1,"air-busan"
125.5512,19.18893,37,1,1,1.1,"air-busan"
125.597,19.43546,38,1,1,1.1,"air-busan"
125.6428,19.68199,39,1,1,1.1,"air-busan"
125.6889,19.9285,40,1,1,1.1,"air-busan"
125.735,20.175,41,1,1,1.1,"air-busan"
125.7814,20.42148,42,1,1,1.1,"air-busan"
125.8278,20.66796,43,1,1,1.1,"air-busan"
125.8744,20.91442,44,1,1,1.1,"air-busan"
125.9212,21.16087,45,1,1,1.1,"air-busan"
125.9681,21.40731,46,1,1,1.1,"air-busan"
126.0152,21.65374,47,1,1,1.1,"air-busan"
126.0625,21.90015,48,1,1,1.1,"air-busan"
126.1099,22.14654,49,1,1,1.1,"air-busan"
126.1575,22.39293,50,1,1,1.1,"air-busan"
126.2052,22.6393,51,1,1,1.1,"air-busan"
126.2531,22.88565,52,1,1,1.1,"air-busan"
126.3012,23.13199,53,1,1,1.1,"air-busan"
126.3495,23.37832,54,1,1,1.1,"air-busan"
126.3979,23.62463,55,1,1,1.1,"air-busan"
126.4466,23.87093,56,1,1,1.1,"air-busan"
126.4954,24.11721,57,1,1,1.1,"air-busan"
126.5444,24.36348,58,1,1,1.1,"air-busan"
126.5936,24.60973,59,1,1,1.1,"air-busan"
126.643,24.85596,60,1,1,1.1,"air-busan"
126.6925,25.10218,61,1,1,1.1,"air-busan"
126.7423,25.34838,62,1,1,1.1,"air-busan"
