"long","lat","order","piece","id","group","name"
125.67,39.2241,1,1,1,1.1,"air-koryo"
125.3454,38.88726,2,1,1,1.1,"air-koryo"
125.0239,38.54954,3,1,1,1.1,"air-koryo"
124.7054,38.21095,4,1,1,1.1,"air-koryo"
124.3899,37.8715,5,1,1,1.1,"air-koryo"
124.0773,37.53122,6,1,1,1.1,"air-koryo"
123.7675,37.19012,7,1,1,1.1,"air-koryo"
123.4605,36.84823,8,1,1,1.1,"air-koryo"
123.1562,36.50555,9,1,1,1.1,"air-koryo"
122.8546,36.1621,10,1,1,1.1,"air-koryo"
122.5557,35.81791,11,1,1,1.1,"air-koryo"
122.2593,35.47298,12,1,1,1.1,"air-koryo"
121.9655,35.12733,13,1,1,1.1,"air-koryo"
121.6741,34.78098,14,1,1,1.1,"air-koryo"
121.3852,34.43394,15,1,1,1.1,"air-koryo"
121.0987,34.08623,16,1,1,1.1,"air-koryo"
120.8146,33.73786,17,1,1,1.1,"air-koryo"
120.5327,33.38884,18,1,1,1.1,"air-koryo"
120.2531,33.03919,19,1,1,1.1,"air-koryo"
119.9757,32.68892,20,1,1,1.1,"air-koryo"
119.7004,32.33805,21,1,1,1.1,"air-koryo"
119.4273,31.98658,22,1,1,1.1,"air-koryo"
119.1563,31.63454,23,1,1,1.1,"air-koryo"
118.8874,31.28192,24,1,1,1.1,"air-koryo"
118.6204,30.92875,25,1,1,1.1,"air-koryo"
118.3554,30.57503,26,1,1,1.1,"air-koryo"
118.0923,30.22079,27,1,1,1.1,"air-koryo"
117.8312,29.86602,28,1,1,1.1,"air-koryo"
117.5718,29.51073,29,1,1,1.1,"air-koryo"
117.3143,29.15495,30,1,1,1.1,"air-koryo"
117.0586,28.79868,31,1,1,1.1,"air-koryo"
116.8046,28.44194,32,1,1,1.1,"air-koryo"
116.5523,28.08472,33,1,1,1.1,"air-koryo"
116.3017,27.72705,34,1,1,1.1,"air-koryo"
116.0527,27.36892,35,1,1,1.1,"air-koryo"
115.8054,27.01036,36,1,1,1.1,"air-koryo"
115.5596,26.65137,37,1,1,1.1,"air-koryo"
115.3153,26.29196,38,1,1,1.1,"air-koryo"
115.0726,25.93214,39,1,1,1.1,"air-koryo"
114.8314,25.57191,40,1,1,1.1,"air-koryo"
114.5915,25.2113,41,1,1,1.1,"air-koryo"
114.3532,24.85029,42,1,1,1.1,"air-koryo"
114.1162,24.48892,43,1,1,1.1,"air-koryo"
113.8805,24.12717,44,1,1,1.1,"air-koryo"
113.6462,23.76507,45,1,1,1.1,"air-koryo"
113.4132,23.40261,46,1,1,1.1,"air-koryo"
113.1814,23.03981,47,1,1,1.1,"air-koryo"
112.951,22.67667,48,1,1,1.1,"air-koryo"
112.7217,22.31321,49,1,1,1.1,"air-koryo"
112.4936,21.94943,50,1,1,1.1,"air-koryo"
112.2667,21.58533,51,1,1,1.1,"air-koryo"
112.0409,21.22092,52,1,1,1.1,"air-koryo"
111.8162,20.85622,53,1,1,1.1,"air-koryo"
111.5926,20.49123,54,1,1,1.1,"air-koryo"
111.3701,20.12595,55,1,1,1.1,"air-koryo"
111.1486,19.76039,56,1,1,1.1,"air-koryo"
110.9282,19.39456,57,1,1,1.1,"air-koryo"
110.7087,19.02847,58,1,1,1.1,"air-koryo"
110.4902,18.66212,59,1,1,1.1,"air-koryo"
110.2726,18.29552,60,1,1,1.1,"air-koryo"
110.056,17.92867,61,1,1,1.1,"air-koryo"
109.8402,17.56159,62,1,1,1.1,"air-koryo"
109.6253,17.19427,63,1,1,1.1,"air-koryo"
109.4113,16.82672,64,1,1,1.1,"air-koryo"
109.1981,16.45896,65,1,1,1.1,"air-koryo"
108.9857,16.09098,66,1,1,1.1,"air-koryo"
108.7741,15.72279,67,1,1,1.1,"air-koryo"
108.5632,15.35439,68,1,1,1.1,"air-koryo"
108.3531,14.9858,69,1,1,1.1,"air-koryo"
108.1438,14.61702,70,1,1,1.1,"air-koryo"
107.9351,14.24805,71,1,1,1.1,"air-koryo"
107.7271,13.87891,72,1,1,1.1,"air-koryo"
107.5198,13.50958,73,1,1,1.1,"air-koryo"
107.3131,13.14009,74,1,1,1.1,"air-koryo"
107.107,12.77043,75,1,1,1.1,"air-koryo"
106.9015,12.40061,76,1,1,1.1,"air-koryo"
106.6966,12.03064,77,1,1,1.1,"air-koryo"
106.4923,11.66052,78,1,1,1.1,"air-koryo"
106.2885,11.29025,79,1,1,1.1,"air-koryo"
106.0853,10.91985,80,1,1,1.1,"air-koryo"
105.8825,10.54931,81,1,1,1.1,"air-koryo"
105.6803,10.17864,82,1,1,1.1,"air-koryo"
105.4785,9.807855,83,1,1,1.1,"air-koryo"
105.2772,9.436946,84,1,1,1.1,"air-koryo"
105.0763,9.065922,85,1,1,1.1,"air-koryo"
104.8758,8.694789,86,1,1,1.1,"air-koryo"
104.6757,8.323552,87,1,1,1.1,"air-koryo"
104.476,7.952215,88,1,1,1.1,"air-koryo"
104.2766,7.580782,89,1,1,1.1,"air-koryo"
104.0776,7.209259,90,1,1,1.1,"air-koryo"
103.8789,6.83765,91,1,1,1.1,"air-koryo"
103.6805,6.46596,92,1,1,1.1,"air-koryo"
103.4824,6.094193,93,1,1,1.1,"air-koryo"
103.2846,5.722354,94,1,1,1.1,"air-koryo"
103.0871,5.350447,95,1,1,1.1,"air-koryo"
102.8898,4.978477,96,1,1,1.1,"air-koryo"
102.6927,4.606448,97,1,1,1.1,"air-koryo"
102.4958,4.234365,98,1,1,1.1,"air-koryo"
102.2991,3.862232,99,1,1,1.1,"air-koryo"
102.1026,3.490054,100,1,1,1.1,"air-koryo"
101.9062,3.117835,101,1,1,1.1,"air-koryo"
101.71,2.74558,102,1,1,1.1,"air-koryo"
125.67,39.2241,1,1,2,2.1,"air-koryo"
125.5813,39.23601,2,1,2,2.1,"air-koryo"
125.4925,39.24786,3,1,2,2.1,"air-koryo"
125.4038,39.25964,4,1,2,2.1,"air-koryo"
125.315,39.27135,5,1,2,2.1,"air-koryo"
125.2261,39.283,6,1,2,2.1,"air-koryo"
125.1373,39.29458,7,1,2,2.1,"air-koryo"
125.0484,39.30609,8,1,2,2.1,"air-koryo"
124.9595,39.31753,9,1,2,2.1,"air-koryo"
124.8705,39.3289,10,1,2,2.1,"air-koryo"
124.7816,39.34021,11,1,2,2.1,"air-koryo"
124.6926,39.35145,12,1,2,2.1,"air-koryo"
124.6035,39.36262,13,1,2,2.1,"air-koryo"
124.5145,39.37372,14,1,2,2.1,"air-koryo"
124.4254,39.38476,15,1,2,2.1,"air-koryo"
124.3363,39.39573,16,1,2,2.1,"air-koryo"
124.2471,39.40663,17,1,2,2.1,"air-koryo"
124.1579,39.41746,18,1,2,2.1,"air-koryo"
124.0687,39.42822,19,1,2,2.1,"air-koryo"
123.9795,39.43892,20,1,2,2.1,"air-koryo"
123.8903,39.44954,21,1,2,2.1,"air-koryo"
123.801,39.4601,22,1,2,2.1,"air-koryo"
123.7117,39.47059,23,1,2,2.1,"air-koryo"
123.6223,39.48102,24,1,2,2.1,"air-koryo"
123.533,39.49137,25,1,2,2.1,"air-koryo"
123.4436,39.50166,26,1,2,2.1,"air-koryo"
123.3542,39.51187,27,1,2,2.1,"air-koryo"
123.2647,39.52202,28,1,2,2.1,"air-koryo"
123.1753,39.5321,29,1,2,2.1,"air-koryo"
123.0858,39.54211,30,1,2,2.1,"air-koryo"
122.9962,39.55206,31,1,2,2.1,"air-koryo"
122.9067,39.56193,32,1,2,2.1,"air-koryo"
122.8171,39.57174,33,1,2,2.1,"air-koryo"
122.7275,39.58147,34,1,2,2.1,"air-koryo"
122.6379,39.59114,35,1,2,2.1,"air-koryo"
122.5483,39.60074,36,1,2,2.1,"air-koryo"
122.4586,39.61027,37,1,2,2.1,"air-koryo"
122.3689,39.61973,38,1,2,2.1,"air-koryo"
122.2792,39.62912,39,1,2,2.1,"air-koryo"
122.1894,39.63845,40,1,2,2.1,"air-koryo"
