"long","lat","order","piece","id","group","name"
23.9445,37.9364,1,1,1,1.1,"all-america"
23.96662,37.90966,2,1,1,1.1,"all-america"
23.98872,37.88292,3,1,1,1.1,"all-america"
24.01081,37.85618,4,1,1,1.1,"all-america"
24.03288,37.82942,5,1,1,1.1,"all-america"
24.05493,37.80267,6,1,1,1.1,"all-america"
24.07697,37.77591,7,1,1,1.1,"all-america"
24.099,37.74915,8,1,1,1.1,"all-america"
24.121,37.72238,9,1,1,1.1,"all-america"
24.14299,37.69561,10,1,1,1.1,"all-america"
24.16497,37.66884,11,1,1,1.1,"all-america"
24.18693,37.64206,12,1,1,1.1,"all-america"
24.20887,37.61528,13,1,1,1.1,"all-america"
24.2308,37.58849,14,1,1,1.1,"all-america"
24.25271,37.5617,15,1,1,1.1,"all-america"
24.27461,37.5349,16,1,1,1.1,"all-america"
24.29649,37.5081,17,1,1,1.1,"all-america"
24.31835,37.4813,18,1,1,1.1,"all-america"
24.3402,37.45449,19,1,1,1.1,"all-america"
24.36203,37.42768,20,1,1,1.1,"all-america"
24.38385,37.40087,21,1,1,1.1,"all-america"
24.40565,37.37405,22,1,1,1.1,"all-america"
24.42744,37.34722,23,1,1,1.1,"all-america"
24.44921,37.3204,24,1,1,1.1,"all-america"
24.47097,37.29356,25,1,1,1.1,"all-america"
24.4927,37.26673,26,1,1,1.1,"all-america"
24.51443,37.23989,27,1,1,1.1,"all-america"
24.53614,37.21305,28,1,1,1.1,"all-america"
24.55783,37.1862,29,1,1,1.1,"all-america"
24.57951,37.15935,30,1,1,1.1,"all-america"
24.60117,37.13249,31,1,1,1.1,"all-america"
24.62282,37.10563,32,1,1,1.1,"all-america"
24.64445,37.07877,33,1,1,1.1,"all-america"
24.66607,37.0519,34,1,1,1.1,"all-america"
24.68767,37.02503,35,1,1,1.1,"all-america"
24.70925,36.99816,36,1,1,1.1,"all-america"
24.73083,36.97128,37,1,1,1.1,"all-america"
24.75238,36.9444,38,1,1,1.1,"all-america"
24.77392,36.91751,39,1,1,1.1,"all-america"
24.79545,36.89062,40,1,1,1.1,"all-america"
24.81696,36.86373,41,1,1,1.1,"all-america"
24.83845,36.83683,42,1,1,1.1,"all-america"
24.85993,36.80993,43,1,1,1.1,"all-america"
24.8814,36.78302,44,1,1,1.1,"all-america"
24.90285,36.75611,45,1,1,1.1,"all-america"
24.92428,36.7292,46,1,1,1.1,"all-america"
24.9457,36.70228,47,1,1,1.1,"all-america"
24.9671,36.67536,48,1,1,1.1,"all-america"
