"long","lat","order","piece","id","group","name"
35.9932,31.7226,1,1,1,1.1,"arkia-israel-airlines"
35.98228,31.72551,2,1,1,1.1,"arkia-israel-airlines"
35.97135,31.72841,3,1,1,1.1,"arkia-israel-airlines"
35.96043,31.73132,4,1,1,1.1,"arkia-israel-airlines"
35.94951,31.73422,5,1,1,1.1,"arkia-israel-airlines"
35.93858,31.73712,6,1,1,1.1,"arkia-israel-airlines"
35.92766,31.74002,7,1,1,1.1,"arkia-israel-airlines"
35.91673,31.74292,8,1,1,1.1,"arkia-israel-airlines"
35.90581,31.74582,9,1,1,1.1,"arkia-israel-airlines"
35.89488,31.74872,10,1,1,1.1,"arkia-israel-airlines"
35.88395,31.75162,11,1,1,1.1,"arkia-israel-airlines"
35.87303,31.75452,12,1,1,1.1,"arkia-israel-airlines"
35.8621,31.75741,13,1,1,1.1,"arkia-israel-airlines"
35.85117,31.76031,14,1,1,1.1,"arkia-israel-airlines"
35.84024,31.7632,15,1,1,1.1,"arkia-israel-airlines"
35.82931,31.7661,16,1,1,1.1,"arkia-israel-airlines"
35.81837,31.76899,17,1,1,1.1,"arkia-israel-airlines"
35.80744,31.77188,18,1,1,1.1,"arkia-israel-airlines"
35.79651,31.77477,19,1,1,1.1,"arkia-israel-airlines"
35.78558,31.77766,20,1,1,1.1,"arkia-israel-airlines"
35.77464,31.78055,21,1,1,1.1,"arkia-israel-airlines"
35.76371,31.78344,22,1,1,1.1,"arkia-israel-airlines"
35.75277,31.78632,23,1,1,1.1,"arkia-israel-airlines"
35.74183,31.78921,24,1,1,1.1,"arkia-israel-airlines"
35.7309,31.79209,25,1,1,1.1,"arkia-israel-airlines"
35.71996,31.79498,26,1,1,1.1,"arkia-israel-airlines"
35.70902,31.79786,27,1,1,1.1,"arkia-israel-airlines"
35.69808,31.80074,28,1,1,1.1,"arkia-israel-airlines"
35.68714,31.80362,29,1,1,1.1,"arkia-israel-airlines"
35.6762,31.8065,30,1,1,1.1,"arkia-israel-airlines"
35.66526,31.80938,31,1,1,1.1,"arkia-israel-airlines"
35.65432,31.81226,32,1,1,1.1,"arkia-israel-airlines"
35.64338,31.81514,33,1,1,1.1,"arkia-israel-airlines"
35.63243,31.81801,34,1,1,1.1,"arkia-israel-airlines"
35.62149,31.82089,35,1,1,1.1,"arkia-israel-airlines"
35.61054,31.82376,36,1,1,1.1,"arkia-israel-airlines"
35.5996,31.82664,37,1,1,1.1,"arkia-israel-airlines"
35.58865,31.82951,38,1,1,1.1,"arkia-israel-airlines"
35.57771,31.83238,39,1,1,1.1,"arkia-israel-airlines"
35.56676,31.83525,40,1,1,1.1,"arkia-israel-airlines"
35.55581,31.83812,41,1,1,1.1,"arkia-israel-airlines"
35.54486,31.84099,42,1,1,1.1,"arkia-israel-airlines"
35.53391,31.84386,43,1,1,1.1,"arkia-israel-airlines"
35.52296,31.84673,44,1,1,1.1,"arkia-israel-airlines"
35.51201,31.84959,45,1,1,1.1,"arkia-israel-airlines"
35.50106,31.85246,46,1,1,1.1,"arkia-israel-airlines"
35.49011,31.85532,47,1,1,1.1,"arkia-israel-airlines"
35.47916,31.85818,48,1,1,1.1,"arkia-israel-airlines"
35.4682,31.86105,49,1,1,1.1,"arkia-israel-airlines"
35.45725,31.86391,50,1,1,1.1,"arkia-israel-airlines"
35.44629,31.86677,51,1,1,1.1,"arkia-israel-airlines"
35.43534,31.86963,52,1,1,1.1,"arkia-israel-airlines"
35.42438,31.87249,53,1,1,1.1,"arkia-israel-airlines"
35.41343,31.87534,54,1,1,1.1,"arkia-israel-airlines"
35.40247,31.8782,55,1,1,1.1,"arkia-israel-airlines"
35.39151,31.88106,56,1,1,1.1,"arkia-israel-airlines"
35.38055,31.88391,57,1,1,1.1,"arkia-israel-airlines"
35.36959,31.88676,58,1,1,1.1,"arkia-israel-airlines"
35.35863,31.88962,59,1,1,1.1,"arkia-israel-airlines"
35.34767,31.89247,60,1,1,1.1,"arkia-israel-airlines"
35.33671,31.89532,61,1,1,1.1,"arkia-israel-airlines"
35.32575,31.89817,62,1,1,1.1,"arkia-israel-airlines"
35.31478,31.90102,63,1,1,1.1,"arkia-israel-airlines"
35.30382,31.90387,64,1,1,1.1,"arkia-israel-airlines"
35.29285,31.90671,65,1,1,1.1,"arkia-israel-airlines"
35.28189,31.90956,66,1,1,1.1,"arkia-israel-airlines"
35.27092,31.91241,67,1,1,1.1,"arkia-israel-airlines"
35.25996,31.91525,68,1,1,1.1,"arkia-israel-airlines"
35.24899,31.91809,69,1,1,1.1,"arkia-israel-airlines"
35.23802,31.92094,70,1,1,1.1,"arkia-israel-airlines"
35.22705,31.92378,71,1,1,1.1,"arkia-israel-airlines"
35.21609,31.92662,72,1,1,1.1,"arkia-israel-airlines"
35.20512,31.92946,73,1,1,1.1,"arkia-israel-airlines"
35.19415,31.9323,74,1,1,1.1,"arkia-israel-airlines"
35.18317,31.93513,75,1,1,1.1,"arkia-israel-airlines"
35.1722,31.93797,76,1,1,1.1,"arkia-israel-airlines"
35.16123,31.94081,77,1,1,1.1,"arkia-israel-airlines"
35.15026,31.94364,78,1,1,1.1,"arkia-israel-airlines"
35.13928,31.94648,79,1,1,1.1,"arkia-israel-airlines"
