"long","lat","order","piece","id","group","name"
-79.8828,19.687,1,1,1,1.1,"cayman-airways"
-79.89744,19.68316,2,1,1,1.1,"cayman-airways"
-79.91207,19.67931,3,1,1,1.1,"cayman-airways"
-79.92671,19.67546,4,1,1,1.1,"cayman-airways"
-79.94135,19.67162,5,1,1,1.1,"cayman-airways"
-79.95598,19.66777,6,1,1,1.1,"cayman-airways"
-79.97062,19.66392,7,1,1,1.1,"cayman-airways"
-79.98525,19.66007,8,1,1,1.1,"cayman-airways"
-79.99988,19.65621,9,1,1,1.1,"cayman-airways"
-80.01452,19.65236,10,1,1,1.1,"cayman-airways"
-80.02915,19.64851,11,1,1,1.1,"cayman-airways"
-80.04378,19.64465,12,1,1,1.1,"cayman-airways"
-80.05841,19.64079,13,1,1,1.1,"cayman-airways"
-80.07304,19.63693,14,1,1,1.1,"cayman-airways"
-80.08767,19.63307,15,1,1,1.1,"cayman-airways"
-80.1023,19.62921,16,1,1,1.1,"cayman-airways"
-80.11692,19.62535,17,1,1,1.1,"cayman-airways"
-80.13155,19.62149,18,1,1,1.1,"cayman-airways"
-80.14618,19.61762,19,1,1,1.1,"cayman-airways"
-80.1608,19.61376,20,1,1,1.1,"cayman-airways"
-80.17543,19.60989,21,1,1,1.1,"cayman-airways"
-80.19005,19.60602,22,1,1,1.1,"cayman-airways"
-80.20467,19.60215,23,1,1,1.1,"cayman-airways"
-80.2193,19.59828,24,1,1,1.1,"cayman-airways"
-80.23392,19.59441,25,1,1,1.1,"cayman-airways"
-80.24854,19.59054,26,1,1,1.1,"cayman-airways"
-80.26316,19.58667,27,1,1,1.1,"cayman-airways"
-80.27778,19.58279,28,1,1,1.1,"cayman-airways"
-80.2924,19.57892,29,1,1,1.1,"cayman-airways"
-80.30702,19.57504,30,1,1,1.1,"cayman-airways"
-80.32164,19.57116,31,1,1,1.1,"cayman-airways"
-80.33625,19.56728,32,1,1,1.1,"cayman-airways"
-80.35087,19.5634,33,1,1,1.1,"cayman-airways"
-80.36548,19.55952,34,1,1,1.1,"cayman-airways"
-80.3801,19.55563,35,1,1,1.1,"cayman-airways"
-80.39471,19.55175,36,1,1,1.1,"cayman-airways"
-80.40933,19.54787,37,1,1,1.1,"cayman-airways"
-80.42394,19.54398,38,1,1,1.1,"cayman-airways"
-80.43855,19.54009,39,1,1,1.1,"cayman-airways"
-80.45316,19.5362,40,1,1,1.1,"cayman-airways"
-80.46777,19.53231,41,1,1,1.1,"cayman-airways"
-80.48238,19.52842,42,1,1,1.1,"cayman-airways"
-80.49699,19.52453,43,1,1,1.1,"cayman-airways"
-80.5116,19.52063,44,1,1,1.1,"cayman-airways"
-80.52621,19.51674,45,1,1,1.1,"cayman-airways"
-80.54082,19.51284,46,1,1,1.1,"cayman-airways"
-80.55542,19.50895,47,1,1,1.1,"cayman-airways"
-80.57003,19.50505,48,1,1,1.1,"cayman-airways"
-80.58464,19.50115,49,1,1,1.1,"cayman-airways"
-80.59924,19.49725,50,1,1,1.1,"cayman-airways"
