"long","lat","order","piece","id","group","name"
113.22,28.1892,1,1,1,1.1,"city-airways"
113.0814,28.05317,2,1,1,1.1,"city-airways"
112.9431,27.917,3,1,1,1.1,"city-airways"
112.8051,27.78069,4,1,1,1.1,"city-airways"
112.6675,27.64425,5,1,1,1.1,"city-airways"
112.5303,27.50767,6,1,1,1.1,"city-airways"
112.3934,27.37096,7,1,1,1.1,"city-airways"
112.2568,27.23411,8,1,1,1.1,"city-airways"
112.1206,27.09713,9,1,1,1.1,"city-airways"
111.9847,26.96002,10,1,1,1.1,"city-airways"
111.8491,26.82278,11,1,1,1.1,"city-airways"
111.7138,26.68541,12,1,1,1.1,"city-airways"
111.5789,26.54792,13,1,1,1.1,"city-airways"
111.4443,26.41029,14,1,1,1.1,"city-airways"
111.3101,26.27255,15,1,1,1.1,"city-airways"
111.1761,26.13467,16,1,1,1.1,"city-airways"
111.0425,25.99668,17,1,1,1.1,"city-airways"
110.9091,25.85856,18,1,1,1.1,"city-airways"
110.7761,25.72032,19,1,1,1.1,"city-airways"
110.6434,25.58195,20,1,1,1.1,"city-airways"
110.511,25.44347,21,1,1,1.1,"city-airways"
110.3789,25.30487,22,1,1,1.1,"city-airways"
110.2471,25.16616,23,1,1,1.1,"city-airways"
110.1156,25.02732,24,1,1,1.1,"city-airways"
109.9844,24.88838,25,1,1,1.1,"city-airways"
109.8535,24.74931,26,1,1,1.1,"city-airways"
109.7229,24.61014,27,1,1,1.1,"city-airways"
109.5926,24.47085,28,1,1,1.1,"city-airways"
109.4626,24.33145,29,1,1,1.1,"city-airways"
109.3328,24.19194,30,1,1,1.1,"city-airways"
109.2034,24.05232,31,1,1,1.1,"city-airways"
109.0742,23.91259,32,1,1,1.1,"city-airways"
108.9453,23.77275,33,1,1,1.1,"city-airways"
108.8167,23.63281,34,1,1,1.1,"city-airways"
108.6883,23.49276,35,1,1,1.1,"city-airways"
108.5602,23.3526,36,1,1,1.1,"city-airways"
108.4324,23.21235,37,1,1,1.1,"city-airways"
108.3049,23.07198,38,1,1,1.1,"city-airways"
108.1776,22.93152,39,1,1,1.1,"city-airways"
108.0506,22.79096,40,1,1,1.1,"city-airways"
107.9239,22.65029,41,1,1,1.1,"city-airways"
107.7974,22.50953,42,1,1,1.1,"city-airways"
107.6711,22.36866,43,1,1,1.1,"city-airways"
107.5452,22.2277,44,1,1,1.1,"city-airways"
107.4195,22.08665,45,1,1,1.1,"city-airways"
107.294,21.94549,46,1,1,1.1,"city-airways"
107.1688,21.80424,47,1,1,1.1,"city-airways"
107.0438,21.6629,48,1,1,1.1,"city-airways"
106.9191,21.52147,49,1,1,1.1,"city-airways"
106.7946,21.37994,50,1,1,1.1,"city-airways"
106.6703,21.23832,51,1,1,1.1,"city-airways"
106.5463,21.09661,52,1,1,1.1,"city-airways"
106.4225,20.9548,53,1,1,1.1,"city-airways"
106.299,20.81291,54,1,1,1.1,"city-airways"
106.1757,20.67094,55,1,1,1.1,"city-airways"
106.0526,20.52887,56,1,1,1.1,"city-airways"
105.9298,20.38672,57,1,1,1.1,"city-airways"
105.8072,20.24448,58,1,1,1.1,"city-airways"
105.6848,20.10216,59,1,1,1.1,"city-airways"
105.5626,19.95975,60,1,1,1.1,"city-airways"
105.4406,19.81726,61,1,1,1.1,"city-airways"
105.3189,19.67469,62,1,1,1.1,"city-airways"
105.1974,19.53203,63,1,1,1.1,"city-airways"
105.0761,19.38929,64,1,1,1.1,"city-airways"
104.955,19.24648,65,1,1,1.1,"city-airways"
104.8341,19.10358,66,1,1,1.1,"city-airways"
104.7135,18.96061,67,1,1,1.1,"city-airways"
104.593,18.81755,68,1,1,1.1,"city-airways"
104.4727,18.67442,69,1,1,1.1,"city-airways"
104.3527,18.53122,70,1,1,1.1,"city-airways"
104.2328,18.38793,71,1,1,1.1,"city-airways"
104.1132,18.24458,72,1,1,1.1,"city-airways"
103.9937,18.10114,73,1,1,1.1,"city-airways"
103.8744,17.95764,74,1,1,1.1,"city-airways"
103.7554,17.81406,75,1,1,1.1,"city-airways"
103.6365,17.67041,76,1,1,1.1,"city-airways"
103.5178,17.52669,77,1,1,1.1,"city-airways"
103.3993,17.3829,78,1,1,1.1,"city-airways"
103.281,17.23904,79,1,1,1.1,"city-airways"
103.1629,17.09511,80,1,1,1.1,"city-airways"
103.0449,16.95111,81,1,1,1.1,"city-airways"
102.9272,16.80705,82,1,1,1.1,"city-airways"
102.8096,16.66291,83,1,1,1.1,"city-airways"
102.6922,16.51871,84,1,1,1.1,"city-airways"
102.5749,16.37445,85,1,1,1.1,"city-airways"
102.4579,16.23012,86,1,1,1.1,"city-airways"
102.341,16.08573,87,1,1,1.1,"city-airways"
102.2242,15.94127,88,1,1,1.1,"city-airways"
102.1077,15.79675,89,1,1,1.1,"city-airways"
101.9913,15.65217,90,1,1,1.1,"city-airways"
101.8751,15.50753,91,1,1,1.1,"city-airways"
101.759,15.36282,92,1,1,1.1,"city-airways"
101.6431,15.21806,93,1,1,1.1,"city-airways"
101.5274,15.07324,94,1,1,1.1,"city-airways"
101.4118,14.92836,95,1,1,1.1,"city-airways"
101.2964,14.78342,96,1,1,1.1,"city-airways"
101.1811,14.63842,97,1,1,1.1,"city-airways"
101.066,14.49337,98,1,1,1.1,"city-airways"
100.951,14.34826,99,1,1,1.1,"city-airways"
100.8362,14.20309,100,1,1,1.1,"city-airways"
100.7215,14.05787,101,1,1,1.1,"city-airways"
100.607,13.9126,102,1,1,1.1,"city-airways"
100.607,13.9126,1,1,2,2.1,"city-airways"
100.7215,14.05787,2,1,2,2.1,"city-airways"
100.8362,14.20309,3,1,2,2.1,"city-airways"
100.951,14.34826,4,1,2,2.1,"city-airways"
101.066,14.49337,5,1,2,2.1,"city-airways"
101.1811,14.63842,6,1,2,2.1,"city-airways"
101.2964,14.78342,7,1,2,2.1,"city-airways"
101.4118,14.92836,8,1,2,2.1,"city-airways"
101.5274,15.07324,9,1,2,2.1,"city-airways"
101.6431,15.21806,10,1,2,2.1,"city-airways"
101.759,15.36282,11,1,2,2.1,"city-airways"
101.8751,15.50753,12,1,2,2.1,"city-airways"
101.9913,15.65217,13,1,2,2.1,"city-airways"
102.1077,15.79675,14,1,2,2.1,"city-airways"
102.2242,15.94127,15,1,2,2.1,"city-airways"
102.341,16.08573,16,1,2,2.1,"city-airways"
102.4579,16.23012,17,1,2,2.1,"city-airways"
102.5749,16.37445,18,1,2,2.1,"city-airways"
102.6922,16.51871,19,1,2,2.1,"city-airways"
102.8096,16.66291,20,1,2,2.1,"city-airways"
102.9272,16.80705,21,1,2,2.1,"city-airways"
103.0449,16.95111,22,1,2,2.1,"city-airways"
103.1629,17.09511,23,1,2,2.1,"city-airways"
103.281,17.23904,24,1,2,2.1,"city-airways"
103.3993,17.3829,25,1,2,2.1,"city-airways"
103.5178,17.52669,26,1,2,2.1,"city-airways"
103.6365,17.67041,27,1,2,2.1,"city-airways"
103.7554,17.81406,28,1,2,2.1,"city-airways"
103.8744,17.95764,29,1,2,2.1,"city-airways"
103.9937,18.10114,30,1,2,2.1,"city-airways"
104.1132,18.24458,31,1,2,2.1,"city-airways"
104.2328,18.38793,32,1,2,2.1,"city-airways"
104.3527,18.53122,33,1,2,2.1,"city-airways"
104.4727,18.67442,34,1,2,2.1,"city-airways"
104.593,18.81755,35,1,2,2.1,"city-airways"
104.7135,18.96061,36,1,2,2.1,"city-airways"
104.8341,19.10358,37,1,2,2.1,"city-airways"
104.955,19.24648,38,1,2,2.1,"city-airways"
105.0761,19.38929,39,1,2,2.1,"city-airways"
105.1974,19.53203,40,1,2,2.1,"city-airways"
105.3189,19.67469,41,1,2,2.1,"city-airways"
105.4406,19.81726,42,1,2,2.1,"city-airways"
105.5626,19.95975,43,1,2,2.1,"city-airways"
105.6848,20.10216,44,1,2,2.1,"city-airways"
105.8072,20.24448,45,1,2,2.1,"city-airways"
105.9298,20.38672,46,1,2,2.1,"city-airways"
106.0526,20.52887,47,1,2,2.1,"city-airways"
106.1757,20.67094,48,1,2,2.1,"city-airways"
106.299,20.81291,49,1,2,2.1,"city-airways"
106.4225,20.9548,50,1,2,2.1,"city-airways"
106.5463,21.09661,51,1,2,2.1,"city-airways"
106.6703,21.23832,52,1,2,2.1,"city-airways"
106.7946,21.37994,53,1,2,2.1,"city-airways"
106.9191,21.52147,54,1,2,2.1,"city-airways"
107.0438,21.6629,55,1,2,2.1,"city-airways"
107.1688,21.80424,56,1,2,2.1,"city-airways"
107.294,21.94549,57,1,2,2.1,"city-airways"
107.4195,22.08665,58,1,2,2.1,"city-airways"
107.5452,22.2277,59,1,2,2.1,"city-airways"
107.6711,22.36866,60,1,2,2.1,"city-airways"
107.7974,22.50953,61,1,2,2.1,"city-airways"
107.9239,22.65029,62,1,2,2.1,"city-airways"
108.0506,22.79096,63,1,2,2.1,"city-airways"
108.1776,22.93152,64,1,2,2.1,"city-airways"
108.3049,23.07198,65,1,2,2.1,"city-airways"
108.4324,23.21235,66,1,2,2.1,"city-airways"
108.5602,23.3526,67,1,2,2.1,"city-airways"
108.6883,23.49276,68,1,2,2.1,"city-airways"
108.8167,23.63281,69,1,2,2.1,"city-airways"
108.9453,23.77275,70,1,2,2.1,"city-airways"
109.0742,23.91259,71,1,2,2.1,"city-airways"
109.2034,24.05232,72,1,2,2.1,"city-airways"
109.3328,24.19194,73,1,2,2.1,"city-airways"
109.4626,24.33145,74,1,2,2.1,"city-airways"
