"long","lat","order","piece","id","group","name"
116.051,5.93721,1,1,1,1.1,"eastar-jet"
116.1374,6.251667,2,1,1,1.1,"eastar-jet"
116.224,6.56611,3,1,1,1.1,"eastar-jet"
116.3106,6.880538,4,1,1,1.1,"eastar-jet"
116.3974,7.19495,5,1,1,1.1,"eastar-jet"
116.4843,7.509346,6,1,1,1.1,"eastar-jet"
116.5713,7.823725,7,1,1,1.1,"eastar-jet"
116.6585,8.138086,8,1,1,1.1,"eastar-jet"
116.7458,8.452429,9,1,1,1.1,"eastar-jet"
116.8332,8.766752,10,1,1,1.1,"eastar-jet"
116.9208,9.081055,11,1,1,1.1,"eastar-jet"
117.0085,9.395337,12,1,1,1.1,"eastar-jet"
117.0964,9.709597,13,1,1,1.1,"eastar-jet"
117.1844,10.02383,14,1,1,1.1,"eastar-jet"
117.2727,10.33805,15,1,1,1.1,"eastar-jet"
117.3611,10.65224,16,1,1,1.1,"eastar-jet"
117.4497,10.96641,17,1,1,1.1,"eastar-jet"
117.5384,11.28055,18,1,1,1.1,"eastar-jet"
117.6274,11.59466,19,1,1,1.1,"eastar-jet"
117.7166,11.90875,20,1,1,1.1,"eastar-jet"
117.8059,12.2228,21,1,1,1.1,"eastar-jet"
117.8955,12.53683,22,1,1,1.1,"eastar-jet"
117.9853,12.85083,23,1,1,1.1,"eastar-jet"
118.0754,13.1648,24,1,1,1.1,"eastar-jet"
118.1656,13.47874,25,1,1,1.1,"eastar-jet"
118.2561,13.79265,26,1,1,1.1,"eastar-jet"
118.3469,14.10652,27,1,1,1.1,"eastar-jet"
118.4378,14.42036,28,1,1,1.1,"eastar-jet"
118.5291,14.73416,29,1,1,1.1,"eastar-jet"
118.6206,15.04793,30,1,1,1.1,"eastar-jet"
118.7124,15.36166,31,1,1,1.1,"eastar-jet"
118.8045,15.67535,32,1,1,1.1,"eastar-jet"
118.8968,15.989,33,1,1,1.1,"eastar-jet"
118.9894,16.30262,34,1,1,1.1,"eastar-jet"
119.0824,16.61619,35,1,1,1.1,"eastar-jet"
119.1756,16.92973,36,1,1,1.1,"eastar-jet"
119.2691,17.24322,37,1,1,1.1,"eastar-jet"
119.363,17.55666,38,1,1,1.1,"eastar-jet"
119.4572,17.87007,39,1,1,1.1,"eastar-jet"
119.5517,18.18342,40,1,1,1.1,"eastar-jet"
119.6466,18.49673,41,1,1,1.1,"eastar-jet"
119.7418,18.81,42,1,1,1.1,"eastar-jet"
119.8373,19.12321,43,1,1,1.1,"eastar-jet"
119.9333,19.43638,44,1,1,1.1,"eastar-jet"
120.0296,19.74949,45,1,1,1.1,"eastar-jet"
120.1262,20.06256,46,1,1,1.1,"eastar-jet"
120.2233,20.37557,47,1,1,1.1,"eastar-jet"
120.3208,20.68852,48,1,1,1.1,"eastar-jet"
120.4186,21.00143,49,1,1,1.1,"eastar-jet"
120.5169,21.31427,50,1,1,1.1,"eastar-jet"
120.6156,21.62706,51,1,1,1.1,"eastar-jet"
120.7147,21.93979,52,1,1,1.1,"eastar-jet"
120.8143,22.25246,53,1,1,1.1,"eastar-jet"
120.9143,22.56507,54,1,1,1.1,"eastar-jet"
121.0147,22.87761,55,1,1,1.1,"eastar-jet"
121.1156,23.1901,56,1,1,1.1,"eastar-jet"
121.217,23.50252,57,1,1,1.1,"eastar-jet"
121.3189,23.81487,58,1,1,1.1,"eastar-jet"
121.4213,24.12716,59,1,1,1.1,"eastar-jet"
121.5241,24.43937,60,1,1,1.1,"eastar-jet"
121.6275,24.75152,61,1,1,1.1,"eastar-jet"
121.7314,25.0636,62,1,1,1.1,"eastar-jet"
121.8358,25.3756,63,1,1,1.1,"eastar-jet"
121.9408,25.68753,64,1,1,1.1,"eastar-jet"
122.0463,25.99938,65,1,1,1.1,"eastar-jet"
122.1524,26.31116,66,1,1,1.1,"eastar-jet"
122.2591,26.62286,67,1,1,1.1,"eastar-jet"
122.3663,26.93447,68,1,1,1.1,"eastar-jet"
122.4741,27.24601,69,1,1,1.1,"eastar-jet"
122.5826,27.55747,70,1,1,1.1,"eastar-jet"
122.6916,27.86883,71,1,1,1.1,"eastar-jet"
122.8013,28.18012,72,1,1,1.1,"eastar-jet"
122.9116,28.49131,73,1,1,1.1,"eastar-jet"
123.0226,28.80242,74,1,1,1.1,"eastar-jet"
123.1342,29.11343,75,1,1,1.1,"eastar-jet"
123.2465,29.42435,76,1,1,1.1,"eastar-jet"
123.3595,29.73518,77,1,1,1.1,"eastar-jet"
123.4733,30.04591,78,1,1,1.1,"eastar-jet"
123.5877,30.35654,79,1,1,1.1,"eastar-jet"
123.7028,30.66707,80,1,1,1.1,"eastar-jet"
123.8187,30.9775,81,1,1,1.1,"eastar-jet"
