"long","lat","order","piece","id","group","name"
37.2531,-2.64505,1,1,1,1.1,"fly-air"
37.24876,-2.631948,2,1,1,1.1,"fly-air"
37.24441,-2.618847,3,1,1,1.1,"fly-air"
37.24007,-2.605745,4,1,1,1.1,"fly-air"
37.23573,-2.592643,5,1,1,1.1,"fly-air"
37.23139,-2.579542,6,1,1,1.1,"fly-air"
37.22704,-2.56644,7,1,1,1.1,"fly-air"
37.2227,-2.553338,8,1,1,1.1,"fly-air"
37.21836,-2.540236,9,1,1,1.1,"fly-air"
37.21401,-2.527135,10,1,1,1.1,"fly-air"
37.20967,-2.514033,11,1,1,1.1,"fly-air"
37.20533,-2.500931,12,1,1,1.1,"fly-air"
37.20099,-2.487829,13,1,1,1.1,"fly-air"
37.19664,-2.474727,14,1,1,1.1,"fly-air"
37.1923,-2.461626,15,1,1,1.1,"fly-air"
37.18796,-2.448524,16,1,1,1.1,"fly-air"
37.18362,-2.435422,17,1,1,1.1,"fly-air"
37.17928,-2.42232,18,1,1,1.1,"fly-air"
37.17493,-2.409218,19,1,1,1.1,"fly-air"
37.17059,-2.396116,20,1,1,1.1,"fly-air"
37.16625,-2.383014,21,1,1,1.1,"fly-air"
37.16191,-2.369912,22,1,1,1.1,"fly-air"
37.15757,-2.35681,23,1,1,1.1,"fly-air"
37.15322,-2.343708,24,1,1,1.1,"fly-air"
37.14888,-2.330607,25,1,1,1.1,"fly-air"
37.14454,-2.317505,26,1,1,1.1,"fly-air"
37.1402,-2.304403,27,1,1,1.1,"fly-air"
37.13586,-2.2913,28,1,1,1.1,"fly-air"
37.13152,-2.278198,29,1,1,1.1,"fly-air"
37.12718,-2.265096,30,1,1,1.1,"fly-air"
37.12284,-2.251994,31,1,1,1.1,"fly-air"
37.1185,-2.238892,32,1,1,1.1,"fly-air"
37.11415,-2.22579,33,1,1,1.1,"fly-air"
37.10981,-2.212688,34,1,1,1.1,"fly-air"
37.10547,-2.199586,35,1,1,1.1,"fly-air"
37.10113,-2.186484,36,1,1,1.1,"fly-air"
37.09679,-2.173382,37,1,1,1.1,"fly-air"
37.09245,-2.16028,38,1,1,1.1,"fly-air"
37.08811,-2.147177,39,1,1,1.1,"fly-air"
37.08377,-2.134075,40,1,1,1.1,"fly-air"
37.07943,-2.120973,41,1,1,1.1,"fly-air"
37.07509,-2.107871,42,1,1,1.1,"fly-air"
37.07075,-2.094769,43,1,1,1.1,"fly-air"
37.06641,-2.081667,44,1,1,1.1,"fly-air"
37.06207,-2.068564,45,1,1,1.1,"fly-air"
