"long","lat","order","piece","id","group","name"
56.3778,27.2183,1,1,1,1.1,"georgian-national-airlines"
56.35392,27.21165,2,1,1,1.1,"georgian-national-airlines"
56.33004,27.20499,3,1,1,1.1,"georgian-national-airlines"
56.30616,27.19833,4,1,1,1.1,"georgian-national-airlines"
56.28229,27.19166,5,1,1,1.1,"georgian-national-airlines"
56.25842,27.185,6,1,1,1.1,"georgian-national-airlines"
56.23455,27.17832,7,1,1,1.1,"georgian-national-airlines"
56.21069,27.17165,8,1,1,1.1,"georgian-national-airlines"
56.18682,27.16496,9,1,1,1.1,"georgian-national-airlines"
56.16296,27.15828,10,1,1,1.1,"georgian-national-airlines"
56.13911,27.15159,11,1,1,1.1,"georgian-national-airlines"
56.11525,27.1449,12,1,1,1.1,"georgian-national-airlines"
56.0914,27.1382,13,1,1,1.1,"georgian-national-airlines"
56.06756,27.1315,14,1,1,1.1,"georgian-national-airlines"
56.04371,27.12479,15,1,1,1.1,"georgian-national-airlines"
56.01987,27.11808,16,1,1,1.1,"georgian-national-airlines"
55.99603,27.11137,17,1,1,1.1,"georgian-national-airlines"
55.97219,27.10465,18,1,1,1.1,"georgian-national-airlines"
55.94836,27.09793,19,1,1,1.1,"georgian-national-airlines"
55.92453,27.09121,20,1,1,1.1,"georgian-national-airlines"
55.9007,27.08448,21,1,1,1.1,"georgian-national-airlines"
55.87688,27.07774,22,1,1,1.1,"georgian-national-airlines"
55.85305,27.07101,23,1,1,1.1,"georgian-national-airlines"
55.82923,27.06426,24,1,1,1.1,"georgian-national-airlines"
55.80542,27.05752,25,1,1,1.1,"georgian-national-airlines"
55.78161,27.05077,26,1,1,1.1,"georgian-national-airlines"
55.75779,27.04402,27,1,1,1.1,"georgian-national-airlines"
55.73399,27.03726,28,1,1,1.1,"georgian-national-airlines"
55.71018,27.0305,29,1,1,1.1,"georgian-national-airlines"
55.68638,27.02373,30,1,1,1.1,"georgian-national-airlines"
55.66258,27.01696,31,1,1,1.1,"georgian-national-airlines"
55.63878,27.01019,32,1,1,1.1,"georgian-national-airlines"
55.61499,27.00341,33,1,1,1.1,"georgian-national-airlines"
55.5912,26.99663,34,1,1,1.1,"georgian-national-airlines"
55.56741,26.98984,35,1,1,1.1,"georgian-national-airlines"
55.54363,26.98305,36,1,1,1.1,"georgian-national-airlines"
55.51985,26.97626,37,1,1,1.1,"georgian-national-airlines"
55.49607,26.96946,38,1,1,1.1,"georgian-national-airlines"
55.47229,26.96266,39,1,1,1.1,"georgian-national-airlines"
55.44852,26.95586,40,1,1,1.1,"georgian-national-airlines"
