"long","lat","order","piece","id","group","name"
128.089,-3.71026,1,1,1,1.1,"illinois-airways"
128.1206,-3.752699,2,1,1,1.1,"illinois-airways"
128.1523,-3.795136,3,1,1,1.1,"illinois-airways"
128.1839,-3.837573,4,1,1,1.1,"illinois-airways"
128.2156,-3.880008,5,1,1,1.1,"illinois-airways"
128.2472,-3.922442,6,1,1,1.1,"illinois-airways"
128.2789,-3.964875,7,1,1,1.1,"illinois-airways"
128.3105,-4.007307,8,1,1,1.1,"illinois-airways"
128.3422,-4.049737,9,1,1,1.1,"illinois-airways"
128.3739,-4.092166,10,1,1,1.1,"illinois-airways"
128.4055,-4.134594,11,1,1,1.1,"illinois-airways"
128.4372,-4.177021,12,1,1,1.1,"illinois-airways"
128.4689,-4.219447,13,1,1,1.1,"illinois-airways"
128.5006,-4.261871,14,1,1,1.1,"illinois-airways"
128.5322,-4.304294,15,1,1,1.1,"illinois-airways"
128.5639,-4.346715,16,1,1,1.1,"illinois-airways"
128.5956,-4.389135,17,1,1,1.1,"illinois-airways"
128.6273,-4.431554,18,1,1,1.1,"illinois-airways"
128.659,-4.473972,19,1,1,1.1,"illinois-airways"
128.6907,-4.516388,20,1,1,1.1,"illinois-airways"
128.7224,-4.558803,21,1,1,1.1,"illinois-airways"
128.7541,-4.601216,22,1,1,1.1,"illinois-airways"
128.7858,-4.643628,23,1,1,1.1,"illinois-airways"
128.8175,-4.686039,24,1,1,1.1,"illinois-airways"
128.8493,-4.728448,25,1,1,1.1,"illinois-airways"
128.881,-4.770856,26,1,1,1.1,"illinois-airways"
128.9127,-4.813262,27,1,1,1.1,"illinois-airways"
128.9444,-4.855667,28,1,1,1.1,"illinois-airways"
128.9762,-4.89807,29,1,1,1.1,"illinois-airways"
129.0079,-4.940472,30,1,1,1.1,"illinois-airways"
129.0397,-4.982872,31,1,1,1.1,"illinois-airways"
129.0714,-5.025271,32,1,1,1.1,"illinois-airways"
129.1032,-5.067668,33,1,1,1.1,"illinois-airways"
129.1349,-5.110064,34,1,1,1.1,"illinois-airways"
129.1667,-5.152458,35,1,1,1.1,"illinois-airways"
129.1984,-5.194851,36,1,1,1.1,"illinois-airways"
129.2302,-5.237242,37,1,1,1.1,"illinois-airways"
129.262,-5.279631,38,1,1,1.1,"illinois-airways"
129.2938,-5.322019,39,1,1,1.1,"illinois-airways"
