"long","lat","order","piece","id","group","name"
-133.076,55.5792,1,1,1,1.1,"international-airlink"
-133.0624,55.57706,2,1,1,1.1,"international-airlink"
-133.0489,55.57492,3,1,1,1.1,"international-airlink"
-133.0353,55.57278,4,1,1,1.1,"international-airlink"
-133.0218,55.57063,5,1,1,1.1,"international-airlink"
-133.0082,55.56849,6,1,1,1.1,"international-airlink"
-132.9947,55.56634,7,1,1,1.1,"international-airlink"
-132.9811,55.56419,8,1,1,1.1,"international-airlink"
-132.9676,55.56204,9,1,1,1.1,"international-airlink"
-132.954,55.55989,10,1,1,1.1,"international-airlink"
-132.9405,55.55774,11,1,1,1.1,"international-airlink"
-132.9269,55.55558,12,1,1,1.1,"international-airlink"
-132.9134,55.55343,13,1,1,1.1,"international-airlink"
-132.8998,55.55127,14,1,1,1.1,"international-airlink"
-132.8863,55.54911,15,1,1,1.1,"international-airlink"
-132.8728,55.54695,16,1,1,1.1,"international-airlink"
-132.8592,55.54479,17,1,1,1.1,"international-airlink"
-132.8457,55.54263,18,1,1,1.1,"international-airlink"
-132.8321,55.54046,19,1,1,1.1,"international-airlink"
-132.8186,55.53829,20,1,1,1.1,"international-airlink"
-132.8051,55.53613,21,1,1,1.1,"international-airlink"
-132.7915,55.53396,22,1,1,1.1,"international-airlink"
-132.778,55.53179,23,1,1,1.1,"international-airlink"
-132.7645,55.52961,24,1,1,1.1,"international-airlink"
-132.751,55.52744,25,1,1,1.1,"international-airlink"
-132.7374,55.52526,26,1,1,1.1,"international-airlink"
-132.7239,55.52309,27,1,1,1.1,"international-airlink"
-132.7104,55.52091,28,1,1,1.1,"international-airlink"
-132.6969,55.51873,29,1,1,1.1,"international-airlink"
-132.6834,55.51655,30,1,1,1.1,"international-airlink"
-132.6698,55.51436,31,1,1,1.1,"international-airlink"
-132.6563,55.51218,32,1,1,1.1,"international-airlink"
-132.6428,55.50999,33,1,1,1.1,"international-airlink"
-132.6293,55.50781,34,1,1,1.1,"international-airlink"
-132.6158,55.50562,35,1,1,1.1,"international-airlink"
-132.6023,55.50343,36,1,1,1.1,"international-airlink"
-132.5888,55.50124,37,1,1,1.1,"international-airlink"
-132.5753,55.49904,38,1,1,1.1,"international-airlink"
-132.5618,55.49685,39,1,1,1.1,"international-airlink"
-132.5483,55.49465,40,1,1,1.1,"international-airlink"
-132.5348,55.49245,41,1,1,1.1,"international-airlink"
-132.5213,55.49026,42,1,1,1.1,"international-airlink"
-132.5078,55.48806,43,1,1,1.1,"international-airlink"
-132.4943,55.48585,44,1,1,1.1,"international-airlink"
-132.4808,55.48365,45,1,1,1.1,"international-airlink"
-132.4673,55.48144,46,1,1,1.1,"international-airlink"
-132.4538,55.47924,47,1,1,1.1,"international-airlink"
-132.4403,55.47703,48,1,1,1.1,"international-airlink"
-132.4268,55.47482,49,1,1,1.1,"international-airlink"
-132.4133,55.47261,50,1,1,1.1,"international-airlink"
-132.3998,55.4704,51,1,1,1.1,"international-airlink"
-132.3863,55.46818,52,1,1,1.1,"international-airlink"
-132.3728,55.46597,53,1,1,1.1,"international-airlink"
-132.3594,55.46375,54,1,1,1.1,"international-airlink"
-132.3459,55.46153,55,1,1,1.1,"international-airlink"
-132.3324,55.45931,56,1,1,1.1,"international-airlink"
-132.3189,55.45709,57,1,1,1.1,"international-airlink"
-132.3054,55.45487,58,1,1,1.1,"international-airlink"
-132.292,55.45264,59,1,1,1.1,"international-airlink"
-132.2785,55.45042,60,1,1,1.1,"international-airlink"
-132.265,55.44819,61,1,1,1.1,"international-airlink"
-132.2516,55.44596,62,1,1,1.1,"international-airlink"
-132.2381,55.44373,63,1,1,1.1,"international-airlink"
-132.2246,55.4415,64,1,1,1.1,"international-airlink"
-132.2112,55.43927,65,1,1,1.1,"international-airlink"
-132.1977,55.43703,66,1,1,1.1,"international-airlink"
-132.1842,55.43479,67,1,1,1.1,"international-airlink"
-132.1708,55.43256,68,1,1,1.1,"international-airlink"
-132.1573,55.43032,69,1,1,1.1,"international-airlink"
-132.1439,55.42808,70,1,1,1.1,"international-airlink"
