"long","lat","order","piece","id","group","name"
8.80292,41.9236,1,1,1,1.1,"nationwide-airlines"
8.765513,41.94388,2,1,1,1.1,"nationwide-airlines"
8.728083,41.96414,3,1,1,1.1,"nationwide-airlines"
8.690628,41.98439,4,1,1,1.1,"nationwide-airlines"
8.65315,42.00463,5,1,1,1.1,"nationwide-airlines"
8.615648,42.02486,6,1,1,1.1,"nationwide-airlines"
8.578122,42.04507,7,1,1,1.1,"nationwide-airlines"
8.540572,42.06527,8,1,1,1.1,"nationwide-airlines"
8.502998,42.08546,9,1,1,1.1,"nationwide-airlines"
8.465401,42.10564,10,1,1,1.1,"nationwide-airlines"
8.427779,42.12581,11,1,1,1.1,"nationwide-airlines"
8.390134,42.14596,12,1,1,1.1,"nationwide-airlines"
8.352464,42.1661,13,1,1,1.1,"nationwide-airlines"
8.314771,42.18623,14,1,1,1.1,"nationwide-airlines"
8.277053,42.20635,15,1,1,1.1,"nationwide-airlines"
8.239311,42.22645,16,1,1,1.1,"nationwide-airlines"
8.201546,42.24654,17,1,1,1.1,"nationwide-airlines"
8.163756,42.26662,18,1,1,1.1,"nationwide-airlines"
8.125943,42.28669,19,1,1,1.1,"nationwide-airlines"
8.088105,42.30675,20,1,1,1.1,"nationwide-airlines"
8.050243,42.32679,21,1,1,1.1,"nationwide-airlines"
8.012357,42.34682,22,1,1,1.1,"nationwide-airlines"
7.974447,42.36683,23,1,1,1.1,"nationwide-airlines"
7.936512,42.38684,24,1,1,1.1,"nationwide-airlines"
7.898554,42.40683,25,1,1,1.1,"nationwide-airlines"
7.860571,42.42681,26,1,1,1.1,"nationwide-airlines"
7.822564,42.44678,27,1,1,1.1,"nationwide-airlines"
7.784533,42.46673,28,1,1,1.1,"nationwide-airlines"
7.746478,42.48667,29,1,1,1.1,"nationwide-airlines"
7.708398,42.5066,30,1,1,1.1,"nationwide-airlines"
7.670294,42.52652,31,1,1,1.1,"nationwide-airlines"
7.632166,42.54642,32,1,1,1.1,"nationwide-airlines"
7.594013,42.56632,33,1,1,1.1,"nationwide-airlines"
7.555836,42.58619,34,1,1,1.1,"nationwide-airlines"
7.517635,42.60606,35,1,1,1.1,"nationwide-airlines"
7.47941,42.62591,36,1,1,1.1,"nationwide-airlines"
7.44116,42.64575,37,1,1,1.1,"nationwide-airlines"
7.402885,42.66558,38,1,1,1.1,"nationwide-airlines"
7.364586,42.6854,39,1,1,1.1,"nationwide-airlines"
7.326263,42.7052,40,1,1,1.1,"nationwide-airlines"
7.287916,42.72499,41,1,1,1.1,"nationwide-airlines"
7.249543,42.74477,42,1,1,1.1,"nationwide-airlines"
7.211147,42.76453,43,1,1,1.1,"nationwide-airlines"
7.172726,42.78428,44,1,1,1.1,"nationwide-airlines"
7.13428,42.80402,45,1,1,1.1,"nationwide-airlines"
7.09581,42.82375,46,1,1,1.1,"nationwide-airlines"
7.057315,42.84346,47,1,1,1.1,"nationwide-airlines"
7.018796,42.86316,48,1,1,1.1,"nationwide-airlines"
6.980252,42.88284,49,1,1,1.1,"nationwide-airlines"
6.941684,42.90252,50,1,1,1.1,"nationwide-airlines"
6.903091,42.92218,51,1,1,1.1,"nationwide-airlines"
6.864473,42.94183,52,1,1,1.1,"nationwide-airlines"
6.825831,42.96146,53,1,1,1.1,"nationwide-airlines"
6.787163,42.98108,54,1,1,1.1,"nationwide-airlines"
6.748472,43.00069,55,1,1,1.1,"nationwide-airlines"
6.709755,43.02029,56,1,1,1.1,"nationwide-airlines"
6.671014,43.03987,57,1,1,1.1,"nationwide-airlines"
6.632248,43.05944,58,1,1,1.1,"nationwide-airlines"
6.593458,43.079,59,1,1,1.1,"nationwide-airlines"
6.554643,43.09854,60,1,1,1.1,"nationwide-airlines"
6.515802,43.11807,61,1,1,1.1,"nationwide-airlines"
6.476938,43.13759,62,1,1,1.1,"nationwide-airlines"
6.438048,43.15709,63,1,1,1.1,"nationwide-airlines"
6.399133,43.17658,64,1,1,1.1,"nationwide-airlines"
6.360194,43.19606,65,1,1,1.1,"nationwide-airlines"
6.32123,43.21553,66,1,1,1.1,"nationwide-airlines"
6.282241,43.23498,67,1,1,1.1,"nationwide-airlines"
6.243227,43.25442,68,1,1,1.1,"nationwide-airlines"
6.204188,43.27384,69,1,1,1.1,"nationwide-airlines"
6.165124,43.29325,70,1,1,1.1,"nationwide-airlines"
6.126035,43.31265,71,1,1,1.1,"nationwide-airlines"
6.086921,43.33204,72,1,1,1.1,"nationwide-airlines"
6.047783,43.35141,73,1,1,1.1,"nationwide-airlines"
6.008619,43.37076,74,1,1,1.1,"nationwide-airlines"
5.96943,43.39011,75,1,1,1.1,"nationwide-airlines"
5.930217,43.40944,76,1,1,1.1,"nationwide-airlines"
5.890978,43.42876,77,1,1,1.1,"nationwide-airlines"
5.851714,43.44806,78,1,1,1.1,"nationwide-airlines"
5.812425,43.46735,79,1,1,1.1,"nationwide-airlines"
5.773111,43.48663,80,1,1,1.1,"nationwide-airlines"
5.733772,43.5059,81,1,1,1.1,"nationwide-airlines"
5.694408,43.52515,82,1,1,1.1,"nationwide-airlines"
5.655019,43.54438,83,1,1,1.1,"nationwide-airlines"
5.615605,43.56361,84,1,1,1.1,"nationwide-airlines"
5.576165,43.58282,85,1,1,1.1,"nationwide-airlines"
5.5367,43.60201,86,1,1,1.1,"nationwide-airlines"
5.497211,43.6212,87,1,1,1.1,"nationwide-airlines"
5.457695,43.64037,88,1,1,1.1,"nationwide-airlines"
5.418155,43.65952,89,1,1,1.1,"nationwide-airlines"
5.37859,43.67866,90,1,1,1.1,"nationwide-airlines"
5.338999,43.69779,91,1,1,1.1,"nationwide-airlines"
