"long","lat","order","piece","id","group","name"
147.902,70.6231,1,1,1,1.1,"piedmont-airlines-1948-1989"
147.6523,70.55077,2,1,1,1.1,"piedmont-airlines-1948-1989"
147.4044,70.4781,3,1,1,1.1,"piedmont-airlines-1948-1989"
147.1582,70.4051,4,1,1,1.1,"piedmont-airlines-1948-1989"
146.9138,70.33177,5,1,1,1.1,"piedmont-airlines-1948-1989"
146.6712,70.2581,6,1,1,1.1,"piedmont-airlines-1948-1989"
146.4303,70.18412,7,1,1,1.1,"piedmont-airlines-1948-1989"
146.1911,70.10981,8,1,1,1.1,"piedmont-airlines-1948-1989"
145.9536,70.03518,9,1,1,1.1,"piedmont-airlines-1948-1989"
145.7178,69.96024,10,1,1,1.1,"piedmont-airlines-1948-1989"
145.4838,69.885,11,1,1,1.1,"piedmont-airlines-1948-1989"
145.2514,69.80944,12,1,1,1.1,"piedmont-airlines-1948-1989"
145.0206,69.73358,13,1,1,1.1,"piedmont-airlines-1948-1989"
144.7915,69.65742,14,1,1,1.1,"piedmont-airlines-1948-1989"
144.5641,69.58097,15,1,1,1.1,"piedmont-airlines-1948-1989"
144.3383,69.50422,16,1,1,1.1,"piedmont-airlines-1948-1989"
144.1141,69.42718,17,1,1,1.1,"piedmont-airlines-1948-1989"
143.8915,69.34986,18,1,1,1.1,"piedmont-airlines-1948-1989"
143.6704,69.27225,19,1,1,1.1,"piedmont-airlines-1948-1989"
143.451,69.19436,20,1,1,1.1,"piedmont-airlines-1948-1989"
143.2331,69.1162,21,1,1,1.1,"piedmont-airlines-1948-1989"
143.0168,69.03776,22,1,1,1.1,"piedmont-airlines-1948-1989"
142.8021,68.95905,23,1,1,1.1,"piedmont-airlines-1948-1989"
142.5888,68.88007,24,1,1,1.1,"piedmont-airlines-1948-1989"
142.3771,68.80083,25,1,1,1.1,"piedmont-airlines-1948-1989"
142.1669,68.72132,26,1,1,1.1,"piedmont-airlines-1948-1989"
141.9582,68.64156,27,1,1,1.1,"piedmont-airlines-1948-1989"
141.751,68.56154,28,1,1,1.1,"piedmont-airlines-1948-1989"
141.5452,68.48127,29,1,1,1.1,"piedmont-airlines-1948-1989"
141.3409,68.40075,30,1,1,1.1,"piedmont-airlines-1948-1989"
141.138,68.31998,31,1,1,1.1,"piedmont-airlines-1948-1989"
140.9366,68.23896,32,1,1,1.1,"piedmont-airlines-1948-1989"
140.7366,68.1577,33,1,1,1.1,"piedmont-airlines-1948-1989"
140.5381,68.07621,34,1,1,1.1,"piedmont-airlines-1948-1989"
140.3409,67.99447,35,1,1,1.1,"piedmont-airlines-1948-1989"
140.1451,67.91251,36,1,1,1.1,"piedmont-airlines-1948-1989"
139.9507,67.83031,37,1,1,1.1,"piedmont-airlines-1948-1989"
139.7576,67.74788,38,1,1,1.1,"piedmont-airlines-1948-1989"
139.5659,67.66522,39,1,1,1.1,"piedmont-airlines-1948-1989"
139.3756,67.58235,40,1,1,1.1,"piedmont-airlines-1948-1989"
139.1866,67.49925,41,1,1,1.1,"piedmont-airlines-1948-1989"
138.9989,67.41593,42,1,1,1.1,"piedmont-airlines-1948-1989"
138.8125,67.33239,43,1,1,1.1,"piedmont-airlines-1948-1989"
138.6274,67.24865,44,1,1,1.1,"piedmont-airlines-1948-1989"
138.4436,67.16468,45,1,1,1.1,"piedmont-airlines-1948-1989"
138.2611,67.08051,46,1,1,1.1,"piedmont-airlines-1948-1989"
138.0798,66.99614,47,1,1,1.1,"piedmont-airlines-1948-1989"
137.8998,66.91155,48,1,1,1.1,"piedmont-airlines-1948-1989"
137.721,66.82677,49,1,1,1.1,"piedmont-airlines-1948-1989"
137.5435,66.74178,50,1,1,1.1,"piedmont-airlines-1948-1989"
137.3672,66.6566,51,1,1,1.1,"piedmont-airlines-1948-1989"
137.1921,66.57122,52,1,1,1.1,"piedmont-airlines-1948-1989"
