"long","lat","order","piece","id","group","name"
37.9063,55.4088,1,1,1,1.1,"polet-airlines-priv"
37.89174,55.3617,2,1,1,1.1,"polet-airlines-priv"
37.87722,55.31459,3,1,1,1.1,"polet-airlines-priv"
37.86274,55.26749,4,1,1,1.1,"polet-airlines-priv"
37.84829,55.22038,5,1,1,1.1,"polet-airlines-priv"
37.83387,55.17327,6,1,1,1.1,"polet-airlines-priv"
37.81949,55.12616,7,1,1,1.1,"polet-airlines-priv"
37.80514,55.07905,8,1,1,1.1,"polet-airlines-priv"
37.79082,55.03193,9,1,1,1.1,"polet-airlines-priv"
37.77654,54.98482,10,1,1,1.1,"polet-airlines-priv"
37.76229,54.9377,11,1,1,1.1,"polet-airlines-priv"
37.74807,54.89058,12,1,1,1.1,"polet-airlines-priv"
37.73389,54.84346,13,1,1,1.1,"polet-airlines-priv"
37.71974,54.79634,14,1,1,1.1,"polet-airlines-priv"
37.70563,54.74921,15,1,1,1.1,"polet-airlines-priv"
37.69154,54.70209,16,1,1,1.1,"polet-airlines-priv"
37.67749,54.65496,17,1,1,1.1,"polet-airlines-priv"
37.66348,54.60783,18,1,1,1.1,"polet-airlines-priv"
37.64949,54.5607,19,1,1,1.1,"polet-airlines-priv"
37.63554,54.51357,20,1,1,1.1,"polet-airlines-priv"
37.62162,54.46643,21,1,1,1.1,"polet-airlines-priv"
37.60773,54.4193,22,1,1,1.1,"polet-airlines-priv"
37.59387,54.37216,23,1,1,1.1,"polet-airlines-priv"
37.58004,54.32502,24,1,1,1.1,"polet-airlines-priv"
37.56625,54.27788,25,1,1,1.1,"polet-airlines-priv"
37.55249,54.23074,26,1,1,1.1,"polet-airlines-priv"
37.53876,54.18359,27,1,1,1.1,"polet-airlines-priv"
37.52506,54.13645,28,1,1,1.1,"polet-airlines-priv"
37.51139,54.0893,29,1,1,1.1,"polet-airlines-priv"
37.49775,54.04216,30,1,1,1.1,"polet-airlines-priv"
37.48415,53.99501,31,1,1,1.1,"polet-airlines-priv"
37.47057,53.94785,32,1,1,1.1,"polet-airlines-priv"
37.45703,53.9007,33,1,1,1.1,"polet-airlines-priv"
37.44351,53.85355,34,1,1,1.1,"polet-airlines-priv"
37.43003,53.80639,35,1,1,1.1,"polet-airlines-priv"
37.41657,53.75923,36,1,1,1.1,"polet-airlines-priv"
37.40315,53.71208,37,1,1,1.1,"polet-airlines-priv"
37.38976,53.66492,38,1,1,1.1,"polet-airlines-priv"
37.37639,53.61775,39,1,1,1.1,"polet-airlines-priv"
