"long","lat","order","piece","id","group","name"
-88.3082,17.5391,1,1,1,1.1,"regional-air-iceland"
-88.29432,17.57378,2,1,1,1.1,"regional-air-iceland"
-88.28043,17.60846,3,1,1,1.1,"regional-air-iceland"
-88.26654,17.64314,4,1,1,1.1,"regional-air-iceland"
-88.25264,17.67782,5,1,1,1.1,"regional-air-iceland"
-88.23874,17.71249,6,1,1,1.1,"regional-air-iceland"
-88.22483,17.74717,7,1,1,1.1,"regional-air-iceland"
-88.21092,17.78184,8,1,1,1.1,"regional-air-iceland"
-88.197,17.81652,9,1,1,1.1,"regional-air-iceland"
-88.18308,17.85119,10,1,1,1.1,"regional-air-iceland"
-88.16915,17.88586,11,1,1,1.1,"regional-air-iceland"
-88.15521,17.92053,12,1,1,1.1,"regional-air-iceland"
-88.14127,17.9552,13,1,1,1.1,"regional-air-iceland"
-88.12733,17.98987,14,1,1,1.1,"regional-air-iceland"
-88.11338,18.02454,15,1,1,1.1,"regional-air-iceland"
-88.09942,18.0592,16,1,1,1.1,"regional-air-iceland"
-88.08546,18.09387,17,1,1,1.1,"regional-air-iceland"
-88.07149,18.12853,18,1,1,1.1,"regional-air-iceland"
-88.05752,18.1632,19,1,1,1.1,"regional-air-iceland"
-88.04354,18.19786,20,1,1,1.1,"regional-air-iceland"
-88.02955,18.23252,21,1,1,1.1,"regional-air-iceland"
-88.01556,18.26718,22,1,1,1.1,"regional-air-iceland"
-88.00157,18.30184,23,1,1,1.1,"regional-air-iceland"
-87.98757,18.3365,24,1,1,1.1,"regional-air-iceland"
-87.97356,18.37115,25,1,1,1.1,"regional-air-iceland"
-87.95955,18.40581,26,1,1,1.1,"regional-air-iceland"
-87.94553,18.44047,27,1,1,1.1,"regional-air-iceland"
-87.93151,18.47512,28,1,1,1.1,"regional-air-iceland"
-87.91748,18.50977,29,1,1,1.1,"regional-air-iceland"
-87.90344,18.54443,30,1,1,1.1,"regional-air-iceland"
-87.8894,18.57908,31,1,1,1.1,"regional-air-iceland"
-87.87536,18.61373,32,1,1,1.1,"regional-air-iceland"
-87.8613,18.64838,33,1,1,1.1,"regional-air-iceland"
-87.84725,18.68302,34,1,1,1.1,"regional-air-iceland"
-87.83318,18.71767,35,1,1,1.1,"regional-air-iceland"
-87.81911,18.75232,36,1,1,1.1,"regional-air-iceland"
-87.80504,18.78696,37,1,1,1.1,"regional-air-iceland"
-87.79096,18.82161,38,1,1,1.1,"regional-air-iceland"
-87.77687,18.85625,39,1,1,1.1,"regional-air-iceland"
-87.76278,18.89089,40,1,1,1.1,"regional-air-iceland"
-87.74868,18.92553,41,1,1,1.1,"regional-air-iceland"
-87.73458,18.96017,42,1,1,1.1,"regional-air-iceland"
-87.72047,18.99481,43,1,1,1.1,"regional-air-iceland"
-87.70635,19.02945,44,1,1,1.1,"regional-air-iceland"
-87.69223,19.06408,45,1,1,1.1,"regional-air-iceland"
-87.6781,19.09872,46,1,1,1.1,"regional-air-iceland"
-87.66397,19.13335,47,1,1,1.1,"regional-air-iceland"
-87.64983,19.16799,48,1,1,1.1,"regional-air-iceland"
-87.63568,19.20262,49,1,1,1.1,"regional-air-iceland"
-87.62153,19.23725,50,1,1,1.1,"regional-air-iceland"
-87.60737,19.27188,51,1,1,1.1,"regional-air-iceland"
-87.59321,19.30651,52,1,1,1.1,"regional-air-iceland"
-87.57904,19.34114,53,1,1,1.1,"regional-air-iceland"
-87.56487,19.37576,54,1,1,1.1,"regional-air-iceland"
-87.55068,19.41039,55,1,1,1.1,"regional-air-iceland"
-87.5365,19.44501,56,1,1,1.1,"regional-air-iceland"
-87.5223,19.47964,57,1,1,1.1,"regional-air-iceland"
-87.5081,19.51426,58,1,1,1.1,"regional-air-iceland"
