"long","lat","order","piece","id","group","name"
35.9932,31.7226,1,1,1,1.1,"royal-falcon"
35.94702,31.70756,2,1,1,1.1,"royal-falcon"
35.90087,31.6925,3,1,1,1.1,"royal-falcon"
35.85472,31.67743,4,1,1,1.1,"royal-falcon"
35.80859,31.66233,5,1,1,1.1,"royal-falcon"
35.76248,31.64722,6,1,1,1.1,"royal-falcon"
35.71638,31.6321,7,1,1,1.1,"royal-falcon"
35.6703,31.61696,8,1,1,1.1,"royal-falcon"
35.62423,31.6018,9,1,1,1.1,"royal-falcon"
35.57817,31.58663,10,1,1,1.1,"royal-falcon"
35.53213,31.57143,11,1,1,1.1,"royal-falcon"
35.48611,31.55623,12,1,1,1.1,"royal-falcon"
35.4401,31.541,13,1,1,1.1,"royal-falcon"
35.39411,31.52576,14,1,1,1.1,"royal-falcon"
35.34813,31.51051,15,1,1,1.1,"royal-falcon"
35.30217,31.49523,16,1,1,1.1,"royal-falcon"
35.25622,31.47994,17,1,1,1.1,"royal-falcon"
35.21028,31.46464,18,1,1,1.1,"royal-falcon"
35.16436,31.44931,19,1,1,1.1,"royal-falcon"
35.11846,31.43397,20,1,1,1.1,"royal-falcon"
35.07257,31.41862,21,1,1,1.1,"royal-falcon"
35.0267,31.40325,22,1,1,1.1,"royal-falcon"
34.98084,31.38786,23,1,1,1.1,"royal-falcon"
34.935,31.37245,24,1,1,1.1,"royal-falcon"
34.88917,31.35703,25,1,1,1.1,"royal-falcon"
34.84335,31.3416,26,1,1,1.1,"royal-falcon"
34.79756,31.32614,27,1,1,1.1,"royal-falcon"
34.75177,31.31067,28,1,1,1.1,"royal-falcon"
34.706,31.29519,29,1,1,1.1,"royal-falcon"
34.66025,31.27969,30,1,1,1.1,"royal-falcon"
34.61451,31.26417,31,1,1,1.1,"royal-falcon"
34.56879,31.24863,32,1,1,1.1,"royal-falcon"
34.52308,31.23308,33,1,1,1.1,"royal-falcon"
34.47739,31.21752,34,1,1,1.1,"royal-falcon"
34.43171,31.20193,35,1,1,1.1,"royal-falcon"
34.38605,31.18634,36,1,1,1.1,"royal-falcon"
34.3404,31.17072,37,1,1,1.1,"royal-falcon"
34.29476,31.15509,38,1,1,1.1,"royal-falcon"
34.24915,31.13944,39,1,1,1.1,"royal-falcon"
34.20354,31.12378,40,1,1,1.1,"royal-falcon"
34.15796,31.1081,41,1,1,1.1,"royal-falcon"
34.11238,31.0924,42,1,1,1.1,"royal-falcon"
34.06683,31.07669,43,1,1,1.1,"royal-falcon"
34.02128,31.06096,44,1,1,1.1,"royal-falcon"
33.97576,31.04522,45,1,1,1.1,"royal-falcon"
33.93024,31.02946,46,1,1,1.1,"royal-falcon"
33.88475,31.01369,47,1,1,1.1,"royal-falcon"
33.83926,30.99789,48,1,1,1.1,"royal-falcon"
33.7938,30.98209,49,1,1,1.1,"royal-falcon"
33.74834,30.96626,50,1,1,1.1,"royal-falcon"
33.70291,30.95043,51,1,1,1.1,"royal-falcon"
33.65748,30.93457,52,1,1,1.1,"royal-falcon"
33.61208,30.9187,53,1,1,1.1,"royal-falcon"
33.56669,30.90281,54,1,1,1.1,"royal-falcon"
33.52131,30.88691,55,1,1,1.1,"royal-falcon"
33.47595,30.87099,56,1,1,1.1,"royal-falcon"
33.4306,30.85506,57,1,1,1.1,"royal-falcon"
33.38527,30.83911,58,1,1,1.1,"royal-falcon"
33.33995,30.82314,59,1,1,1.1,"royal-falcon"
33.29465,30.80716,60,1,1,1.1,"royal-falcon"
33.24936,30.79116,61,1,1,1.1,"royal-falcon"
