"long","lat","order","piece","id","group","name"
138.531,-34.945,1,1,1,1.1,"sharp-airlines"
138.5227,-34.92089,2,1,1,1.1,"sharp-airlines"
138.5144,-34.89677,3,1,1,1.1,"sharp-airlines"
138.5061,-34.87266,4,1,1,1.1,"sharp-airlines"
138.4979,-34.84855,5,1,1,1.1,"sharp-airlines"
138.4896,-34.82443,6,1,1,1.1,"sharp-airlines"
138.4813,-34.80031,7,1,1,1.1,"sharp-airlines"
138.4731,-34.7762,8,1,1,1.1,"sharp-airlines"
138.4648,-34.75208,9,1,1,1.1,"sharp-airlines"
138.4566,-34.72796,10,1,1,1.1,"sharp-airlines"
138.4483,-34.70385,11,1,1,1.1,"sharp-airlines"
138.4401,-34.67973,12,1,1,1.1,"sharp-airlines"
138.4318,-34.65561,13,1,1,1.1,"sharp-airlines"
138.4236,-34.63149,14,1,1,1.1,"sharp-airlines"
138.4154,-34.60737,15,1,1,1.1,"sharp-airlines"
138.4071,-34.58325,16,1,1,1.1,"sharp-airlines"
138.3989,-34.55913,17,1,1,1.1,"sharp-airlines"
138.3907,-34.53501,18,1,1,1.1,"sharp-airlines"
138.3825,-34.51088,19,1,1,1.1,"sharp-airlines"
138.3743,-34.48676,20,1,1,1.1,"sharp-airlines"
138.3661,-34.46264,21,1,1,1.1,"sharp-airlines"
138.3579,-34.43851,22,1,1,1.1,"sharp-airlines"
138.3497,-34.41439,23,1,1,1.1,"sharp-airlines"
138.3415,-34.39027,24,1,1,1.1,"sharp-airlines"
138.3333,-34.36614,25,1,1,1.1,"sharp-airlines"
138.3252,-34.34201,26,1,1,1.1,"sharp-airlines"
138.317,-34.31789,27,1,1,1.1,"sharp-airlines"
138.3088,-34.29376,28,1,1,1.1,"sharp-airlines"
138.3007,-34.26963,29,1,1,1.1,"sharp-airlines"
138.2925,-34.2455,30,1,1,1.1,"sharp-airlines"
138.2843,-34.22138,31,1,1,1.1,"sharp-airlines"
138.2762,-34.19725,32,1,1,1.1,"sharp-airlines"
138.2681,-34.17312,33,1,1,1.1,"sharp-airlines"
138.2599,-34.14899,34,1,1,1.1,"sharp-airlines"
138.2518,-34.12485,35,1,1,1.1,"sharp-airlines"
138.2436,-34.10072,36,1,1,1.1,"sharp-airlines"
138.2355,-34.07659,37,1,1,1.1,"sharp-airlines"
138.2274,-34.05246,38,1,1,1.1,"sharp-airlines"
138.2193,-34.02833,39,1,1,1.1,"sharp-airlines"
138.2112,-34.00419,40,1,1,1.1,"sharp-airlines"
138.2031,-33.98006,41,1,1,1.1,"sharp-airlines"
138.195,-33.95592,42,1,1,1.1,"sharp-airlines"
138.1869,-33.93179,43,1,1,1.1,"sharp-airlines"
138.1788,-33.90765,44,1,1,1.1,"sharp-airlines"
138.1707,-33.88352,45,1,1,1.1,"sharp-airlines"
138.1626,-33.85938,46,1,1,1.1,"sharp-airlines"
138.1545,-33.83524,47,1,1,1.1,"sharp-airlines"
138.1464,-33.8111,48,1,1,1.1,"sharp-airlines"
138.1384,-33.78697,49,1,1,1.1,"sharp-airlines"
138.1303,-33.76283,50,1,1,1.1,"sharp-airlines"
138.1222,-33.73869,51,1,1,1.1,"sharp-airlines"
138.1142,-33.71455,52,1,1,1.1,"sharp-airlines"
138.1061,-33.69041,53,1,1,1.1,"sharp-airlines"
138.0981,-33.66627,54,1,1,1.1,"sharp-airlines"
138.09,-33.64212,55,1,1,1.1,"sharp-airlines"
138.082,-33.61798,56,1,1,1.1,"sharp-airlines"
138.074,-33.59384,57,1,1,1.1,"sharp-airlines"
138.0659,-33.5697,58,1,1,1.1,"sharp-airlines"
138.0579,-33.54555,59,1,1,1.1,"sharp-airlines"
138.0499,-33.52141,60,1,1,1.1,"sharp-airlines"
138.0419,-33.49727,61,1,1,1.1,"sharp-airlines"
138.0339,-33.47312,62,1,1,1.1,"sharp-airlines"
138.0259,-33.44897,63,1,1,1.1,"sharp-airlines"
138.0179,-33.42483,64,1,1,1.1,"sharp-airlines"
138.0099,-33.40068,65,1,1,1.1,"sharp-airlines"
138.0019,-33.37653,66,1,1,1.1,"sharp-airlines"
137.9939,-33.35239,67,1,1,1.1,"sharp-airlines"
137.9859,-33.32824,68,1,1,1.1,"sharp-airlines"
137.9779,-33.30409,69,1,1,1.1,"sharp-airlines"
137.9699,-33.27994,70,1,1,1.1,"sharp-airlines"
137.962,-33.25579,71,1,1,1.1,"sharp-airlines"
137.954,-33.23164,72,1,1,1.1,"sharp-airlines"
137.946,-33.20749,73,1,1,1.1,"sharp-airlines"
137.9381,-33.18334,74,1,1,1.1,"sharp-airlines"
137.9301,-33.15919,75,1,1,1.1,"sharp-airlines"
137.9222,-33.13503,76,1,1,1.1,"sharp-airlines"
137.9142,-33.11088,77,1,1,1.1,"sharp-airlines"
137.9063,-33.08673,78,1,1,1.1,"sharp-airlines"
137.8984,-33.06257,79,1,1,1.1,"sharp-airlines"
