"long","lat","order","piece","id","group","name"
4.76389,52.3086,1,1,1,1.1,"skywork-airlines-"
4.794127,52.25553,2,1,1,1.1,"skywork-airlines-"
4.824291,52.20245,3,1,1,1.1,"skywork-airlines-"
4.854384,52.14936,4,1,1,1.1,"skywork-airlines-"
4.884404,52.09626,5,1,1,1.1,"skywork-airlines-"
4.914354,52.04316,6,1,1,1.1,"skywork-airlines-"
4.944232,51.99004,7,1,1,1.1,"skywork-airlines-"
4.97404,51.93692,8,1,1,1.1,"skywork-airlines-"
5.003777,51.8838,9,1,1,1.1,"skywork-airlines-"
5.033443,51.83066,10,1,1,1.1,"skywork-airlines-"
5.06304,51.77752,11,1,1,1.1,"skywork-airlines-"
5.092567,51.72437,12,1,1,1.1,"skywork-airlines-"
5.122025,51.67121,13,1,1,1.1,"skywork-airlines-"
5.151414,51.61805,14,1,1,1.1,"skywork-airlines-"
5.180734,51.56488,15,1,1,1.1,"skywork-airlines-"
5.209986,51.5117,16,1,1,1.1,"skywork-airlines-"
5.239169,51.45851,17,1,1,1.1,"skywork-airlines-"
5.268284,51.40532,18,1,1,1.1,"skywork-airlines-"
5.297332,51.35212,19,1,1,1.1,"skywork-airlines-"
5.326312,51.29891,20,1,1,1.1,"skywork-airlines-"
5.355226,51.2457,21,1,1,1.1,"skywork-airlines-"
5.384072,51.19248,22,1,1,1.1,"skywork-airlines-"
5.412852,51.13925,23,1,1,1.1,"skywork-airlines-"
5.441565,51.08601,24,1,1,1.1,"skywork-airlines-"
5.470213,51.03277,25,1,1,1.1,"skywork-airlines-"
5.498795,50.97952,26,1,1,1.1,"skywork-airlines-"
5.527311,50.92626,27,1,1,1.1,"skywork-airlines-"
5.555762,50.873,28,1,1,1.1,"skywork-airlines-"
5.584148,50.81973,29,1,1,1.1,"skywork-airlines-"
5.61247,50.76645,30,1,1,1.1,"skywork-airlines-"
5.640726,50.71316,31,1,1,1.1,"skywork-airlines-"
5.668919,50.65987,32,1,1,1.1,"skywork-airlines-"
5.697048,50.60657,33,1,1,1.1,"skywork-airlines-"
5.725113,50.55327,34,1,1,1.1,"skywork-airlines-"
5.753115,50.49996,35,1,1,1.1,"skywork-airlines-"
5.781054,50.44664,36,1,1,1.1,"skywork-airlines-"
5.80893,50.39332,37,1,1,1.1,"skywork-airlines-"
5.836743,50.33998,38,1,1,1.1,"skywork-airlines-"
5.864494,50.28665,39,1,1,1.1,"skywork-airlines-"
5.892182,50.2333,40,1,1,1.1,"skywork-airlines-"
5.919809,50.17995,41,1,1,1.1,"skywork-airlines-"
5.947374,50.12659,42,1,1,1.1,"skywork-airlines-"
5.974878,50.07323,43,1,1,1.1,"skywork-airlines-"
6.00232,50.01986,44,1,1,1.1,"skywork-airlines-"
6.029702,49.96648,45,1,1,1.1,"skywork-airlines-"
6.057023,49.9131,46,1,1,1.1,"skywork-airlines-"
6.084283,49.8597,47,1,1,1.1,"skywork-airlines-"
6.111484,49.80631,48,1,1,1.1,"skywork-airlines-"
6.138624,49.75291,49,1,1,1.1,"skywork-airlines-"
6.165705,49.6995,50,1,1,1.1,"skywork-airlines-"
6.192726,49.64608,51,1,1,1.1,"skywork-airlines-"
6.219688,49.59266,52,1,1,1.1,"skywork-airlines-"
6.246591,49.53923,53,1,1,1.1,"skywork-airlines-"
6.273435,49.4858,54,1,1,1.1,"skywork-airlines-"
6.300221,49.43236,55,1,1,1.1,"skywork-airlines-"
6.326948,49.37891,56,1,1,1.1,"skywork-airlines-"
6.353618,49.32546,57,1,1,1.1,"skywork-airlines-"
6.380229,49.272,58,1,1,1.1,"skywork-airlines-"
6.406783,49.21853,59,1,1,1.1,"skywork-airlines-"
6.433279,49.16506,60,1,1,1.1,"skywork-airlines-"
6.459719,49.11158,61,1,1,1.1,"skywork-airlines-"
6.486101,49.0581,62,1,1,1.1,"skywork-airlines-"
6.512427,49.00461,63,1,1,1.1,"skywork-airlines-"
6.538696,48.95112,64,1,1,1.1,"skywork-airlines-"
6.564909,48.89762,65,1,1,1.1,"skywork-airlines-"
6.591065,48.84411,66,1,1,1.1,"skywork-airlines-"
6.617166,48.7906,67,1,1,1.1,"skywork-airlines-"
6.643212,48.73708,68,1,1,1.1,"skywork-airlines-"
6.669202,48.68355,69,1,1,1.1,"skywork-airlines-"
6.695136,48.63002,70,1,1,1.1,"skywork-airlines-"
6.721016,48.57649,71,1,1,1.1,"skywork-airlines-"
6.746841,48.52294,72,1,1,1.1,"skywork-airlines-"
6.772612,48.4694,73,1,1,1.1,"skywork-airlines-"
6.798328,48.41584,74,1,1,1.1,"skywork-airlines-"
