origin,dest,count
75,80,1
290,261,6
75,189,1
248,80,3
75,80,1
75,142,1
329,80,3
286,80,1
329,80,1
75,80,5
248,80,2
329,80,5
329,258,1
75,80,6
248,80,3
329,80,4
75,80,1
329,80,3
75,80,2
88,80,1
248,80,1
286,80,1
329,80,4
329,258,1
248,80,2
329,80,1
329,80,1
248,80,1
75,80,1
248,80,1
286,80,1
75,80,1
329,80,1
13,80,2
75,80,1
286,80,3
329,80,1
286,80,2
329,80,5
13,80,1
286,80,1
329,80,1
248,80,2
248,80,2
75,80,2
248,80,1
61,80,1
248,80,1
248,80,1
248,80,2
329,80,1
75,80,1
329,80,3
61,80,2
329,80,2
61,80,1
329,96,1
248,80,1
329,142,1
329,54,1
34,80,1
75,142,1
212,123,1
61,80,1
175,215,1
329,80,1
13,80,1
34,80,2
70,80,1
212,80,1
13,246,2
63,52,1
212,54,1
329,54,1
61,80,1
65,116,1
212,54,1
212,116,1
239,74,1
329,74,1
329,76,1
13,80,1
13,246,1
13,261,1
267,54,1
267,246,1
33,116,1
33,80,1
131,113,1
175,123,1
175,261,1
131,62,1
212,111,1
126,83,1
175,215,1
329,258,1
113,305,1
175,123,1
13,123,1
87,123,1
329,80,1
113,62,1
186,31,1
13,246,1
205,83,1
212,123,1
126,123,1
212,62,1
61,62,1
34,52,1
286,116,1
286,246,1
183,44,1
286,116,1
329,76,1
61,244,1
75,80,1
88,76,1
75,76,1
286,170,1
131,111,1
332,83,1
33,31,1
63,322,1
131,52,1
286,83,1
33,302,1
126,52,1
131,116,1
329,80,1
332,83,1
329,83,1
39,123,1
63,52,1
329,302,1
33,123,1
88,52,1
332,52,1
13,116,1
131,116,1
63,242,1
329,307,1
332,307,1
87,116,2
183,215,1
13,116,1
126,123,1
13,116,1
126,52,1
183,215,2
329,62,1
34,52,1
131,80,1
183,215,2
29,258,1
63,302,1
329,302,1
332,116,1
332,307,1
131,116,1
175,329,1
183,74,1
329,80,2
329,302,3
329,307,1
332,80,2
29,258,1
34,336,2
63,302,1
290,80,1
329,80,1
329,302,1
332,80,3
63,76,1
63,302,1
87,116,1
57,54,1
71,123,1
130,80,1
131,116,1
175,54,1
175,336,1
329,307,1
34,123,1
329,80,1
63,336,1
71,336,2
126,256,1
131,31,1
332,54,2
332,80,1
332,336,1
332,116,1
57,54,1
332,54,1
332,246,1
126,123,1
126,160,1
131,123,1
131,242,1
175,307,1
186,160,1
332,83,1
332,160,1
1,160,1
63,256,1
71,242,1
72,160,1
131,160,4
329,307,1
332,80,1
332,160,3
332,246,1
71,52,1
126,160,1
130,246,1
131,85,1
131,123,1
131,160,9
329,160,1
332,160,1
130,123,1
131,160,1
131,242,1
329,307,1
332,246,1
63,54,1
131,52,1
131,160,2
131,242,2
332,83,1
332,160,1
332,242,1
63,83,1
71,160,1
75,160,1
131,160,1
131,242,2
286,242,1
332,160,5
332,242,1
1,116,1
33,84,1
57,54,2
87,31,1
126,85,1
131,215,1
175,54,1
329,302,2
329,307,2
332,160,1
332,258,1
42,83,1
57,54,1
57,84,1
71,80,1
156,246,1
175,54,1
329,307,1
332,246,1
71,336,1
126,54,1
126,256,1
131,80,1
175,54,2
183,54,1
329,76,1
329,302,4
332,246,1
1,54,1
34,336,2
63,160,1
63,336,4
71,160,1
71,246,1
126,52,1
126,256,3
131,85,1
131,160,2
131,246,1
131,277,1
156,116,1
156,160,1
212,336,1
329,54,2
329,302,1
329,307,1
332,54,2
332,142,1
332,160,1
332,246,2
42,336,1
63,85,1
63,160,1
63,336,5
126,179,1
131,160,3
131,336,1
156,160,1
183,54,1
183,160,1
183,336,1
329,76,1
329,336,1
332,178,2
332,258,1
63,336,6
71,160,1
71,229,1
87,302,2
131,160,2
131,242,1
131,336,1
183,256,1
286,178,1
329,305,1
57,36,1
57,52,1
63,336,3
71,52,1
87,116,1
87,302,1
126,336,1
131,160,1
131,336,2
183,215,1
183,336,4
286,178,1
329,31,1
332,36,3
332,258,1
57,160,1
63,336,2
71,160,1
71,318,1
87,302,2
93,258,1
113,31,1
113,302,1
126,160,2
131,54,1
131,160,2
332,160,1
332,242,1
335,83,1
34,336,1
57,54,1
57,336,1
87,302,3
93,258,1
113,302,1
126,85,1
126,164,1
175,54,1
286,83,1
329,152,1
57,54,2
63,336,2
71,52,1
87,302,2
93,258,1
113,31,1
113,258,2
113,302,1
126,85,2
131,116,1
175,54,2
329,54,1
332,160,1
332,258,1
42,256,1
63,336,2
71,142,2
71,277,1
87,302,3
93,258,3
113,258,3
131,85,1
329,54,5
329,84,1
332,83,1
42,256,1
63,256,3
63,336,7
87,302,1
113,302,2
126,85,3
131,111,1
131,242,1
131,256,1
131,336,1
286,36,1
286,178,1
329,54,2
332,83,1
335,336,2
63,336,1
72,83,1
87,302,1
126,85,1
131,336,1
175,336,1
183,54,1
329,336,1
332,84,1
20,85,1
29,258,1
42,160,1
63,336,1
126,85,1
131,160,1
183,54,1
332,160,3
332,164,1
34,160,1
57,160,1
63,160,4
126,84,1
126,85,1
131,160,6
156,160,1
156,227,1
329,160,1
332,160,1
42,85,1
42,160,1
42,336,1
57,54,1
126,84,1
131,160,1
183,54,2
329,54,1
329,85,1
332,83,1
34,256,1
42,85,2
57,54,2
57,85,2
57,123,1
63,85,1
113,116,1
126,6,1
126,85,2
126,173,1
156,227,1
175,54,1
175,84,1
329,54,1
332,52,1
42,320,1
42,336,1
63,85,3
126,62,1
126,85,1
126,173,1
126,219,1
126,336,1
131,31,1
212,336,1
329,54,2
329,336,1
57,85,3
63,85,1
63,336,2
126,62,1
126,85,2
126,173,2
126,179,1
175,336,1
250,173,1
34,62,1
63,85,1
113,31,1
113,258,1
126,62,1
126,85,2
126,173,1
126,229,1
126,292,1
126,320,1
126,336,1
329,54,1
329,85,3
329,336,2
42,336,1
63,336,1
113,31,1
126,256,1
131,85,1
131,336,1
329,85,7
329,336,1
332,84,1
332,274,1
34,85,2
42,179,1
42,336,1
57,85,1
57,292,1
61,173,1
63,336,1
113,31,1
126,85,1
126,179,1
126,320,1
126,336,2
175,85,2
329,27,1
329,54,2
329,85,4
332,84,1
57,54,2
57,85,2
126,44,1
126,256,1
126,292,2
126,320,1
175,85,1
329,85,4
329,336,1
57,85,1
113,227,1
126,85,2
126,256,1
329,85,5
329,292,1
329,320,1
329,336,1
332,84,1
332,274,3
42,85,1
63,85,2
115,98,1
115,274,1
126,44,1
126,85,1
126,256,1
130,244,1
131,31,1
131,274,1
131,336,1
175,85,1
186,256,1
250,98,1
329,85,1
332,274,1
332,320,1
335,98,1
34,336,1
42,336,2
63,85,1
63,219,1
63,336,1
72,98,1
87,116,1
126,256,1
186,84,1
186,85,1
329,84,1
329,85,1
57,84,1
63,320,1
63,336,1
113,84,3
115,274,1
42,160,4
42,336,1
63,160,2
63,320,1
115,98,1
131,160,1
175,160,1
42,160,6
42,320,1
42,336,2
57,54,1
57,84,1
63,160,3
63,320,1
72,31,1
75,258,1
87,84,1
115,84,2
115,160,1
126,44,1
126,160,2
131,160,1
131,322,1
186,84,1
286,213,1
290,216,1
329,54,1
329,160,2
332,83,1
332,98,1
332,274,1
30,160,2
42,85,1
42,160,9
57,84,2
57,85,1
57,116,1
63,85,1
63,160,3
63,320,1
63,336,1
87,116,1
88,83,1
126,160,4
126,256,1
131,123,1
131,160,3
175,84,1
186,84,1
250,279,1
329,83,1
329,160,3
332,52,1
335,160,1
30,160,2
42,160,2
61,173,1
63,160,2
126,256,1
126,336,1
287,160,1
42,160,2
42,336,1
63,160,2
126,256,1
131,336,1
329,160,1
42,160,1
131,160,1
175,84,1
329,160,3
42,52,1
42,160,4
63,160,2
131,160,9
212,34,1
329,160,7
329,246,1
34,320,1
42,160,4
42,336,1
57,84,1
57,98,1
57,160,1
63,160,1
63,320,1
63,336,1
75,258,1
87,116,1
126,85,2
131,85,1
131,160,3
131,215,1
175,274,1
186,160,1
186,320,2
329,84,1
329,160,1
332,84,1
34,85,1
34,320,3
42,85,1
57,84,1
87,116,1
126,85,1
175,84,1
175,243,1
186,84,2
186,160,1
329,123,1
332,243,1
332,244,1
33,243,1
34,52,1
42,160,1
42,283,1
42,320,1
57,84,1
57,243,1
61,173,1
63,160,1
126,85,1
126,320,1
131,215,1
329,83,1
329,85,1
329,229,1
329,336,1
332,84,1
332,243,1
3,256,1
34,336,1
42,85,1
42,160,4
42,292,1
42,320,2
42,336,1
61,173,1
63,84,1
63,85,3
63,160,4
63,320,1
63,336,1
71,160,4
75,173,1
124,52,1
126,141,1
126,256,1
126,320,1
126,336,2
131,6,1
131,160,6
175,274,1
212,85,1
212,320,1
329,54,2
329,84,1
329,160,1
329,256,1
329,336,2
332,274,1
335,160,4
25,160,1
30,160,1
42,160,3
42,243,1
42,336,1
63,160,4
126,85,2
131,160,4
175,84,2
175,244,1
186,84,1
204,258,2
329,84,1
329,160,1
329,229,1
332,274,1
335,84,1
335,160,2
25,160,1
30,160,1
33,243,1
42,160,5
42,243,1
42,246,1
63,84,2
63,160,4
71,160,1
115,84,1
115,243,1
126,85,5
126,160,1
126,192,1
126,215,2
131,85,2
131,160,1
175,84,3
186,243,1
212,85,1
212,160,3
239,160,1
286,243,1
287,85,1
329,160,3
332,84,1
332,243,1
335,160,1
30,30,1
30,160,2
33,243,2
34,85,1
34,320,1
42,160,6
57,84,1
63,160,7
64,85,1
71,160,1
113,31,1
115,274,1
126,52,1
126,85,5
126,160,4
126,173,1
131,160,11
175,84,1
175,274,1
186,83,1
186,84,1
186,85,1
212,160,2
329,84,2
329,160,3
332,160,1
334,160,1
335,85,1
335,160,10
30,160,1
34,83,1
42,85,1
42,160,4
63,85,1
63,160,2
126,85,5
131,160,3
