event-id,visible,timestamp,location-long,location-lat,eobs:status,eobs:type-of-fix,ground-speed,heading,height-above-ellipsoid,study-specific-measurement,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
7337135946,true,2016-05-02 04:20:46.000,34.782794,37.019334,"A",3,0.31,1.31,243.2,"61402221","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135947,true,2016-05-02 04:25:12.000,34.782915,37.019274,"A",3,0.07,262.14,244.9,"61402222","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135948,true,2016-05-02 04:35:15.000,34.782596,37.019216,"A",3,0.58,340.13,252.1,"61402224","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135949,true,2016-05-02 04:40:29.000,34.782356,37.019302,"A",3,0.21,347.34,263.7,"61402225","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135950,true,2016-05-02 04:45:10.000,34.782447,37.019313,"A",3,0.3,10.49,253.8,"61402226","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135951,true,2016-05-02 04:50:10.000,34.782486,37.019316,"A",3,0.16,14.42,267.9,"61402227","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135952,true,2016-05-02 04:55:13.000,34.780035,37.023083,"A",3,7.75,136.97,306.9,"61402228","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135953,true,2016-05-02 05:01:01.000,34.779864,37.023526,"A",3,11.11,233.31,361.4,"61402229","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135954,true,2016-05-02 05:05:13.000,34.779556,37.023629,"A",3,8.62,343.41,414.2,"61402230","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135955,true,2016-05-02 05:10:16.000,34.774807,37.03172,"A",3,10.14,193.99,390.9,"61402231","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135956,true,2016-05-02 05:15:17.000,34.770671,37.042917,"A",3,10.02,330.96,372.6,"61402232","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135957,true,2016-05-02 05:20:17.000,34.754009,37.043874,"A",3,10.83,302.78,543.9,"61402233","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135958,true,2016-05-02 05:25:11.000,34.750616,37.046975,"A",3,8.43,134.35,660.3,"61402234","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135959,true,2016-05-02 05:30:19.000,34.740588,37.059831,"A",3,11.63,344.72,685.0,"61402235","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135960,true,2016-05-02 05:35:11.000,34.717335,37.07747,"A",3,9.7,112.07,837.2,"61402236","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
7337135961,true,2016-05-02 05:40:18.000,34.715869,37.082344,"A",3,7.68,241.17,944.1,"61402237","gps","Ciconia ciconia","2859","2859/H4839/Albert","Eastern flyway spring migration of adult white storks (data from Rotics et al. 2018)"
