id,Year,Sex,Fledglings,Breeding attempt,comment
17870582,2012,F,3,1,
17870582,2013,F,2,1,
17910140,2012,M,2,1,
17910140,2013,M,2,1,
17910140,2014,M,2,1,
17910140,2015,M,3,1,
17930742,2012,M,0,1,
17930742,2013,M,3,1,
17930742,2014,M,0,1,
17930742,2015,M,0,1,
17940138,2012,F,2,1,
17940138,2013,F,2,1,
17940138,2014,F,3,1,
17960743,2012,F,2,1,
17960743,2013,F,4,1,
17960743,2014,F,3,1,
17970471,2014,M,2,1,
17970471,2015,M,3,1,
17970744,2012,M,NA,1,died during breeding season
23010596,2013,F,1,1,
23010596,2014,F,2,1,
23010596,2015,F,2,1,
23010596,2016,F,Unknown,1,
23030597,2013,F,NA,Unknown,disappeared upon arrival at breeding grounds
23050598,2013,M,0,1,
23050598,2014,M,1,1,
23060599,2013,M,2,1,
23060599,2014,M,2,1,
23060599,2015,M,2,1,
23060599,2016,M,3,1,
23070600,2013,F,2,1,
23070600,2014,F,2,1,
23070600,2015,F,2,1,
23070600,2016,F,3,1,
23130842,2013,F,0,1,
23130842,2014,F,1,1,
23130842,2015,F,3,1,
23170836,2013,F,3,1,
23190838,2013,M,4,1,
23190838,2014,M,2,1,
23190838,2015,M,3,1,
23190838,2016,M,3,1,
23200607,2013,F,3,1,
23200607,2014,F,2,1,
23200607,2016,F,1,1,
23220188,2013,M,0,1,
23220188,2014,M,NA,0,
23220188,2015,M,0,1,
23220188,2016,M,0,1,
23230847,2013,F,0,1,
23270864,2013,M,4,1,
23270864,2014,M,3,1,
23300841,2013,F,NA,0,
23300841,2014,F,NA,0,
23300841,2015,F,1,1,
23300841,2016,F,2,1,
23310054,2013,F,4,1,
23320204,2013,M,4,1,
23320204,2014,M,3,1,
23320204,2015,M,4,1,
23340866,2013,F,4,1,
23340866,2014,F,3,1,
23340866,2015,F,0,1,
23340866,2016,F,Unknown,1,
23360868,2013,M,0,1,
23360868,2014,M,2,1,
23370799,2013,F,3,1,
23370799,2014,F,3,1,
23370799,2015,F,NA,0,
23410844,2013,M,2,1,
23410844,2014,M,0,1,
23410844,2015,M,2,1,
23410844,2016,M,NA,0,
23420857,2014,M,2,1,
23460932,2014,M,0,1,
23460932,2015,M,0,1,
24210847,2014,F,NA,0,
24210847,2015,F,3,1,
24210847,2016,F,3,1,
24910935,2014,F,3,1,
24920443,2014,F,3,1,
24990444,2014,M,2,1,
24990444,2015,M,0,1,
24990444,2016,M,2,1,
28400933,2014,M,NA,0,
28410849,2014,M,2,1,
28410849,2015,M,2,1,
28420632,2014,M,0,1,
28590839,2014,M,2,1,
28590839,2015,M,2,1,
28590839,2016,M,NA,0,
