Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.29125214,,,,,,,,,,96.82263947,,,,,,,,97.80741882,,
Africa Eastern and Southern,AFE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,18.15768051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.44885063,,,,,,,43.01971817,,
Africa Western and Central,AFW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4054184,,,,,,,,,,,,,66.03011322,,,,,,
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.71298218,,,,,,,95.93863678,,,96.84529877,97.24697113,,,,,,98.14115143,,
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,44.90296936,45.26824188,45.6868782,46.20201874,46.76898956,47.41513062,47.62678146,48.47256851,49.32794189,50.30286026,50.8902092,51.87934113,52.78355026,53.75408936,54.85839081,55.79608917,56.51779938,57.35206985,58.33942032,59.80857086,60.54454041,61.72372055,62.75603104,63.68452835,64.8777771,66.04557037,68.68773651,69.63665771,69.21839905,68.13700867,68.62271881,69.62151337,68.30744934,69.24862671,71.06060791,74.43569183,74.0435791,75.71389008,73.49938965,74.84079742,75.76682281,72.86908722,73.11425018,
United Arab Emirates,ARE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,53.51488113,,,,,,,,,,71.23529816,,,,,,,,,,,,,,,,,,,,90.03385162,,,,,,,,,,93.22714233,,,,,
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,93.91285706,,,,,,,,,,,96.04071808,,,,,,,,,,97.1933136,,,,,98.6108017,,,98.98342133,98.95497131,99.10832977,99.10523224,99.12194824,98.99388885,99.17996216,99.12500763,,99.0038681,,
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.75196075,,,,,,,,,,,,99.40016174,,,,,,,,,,99.74440765,,,,,,99.73606873,,,
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,97.34416199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.94999695,,,,,,,,,,98.94999695,,,,98.94999695,,,,,
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79180145,,,,,,,,99.59319305,,99.75984192,99.77114105,99.77863312,99.77577209,99.78936005,99.78898621,99.78806305,99.79006195,99.79122925,,,
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,22.50855064,,,,,,,,,,,37.38471985,,,,,,,,,,59.30361938,,,,,,,,48.08406067,,,,,,61.51348877,,,68.37532806,,,
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,16.48273087,,,,,,,,,,,,,27.24517059,,,,,,,,,,34.65784836,,,,28.70211029,,,,,,32.94881821,,,,,,42.36240005,,
