"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Antigua and Barbuda","Export","Crustaceans","150","","74","F","117","F","74","F","57","F","36","","52","F","33","","21","F","43","","30","","135","","206","","207","","8","F","52","F"
"Antigua and Barbuda","Export","Fish","40","","106","F","136","F","168","F","113","F","292","","158","F","226","","199","F","302","","370","","755","","801","","416","","282","","200","F"
"Antigua and Barbuda","Import","Crustaceans","603","","112","F","391","F","2523","F","799","F","720","","780","","764","","710","F","778","","724","","814","","798","","871","","1183","","998",""
"Antigua and Barbuda","Import","Fish","3217","","1500","F","2204","F","2842","F","3342","F","3899","","5418","","6804","","5877","F","4762","","5005","","5286","","5588","","5319","","5062","F","5391",""
"Argentina","Export","Crustaceans","247849","","376041","","251544","","388461","","218293","","88464","","374959","","291152","","384248","","323482","","472443","","528603","","495691","","634659","","776839","","780253",""
"Argentina","Export","Fish","358548","","329740","","342766","","374117","","467718","","486903","","592668","","619742","","675952","","662185","","657656","","709988","","604064","","559762","","569476","","509083",""
"Argentina","Import","Crustaceans","7715","","3792","","327","","455","","460","","2346","","2947","","2837","","3190","","3245","","5353","","6330","","5323","","6343","","5257","","5471",""
"Argentina","Import","Fish","67030","","61091","","12402","","24986","","41626","","53182","","67535","","89645","","87219","","86085","","107839","","139497","","153710","","168681","","135020","","148608",""
"Aruba","Export","Crustaceans","0","-","0","-","0","-","0","-","0","-","1","","0","-","0","-","0","-","1","","4","","1","","0","-","0","0","6","","0","-"
"Aruba","Export","Fish","241","","358","","777","","435","","1017","","250","","70","","82","","23","","15","","13","","0","-","3","","48","","11","","32",""
"Aruba","Import","Crustaceans","475","","266","","266","","235","","489","","513","","442","","462","","509","","4533","","4707","","5542","","6173","","6406","","8088","","9089",""
"Aruba","Import","Fish","9451","","9083","","9711","","10948","","11721","","11142","","12064","","13262","","13898","","9137","","9839","","9759","","11215","","10878","","11271","","12297",""
"Bahamas","Export","Crustaceans","106808","","69399","","89810","","107198","","86616","","75040","","91025","","81371","","78865","","60978","","70503","","70508","","78469","","86866","","65435","","59082",""
"Bahamas","Export","Fish","356","","421","","628","","728","","175","","156","","289","","537","","396","","975","","1001","","942","","602","","1152","","504","","355",""
"Bahamas","Import","Crustaceans","3566","","3852","","4190","","3327","","3040","","3557","","3874","","4083","","4950","","4488","","4967","","3899","","4745","","3253","","5278","","4479",""
"Bahamas","Import","Fish","10420","","9305","","9554","","9281","","10877","","12398","","13412","","13079","","15817","","15204","","14035","","16714","","19056","","17952","","18023","","18242",""
"Barbados","Export","Crustaceans","6","","2","","4","","16","","26","","34","","36","","30","","18","","17","","6","","11","","9","","10","","8","","8",""
"Barbados","Export","Fish","1239","","1321","","892","","844","","791","","1311","","652","","869","","711","","322","","586","","520","","523","","345","","376","","457",""
"Barbados","Import","Crustaceans","1625","","1758","","1772","","1531","","979","","1557","","1829","","2054","","2318","","1615","","1561","","2058","","1878","","1990","","2247","","2982",""
"Barbados","Import","Fish","8823","","10094","","11135","","11599","","10250","","14991","","16254","","16201","","17227","","15854","","15844","","19374","","23312","","19489","","21816","","22062",""
"Belize","Export","Crustaceans","30196","","8242","","7700","","53199","F","50291","","38483","","38224","","17521","","18265","","20976","","22709","","19382","","21989","","49145","","52083","F","39561",""
"Belize","Export","Fish","112","","1078","","85","","59","","711","","699","","665","","627","","2359","","1353","","3873","","1174","","737","","856","","529","F","568","F"
"Belize","Import","Crustaceans","1443","","5","","19","","19","","17","","47","","7","","7","","10","","2","","380","","26","","4","","5","","161","","258",""
"Belize","Import","Fish","376","","272","","408","","424","","388","","439","","487","","427","","694","","465","","497","","333","","603","","575","","956","","500",""
"Bermuda","Export","Crustaceans","254","F","0","-","0","-","0","-","0","-","94","F","0","-","0","-","0","-","0","-","0","-","0","-","3","","16","","14","","8",""
"Bermuda","Export","Fish","18","","46","","46","","0","-","0","-","0","-","44","F","15","F","280","F","356","F","61","F","0","-","8","","27","","17","","14","F"
"Bermuda","Import","Crustaceans","2431","F","2545","F","2761","F","2900","F","2300","F","3667","F","3816","F","3305","F","2896","F","2268","F","2230","F","2165","F","2131","F","2895","F","2991","F","2330",""
"Bermuda","Import","Fish","3901","F","4865","F","4497","F","4329","F","4982","F","7893","F","8888","F","8915","F","7762","F","7059","F","5707","F","6549","F","7958","F","9134","F","8833","","8420","F"
"Bolivia (Plurinat.State)","Export","Fish","24","","35","","3","","22","F","0","-","1","","0","-","14","","49","","18","","0","-","0","-","0","-","0","-","0","-","0","-"
"Bolivia (Plurinat.State)","Import","Crustaceans","188","","114","","92","","63","","80","","72","","41","","33","","29","","33","","49","","52","","76","","124","","150","","222",""
"Bolivia (Plurinat.State)","Import","Fish","8842","","5271","","5302","","3440","","2504","","3195","","4736","","5235","","9875","","10169","","9824","","17608","","16265","","17716","","18667","","21465",""
"Brazil","Export","Crustaceans","157288","","189528","","248370","","313951","","304876","","273073","","242097","","168060","","144169","","82571","","102828","","86506","","57619","","78385","","74289","","74597",""
"Brazil","Export","Fish","81544","","93576","","93135","","103585","","115759","","126952","","122781","","138509","","118342","","107153","","113437","","134872","","152119","","139503","","132926","","145512",""
"Brazil","Import","Crustaceans","1362","","1077","","569","","148","","332","","407","","331","","621","","462","","773","","793","","1236","","588","","907","","872","","597",""
"Brazil","Import","Fish","317030","","257406","","211225","","201459","","266141","","296319","","461269","","556155","","677237","","705095","","1028376","","1227332","","1215400","","1428518","","1510546","","1162792",""
"Canada","Export","Crustaceans","1316187","","1306512","","1520599","","1709836","","1797845","","1762043","","1766123","","1894487","","1836435","","1553216","","1872380","","2217390","","2263490","","2398346","","2660986","","2788642",""
"Canada","Export","Fish","1244067","","1251891","","1272123","","1311330","","1381107","","1530628","","1570640","","1486789","","1544957","","1388725","","1620304","","1565595","","1553878","","1530908","","1421755","","1440926",""
"Canada","Import","Crustaceans","568194","","547567","","499958","","483252","","527152","","570942","","626256","","656978","","602699","","604418","","720632","","883611","","848259","","902053","","1097427","","943161",""
"Canada","Import","Fish","654213","","647117","","672780","","751128","","801378","","855536","","922784","","1061693","","1127306","","1122862","","1188181","","1350945","","1403007","","1501259","","1441821","","1333270",""
"Cayman Islands","Export","Fish","180","F","94","F","108","F","50","F","200","F","130","F","346","F","76","F","130","F","426","F","172","F","140","F","0","-","3","F","5","F","185","F"
"Cayman Islands","Import","Crustaceans","545","F","753","F","995","F","958","F","702","F","389","F","1113","F","934","F","951","F","994","F","871","F","789","F","1150","F","1328","F","1395","F","1287","F"
"Cayman Islands","Import","Fish","391","F","722","F","872","F","892","F","920","F","452","F","1855","F","2717","F","1763","F","2240","F","2539","F","2596","F","2952","F","2294","F","2146","F","1774","F"
"Chile","Export","Crustaceans","59186","","48357","","37786","","34621","","38199","","45479","","45785","","43182","","49942","","43144","","61733","","84936","","86436","","91296","","111794","","111596",""
"Chile","Export","Fish","1333735","","1412501","","1320666","","1560806","","1866012","","2201711","","2692743","","2769494","","2883495","","2604159","","2453268","","3358631","","3297259","","3955591","","4716791","","3811185",""
"Chile","Import","Crustaceans","4232","","3285","","2762","","2733","","3254","","4907","","6384","","9126","","12615","","12123","","20200","","30061","","37554","","46374","","58649","","55461",""
"Chile","Import","Fish","18458","","17753","","19033","","21593","","31758","","38105","","45460","","53195","","75123","","55749","","89941","","163223","","145427","","164597","","140334","","148692",""
"Colombia","Export","Crustaceans","100004","","95232","","84765","","78944","","66387","","84892","","82245","","69374","","85035","","68906","","57993","","45243","","47397","","26915","","23157","","22729",""
"Colombia","Export","Fish","89790","","79155","","80802","","80661","","92645","","95264","","82649","","118730","","154294","","137110","","120073","","142676","","153070","","164635","","195570","","144094",""
"Colombia","Import","Crustaceans","471","","1076","","600","","756","","1264","","1901","","3425","","5017","","5842","","5947","","10480","","13463","","16836","","32682","","43340","","33719",""
"Colombia","Import","Fish","55037","","55288","","64447","","69063","","82921","","109800","","120362","","150445","","209729","","194921","","217630","","270983","","321561","","392167","","429045","","366294",""
"Costa Rica","Export","Crustaceans","20123","","18495","","19378","","10942","","13036","","13456","","11167","","7211","","5965","","4959","","3691","","3514","","7014","","12648","","15624","","15619",""
"Costa Rica","Export","Fish","97498","","115020","","118977","","121217","","102187","","108306","","94242","","99949","","121069","","111074","","101198","","124800","","165822","","142405","","127719","","119584",""
"Costa Rica","Import","Crustaceans","1581","","2473","","2130","","2026","","1309","","1026","","1244","","1755","","1329","","2383","","2719","","5472","","4122","","3084","","7413","","8789",""
"Costa Rica","Import","Fish","15111","","17344","","26691","","23117","","26438","","26655","","31576","","38729","","55118","","47705","","42046","","61813","","77764","","86214","","117037","","125685",""
"Cuba","Export","Crustaceans","85656","","77335","","89338","","60833","","84327","","75031","","67229","","85662","","78851","","44646","","58873","","64292","F","46332","F","43184","F","41182","F","52179","F"
"Cuba","Export","Fish","894","","1666","","2780","","3503","","4017","","1130","","1216","","1303","","796","","813","","557","","931","F","853","F","767","F","671","F","642","F"
"Cuba","Import","Crustaceans","97","","514","","300","","145","","392","","919","","230","","872","","481","","70","","81","","64","F","122","F","121","F","112","F","411","F"
"Cuba","Import","Fish","37659","","29943","","18458","","26219","","48268","","49538","","35015","","40090","","52105","","34547","","23079","","28398","F","26271","F","24072","F","27997","F","36266","F"
"Curaçao","Export","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","193","F","0","0","0","0","10","F","58","F"
"Curaçao","Export","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","20425","F","35862","F","37956","F","32282","F","25986","F"
"Curaçao","Import","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2784","F","740","F","1345","F","2034","F","1250","F"
"Curaçao","Import","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","7777","F","7813","F","6767","F","5955","F","6648","F"
"Dominica","Export","Fish","0",".","0",".","1","","4","","1","","32","","1","","6","","6","","2","","0","-","6","","0","0","5","F","2","F","3","F"
"Dominica","Import","Crustaceans","30","","17","","30","","27","","28","","46","","42","","71","","52","","157","","114","","195","F","111","F","69","F","21","F","39","F"
"Dominica","Import","Fish","1544","","1231","","1374","","1279","","1516","","1593","","1617","","1736","","1897","","2202","","1699","","1986","F","1939","F","2091","F","3538","F","3186","F"
"Dominican Republic","Export","Crustaceans","55","","63","","160","","178","","437","","1817","","1636","","1793","","1509","","1624","","2611","","4155","","2571","","2672","","2502","","3859",""
