"group","yfield","xfield"
"Portugal",95,1501
"Great Britain",0,1501
"France",0,1501
"Spain",95,1501
"Netherlands",0,1501
"U.S.A.",0,1501
"Denmark/Baltic",0,1501
"Portugal",95,1502
"Great Britain",0,1502
"France",0,1502
"Spain",95,1502
"Netherlands",0,1502
"U.S.A.",0,1502
"Denmark/Baltic",0,1502
"Portugal",95,1503
"Great Britain",0,1503
"France",0,1503
"Spain",95,1503
"Netherlands",0,1503
"U.S.A.",0,1503
"Denmark/Baltic",0,1503
"Portugal",95,1504
"Great Britain",0,1504
"France",0,1504
"Spain",95,1504
"Netherlands",0,1504
"U.S.A.",0,1504
"Denmark/Baltic",0,1504
"Portugal",95,1505
"Great Britain",0,1505
"France",0,1505
"Spain",95,1505
"Netherlands",0,1505
"U.S.A.",0,1505
"Denmark/Baltic",0,1505
"Portugal",95,1506
"Great Britain",0,1506
"France",0,1506
"Spain",95,1506
"Netherlands",0,1506
"U.S.A.",0,1506
"Denmark/Baltic",0,1506
"Portugal",95,1507
"Great Britain",0,1507
"France",0,1507
"Spain",95,1507
"Netherlands",0,1507
"U.S.A.",0,1507
"Denmark/Baltic",0,1507
"Portugal",95,1508
"Great Britain",0,1508
"France",0,1508
"Spain",95,1508
"Netherlands",0,1508
"U.S.A.",0,1508
"Denmark/Baltic",0,1508
"Portugal",95,1509
"Great Britain",0,1509
"France",0,1509
"Spain",95,1509
"Netherlands",0,1509
"U.S.A.",0,1509
"Denmark/Baltic",0,1509
"Portugal",95,1510
"Great Britain",0,1510
"France",0,1510
"Spain",95,1510
"Netherlands",0,1510
"U.S.A.",0,1510
"Denmark/Baltic",0,1510
"Portugal",95,1511
"Great Britain",0,1511
"France",0,1511
"Spain",95,1511
"Netherlands",0,1511
"U.S.A.",0,1511
"Denmark/Baltic",0,1511
"Portugal",95,1512
"Great Britain",0,1512
"France",0,1512
"Spain",95,1512
"Netherlands",0,1512
"U.S.A.",0,1512
"Denmark/Baltic",0,1512
"Portugal",95,1513
"Great Britain",0,1513
"France",0,1513
"Spain",95,1513
"Netherlands",0,1513
"U.S.A.",0,1513
"Denmark/Baltic",0,1513
"Portugal",332,1514
"Great Britain",0,1514
"France",0,1514
"Spain",95,1514
"Netherlands",0,1514
"U.S.A.",0,1514
"Denmark/Baltic",0,1514
"Portugal",95,1515
"Great Britain",0,1515
"France",0,1515
"Spain",95,1515
"Netherlands",0,1515
"U.S.A.",0,1515
"Denmark/Baltic",0,1515
"Portugal",1186,1516
"Great Britain",0,1516
"France",0,1516
"Spain",786,1516
"Netherlands",0,1516
"U.S.A.",0,1516
"Denmark/Baltic",0,1516
"Portugal",786,1517
"Great Britain",0,1517
"France",0,1517
"Spain",786,1517
"Netherlands",0,1517
"U.S.A.",0,1517
"Denmark/Baltic",0,1517
"Portugal",786,1518
"Great Britain",0,1518
"France",0,1518
"Spain",786,1518
"Netherlands",0,1518
"U.S.A.",0,1518
"Denmark/Baltic",0,1518
"Portugal",786,1519
"Great Britain",0,1519
"France",0,1519
"Spain",786,1519
"Netherlands",0,1519
"U.S.A.",0,1519
"Denmark/Baltic",0,1519
"Portugal",786,1520
"Great Britain",0,1520
"France",0,1520
"Spain",786,1520
"Netherlands",0,1520
"U.S.A.",0,1520
"Denmark/Baltic",0,1520
"Portugal",202,1521
"Great Britain",0,1521
"France",0,1521
"Spain",202,1521
"Netherlands",0,1521
"U.S.A.",0,1521
"Denmark/Baltic",0,1521
"Portugal",202,1522
"Great Britain",0,1522
"France",0,1522
"Spain",202,1522
"Netherlands",0,1522
"U.S.A.",0,1522
"Denmark/Baltic",0,1522
"Portugal",202,1523
"Great Britain",0,1523
"France",0,1523
"Spain",202,1523
"Netherlands",0,1523
"U.S.A.",0,1523
"Denmark/Baltic",0,1523
"Portugal",202,1524
"Great Britain",0,1524
"France",0,1524
"Spain",202,1524
"Netherlands",0,1524
"U.S.A.",0,1524
"Denmark/Baltic",0,1524
"Portugal",202,1525
"Great Britain",0,1525
"France",0,1525
"Spain",202,1525
"Netherlands",0,1525
"U.S.A.",0,1525
"Denmark/Baltic",0,1525
"Portugal",897,1526
"Great Britain",0,1526
"France",0,1526
"Spain",897,1526
"Netherlands",0,1526
"U.S.A.",0,1526
"Denmark/Baltic",0,1526
"Portugal",897,1527
"Great Britain",0,1527
"France",0,1527
"Spain",897,1527
"Netherlands",0,1527
"U.S.A.",0,1527
"Denmark/Baltic",0,1527
"Portugal",897,1528
"Great Britain",0,1528
"France",0,1528
"Spain",897,1528
"Netherlands",0,1528
"U.S.A.",0,1528
"Denmark/Baltic",0,1528
"Portugal",897,1529
"Great Britain",0,1529
"France",0,1529
"Spain",897,1529
"Netherlands",0,1529
"U.S.A.",0,1529
"Denmark/Baltic",0,1529
"Portugal",897,1530
"Great Britain",0,1530
"France",0,1530
"Spain",897,1530
"Netherlands",0,1530
"U.S.A.",0,1530
"Denmark/Baltic",0,1530
"Portugal",862,1531
"Great Britain",0,1531
"France",0,1531
"Spain",861,1531
"Netherlands",0,1531
"U.S.A.",0,1531
"Denmark/Baltic",0,1531
"Portugal",862,1532
"Great Britain",0,1532
"France",0,1532
"Spain",861,1532
"Netherlands",0,1532
"U.S.A.",0,1532
"Denmark/Baltic",0,1532
"Portugal",862,1533
"Great Britain",0,1533
"France",0,1533
"Spain",861,1533
"Netherlands",0,1533
"U.S.A.",0,1533
"Denmark/Baltic",0,1533
"Portugal",862,1534
"Great Britain",0,1534
"France",0,1534
"Spain",861,1534
"Netherlands",0,1534
"U.S.A.",0,1534
"Denmark/Baltic",0,1534
"Portugal",862,1535
"Great Britain",0,1535
"France",0,1535
"Spain",861,1535
"Netherlands",0,1535
"U.S.A.",0,1535
"Denmark/Baltic",0,1535
"Portugal",579,1536
"Great Britain",0,1536
"France",0,1536
"Spain",579,1536
"Netherlands",0,1536
"U.S.A.",0,1536
"Denmark/Baltic",0,1536
"Portugal",579,1537
"Great Britain",0,1537
"France",0,1537
"Spain",579,1537
"Netherlands",0,1537
"U.S.A.",0,1537
"Denmark/Baltic",0,1537
"Portugal",579,1538
"Great Britain",0,1538
"France",0,1538
"Spain",579,1538
"Netherlands",0,1538
"U.S.A.",0,1538
"Denmark/Baltic",0,1538
"Portugal",579,1539
"Great Britain",0,1539
"France",0,1539
"Spain",579,1539
"Netherlands",0,1539
"U.S.A.",0,1539
"Denmark/Baltic",0,1539
"Portugal",579,1540
"Great Britain",0,1540
"France",0,1540
"Spain",579,1540
"Netherlands",0,1540
"U.S.A.",0,1540
"Denmark/Baltic",0,1540
