Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Asia,º Asia,1961,BiocapTotGHA,50340806.033529006,0,465091827.7115028,335018899.4267543,673749549.0410336,172807165.43424276,1697008247.6470616,,null
Asia,º Asia,1961,EFConsTotGHA,50340806.033529006,391547825.89071286,490829728.9032383,91172112.88086358,410036873.0630447,148235535.84672177,1582162882.6181087,,null
Asia,º Asia,1962,BiocapTotGHA,53461614.21810722,0,487357556.23450243,334240930.69692945,671188545.0354036,173599743.0217744,1719848389.2067173,,null
Asia,º Asia,1962,EFConsTotGHA,53461614.21810722,373956719.6737483,507329207.43179166,94980073.35708672,405194649.59673166,146013408.12991783,1580935672.407383,,null
Asia,º Asia,1963,BiocapTotGHA,54338907.04404691,0,494000043.7121742,333100337.1265,667651061.2311379,173930187.40205714,1723020536.5159159,,null
Asia,º Asia,1963,EFConsTotGHA,54338907.04404691,402612296.59374005,520199114.52771705,96998115.52900031,408237350.62460864,151039643.95107707,1633425428.2701914,,null
Asia,º Asia,1964,BiocapTotGHA,57637822.84890892,0,507438273.1753082,332393015.05586094,666799872.317245,174800498.5876912,1739069481.9850144,,null
Asia,º Asia,1964,EFConsTotGHA,57637822.84890892,427599878.46238816,536103444.51920235,89601593.20385945,421586823.52309024,149904177.8625495,1682433740.4199977,,null
Asia,º Asia,1965,BiocapTotGHA,61252577.26780388,0,518321591.84865355,331230605.0546655,664599378.3585811,175613071.86293262,1751017224.3926377,,null
Asia,º Asia,1965,EFConsTotGHA,61252577.26780388,463140397.20031506,551806082.841784,96926245.03903224,426662357.93005496,152185191.5094775,1751972851.7884672,,null
Asia,º Asia,1966,BiocapTotGHA,65851064.41918467,0,539846645.3562638,331144006.3995564,661776455.0108511,176966182.59349775,1775584353.7793539,,null
Asia,º Asia,1966,EFConsTotGHA,65851064.41918467,521629371.6363103,576160048.7386153,102085921.46283123,433882246.2676836,158838617.6469303,1858447270.1715565,,null
Asia,º Asia,1967,BiocapTotGHA,68522977.6013219,0,555074391.0438895,330151470.82012606,660939887.8154347,177717436.07232684,1792406163.3530998,,null
Asia,º Asia,1967,EFConsTotGHA,68522977.6013219,541263515.7125518,594135453.498587,108641655.03538609,444783941.98012745,159415397.37902766,1916762941.2070012,,null
Asia,º Asia,1968,BiocapTotGHA,70611717.96155849,0,566943776.0113329,329338994.848485,656931204.8212066,178798202.43780756,1802623896.080392,,null
Asia,º Asia,1968,EFConsTotGHA,70611717.96155849,592379592.659519,603739901.1256735,113910668.2204398,451817616.93858206,163078187.22725594,1995537684.133029,,null
Asia,º Asia,1969,BiocapTotGHA,73466645.42389008,0,581936917.6191789,327078134.542143,652932471.3359594,179136028.1860705,1814550197.1072414,,null
Asia,º Asia,1969,EFConsTotGHA,73466645.42389008,677016880.2475296,617540481.0718635,113050308.60693386,453794806.2250648,165910319.30969623,2100779440.8849776,,null
Asia,º Asia,1970,BiocapTotGHA,79764667.0479587,0,618228870.8658345,327794521.1409199,650531343.3169942,181278211.35026076,1857597613.7219667,,null
Asia,º Asia,1970,EFConsTotGHA,79764667.0479587,802266224.3181982,663291365.4198819,113422776.45983538,459983139.72146857,169146014.0963754,2287874187.0637174,,null
Asia,º Asia,1971,BiocapTotGHA,84198330.49272719,0,646052451.1937804,335773786.3462157,648384973.6382287,183270920.927329,1897680462.5982807,,null
Asia,º Asia,1971,EFConsTotGHA,84198330.49272719,868591610.3181356,682463236.3714441,117878569.81698972,473435900.34705704,170758856.42786542,2397326503.774218,,null
Asia,º Asia,1972,BiocapTotGHA,84694420.49055408,0,630351784.6653438,336971862.3636433,645053215.6928589,185835099.3594009,1882906382.5718012,,null
