Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Oceania,º Oceania,1961,BiocapTotGHA,280113.1196056231,0,13674041.336574353,78388449.45110008,49854470.16629029,170764067.48184106,312961141.55541176,,null
Oceania,º Oceania,1961,EFConsTotGHA,280113.1196056231,31867576.453373663,5619418.447864548,625211.3831226564,10887350.653067362,29545048.830856834,78824718.88789073,,null
Oceania,º Oceania,1962,BiocapTotGHA,303303.2768785371,0,15587773.373147089,78206418.63863917,49889021.34167582,170725132.98722535,314711649.6175663,,null
Oceania,º Oceania,1962,EFConsTotGHA,303303.2768785371,33261511.602660075,6404982.450973429,659396.968261491,9868856.308744714,28792917.70079532,79290968.3083135,,null
Oceania,º Oceania,1963,BiocapTotGHA,341833.6512166417,0,17101904.685870312,77939540.07867475,49875605.933059536,171215431.34295544,316474315.6917768,,null
Oceania,º Oceania,1963,EFConsTotGHA,341833.6512166417,35644422.659606,9809772.066150682,678206.2993263227,10350940.284784222,29465679.34320887,86290854.30429262,,null
Oceania,º Oceania,1964,BiocapTotGHA,347398.8657457835,0,18014051.910043936,77774039.32491188,49875675.55843664,171448506.34354517,317459672.00268286,,null
Oceania,º Oceania,1964,EFConsTotGHA,347398.8657457835,38336975.11109776,7372552.350878206,657809.2419661533,10968144.261955788,29210483.950427145,86893363.78207079,,null
Oceania,º Oceania,1965,BiocapTotGHA,263949.12493699393,0,13924207.01360172,77502056.10911101,49919945.76555225,172068346.18302193,313678504.19622344,,null
Oceania,º Oceania,1965,EFConsTotGHA,263949.12493699393,41181725.00613412,4608486.389786851,734735.0852441533,11110047.845043633,30275345.097209815,88174288.54835558,,null
Oceania,º Oceania,1966,BiocapTotGHA,388583.17233650014,0,22317740.58040221,77481793.56777331,50009388.68498247,171770928.8356051,321968434.84109986,,null
Oceania,º Oceania,1966,EFConsTotGHA,388583.17233650014,44770845.254022464,14665898.423840508,767402.0808038454,11076923.871207641,26809134.050806586,98478786.85301754,,null
Oceania,º Oceania,1967,BiocapTotGHA,252503.7738859506,0,13891924.335682904,77249557.9379933,50036526.53617502,172011103.92956057,313441616.5132976,,null
Oceania,º Oceania,1967,EFConsTotGHA,252503.7738859506,46857254.77505739,3933917.450518011,774747.5757185089,10947412.73574282,28175156.158216666,90940992.46913926,,null
Oceania,º Oceania,1968,BiocapTotGHA,410928.4884671805,0,25006880.576591127,77059453.04617311,49967569.997948624,179561155.8797875,332005987.9889672,,null
Oceania,º Oceania,1968,EFConsTotGHA,410928.4884671805,49229363.95603035,15962393.901034119,789116.5663265372,11967618.786270263,29709157.959626615,108068579.65775503,,null
Oceania,º Oceania,1969,BiocapTotGHA,365994.8955609226,0,19679770.801349588,76530452.04311654,49908116.86763084,178000169.26073718,324484503.86839503,,null
Oceania,º Oceania,1969,EFConsTotGHA,365994.8955609226,50631801.65021114,11653608.627940712,790442.0782621785,11917765.309948582,32294107.377648104,107653719.93957154,,null
Oceania,º Oceania,1970,BiocapTotGHA,365115.0086394645,0,18046897.999576665,76698073.73485316,49878843.67107618,172464997.49448168,317453927.90862745,,null
Oceania,º Oceania,1970,EFConsTotGHA,365115.0086394645,52293671.1993155,7586800.963027566,788063.461801286,12050728.992964333,31766377.11556707,104850756.74131559,,null
Oceania,º Oceania,1971,BiocapTotGHA,425225.47847271216,0,19203259.666732803,76557452.3081056,49951856.6158337,174953646.4910222,321091440.56016695,,null
Oceania,º Oceania,1971,EFConsTotGHA,425225.47847271216,51305469.2539641,5328613.193597963,771553.295432223,12513298.7838238,38467582.70772247,108811742.7130132,,null
Oceania,º Oceania,1972,BiocapTotGHA,332524.0747917942,0,14748061.756612513,76829755.01238337,49934485.03673026,175612782.17334887,317457608.0538673,,null
Oceania,º Oceania,1972,EFConsTotGHA,332524.0747917942,51884265.39748912,317082.89227395714,932706.778728485,11881015.592166899,36795461.29159801,102143056.02704857,,null
Oceania,º Oceania,1973,BiocapTotGHA,544639.8165181302,0,21606331.393602695,76363874.64983541,50027846.53326895,174626538.87292007,323169231.2661456,,null
Oceania,º Oceania,1973,EFConsTotGHA,544639.8165181302,56581347.159690365,12519025.214976052,935305.2463283951,12391460.136508685,32463619.094806563,115435396.66882867,,null
Oceania,º Oceania,1974,BiocapTotGHA,533773.9921976776,0,20714190.068283062,76617953.58825803,50000057.94393476,176155049.24862206,324021024.8412954,,null
Oceania,º Oceania,1974,EFConsTotGHA,533773.9921976776,61795014.93938125,12355550.447920524,1000303.9883643689,13256514.93622904,47901263.246758185,136842421.55085135,,null
Oceania,º Oceania,1975,BiocapTotGHA,657697.1029811563,0,23566632.242801655,76577103.54480673,50042426.4603893,176206180.10984924,327050039.46082765,,null
Oceania,º Oceania,1975,EFConsTotGHA,657697.1029811563,59686748.54398442,9991326.130551685,961087.1690572209,14012118.248270746,56419314.94179752,141728292.13664234,,null
Oceania,º Oceania,1976,BiocapTotGHA,568257.2648305413,0,21240656.57094717,76522891.48106761,49820045.86335312,176194830.33149612,324346681.5116944,,null
Oceania,º Oceania,1976,EFConsTotGHA,568257.2648305413,59802245.45767839,8725885.568711378,910060.781274329,13091175.347786987,46798928.16336028,129896552.58364247,,null
Oceania,º Oceania,1977,BiocapTotGHA,501062.60266645596,0,18719334.35907907,76879008.24441779,49800674.65313287,173522205.46617177,319422285.32546806,,null
Oceania,º Oceania,1977,EFConsTotGHA,501062.60266645596,65365721.11758939,5016898.619410372,1078712.73179608,14536138.980857568,32594634.159129933,119093168.21145022,,null
Oceania,º Oceania,1978,BiocapTotGHA,706360.7535946425,0,29756255.772059247,76992201.34617573,49693941.21897045,174800905.6954489,331949664.78624994,,null
Oceania,º Oceania,1978,EFConsTotGHA,706360.7535946425,62510826.52722062,15109195.28138147,1062938.841586383,14111509.528288344,35663697.84686128,129164528.77893308,,null
Oceania,º Oceania,1979,BiocapTotGHA,685234.8793500953,0,29306400.964930143,77129629.60342506,49706764.76962222,173836928.16214472,330664958.3794724,,null
Oceania,º Oceania,1979,EFConsTotGHA,685234.8793500953,64921742.0262162,17307832.983727127,1138186.128637252,14245424.682921324,27042921.4126536,125341342.11350578,,null
Oceania,º Oceania,1980,BiocapTotGHA,490726.3386372469,0,20961348.6874827,77140063.65404846,49379285.92264777,174551016.0280416,322522440.63085765,,null
Oceania,º Oceania,1980,EFConsTotGHA,490726.3386372469,66320024.24915986,251477.060018801,1175901.211694442,15557968.253844367,33345735.64802732,117141832.7613821,,null
Oceania,º Oceania,1981,BiocapTotGHA,681026.0850912238,0,30007873.50115185,77296155.38779712,49356438.54164149,174718076.10398096,332059569.61966294,,null
Oceania,º Oceania,1981,EFConsTotGHA,681026.0850912238,64962434.91543461,14218613.76026008,1396369.711407843,15901487.942131687,30369947.740169063,127529880.15449467,,null
Oceania,º Oceania,1982,BiocapTotGHA,423616.0655539454,0,18781415.18921973,76875828.22153747,49416652.30850764,171582444.88716146,317079956.6719798,,null
Oceania,º Oceania,1982,EFConsTotGHA,423616.0655539454,65463632.06251139,1821329.2039912879,1320142.496548882,14975074.257604437,32145601.61078983,116149395.69699925,,null
Oceania,º Oceania,1983,BiocapTotGHA,825069.1902266734,0,37819684.23892217,76694217.10674855,49376477.34574956,168713082.47099894,333428530.3526456,,null
