"Year","State","Category","Percent"
"2004","Alabama","coal",56.47478202954711
"2004","Alabama","natural gas",11.314028820537661
"2004","Alabama","nuclear",23.943448776943573
"2004","Alabama","Hydro",8.042201501574231
"2004","Alaska","Petroleum",11.276455026455027
"2004","Alaska","coal",6.4980158730158735
"2004","Alaska","natural gas",57.45701058201058
"2004","Alaska","Hydro",24.76851851851852
"2004","Arizona","coal",38.362870183838915
"2004","Arizona","natural gas",27.454186252469515
"2004","Arizona","nuclear",27.359785115763042
"2004","Arizona","Hydro",6.734596556791529
"2004","Arkansas","coal",50.80690598840953
"2004","Arkansas","natural gas",9.707018673535094
"2004","Arkansas","nuclear",31.08902124919511
"2004","Arkansas","Hydro",7.380875724404379
"2004","California","Renewables",13.164864895588218
"2004","California","Petroleum",1.0230876786140572
"2004","California","coal",1.0213825324830337
"2004","California","natural gas",48.646113971967395
"2004","California","nuclear",17.203787697939045
"2004","California","Hydro",18.940763223408247
"2004","Colorado","coal",75.12783971833348
"2004","Colorado","natural gas",22.208483527537933
"2004","Colorado","Hydro",2.1020202866962863
"2004","Connecticut","Renewables",2.3983546907134947
"2004","Connecticut","Petroleum",5.106786900806835
"2004","Connecticut","coal",13.463059642461635
"2004","Connecticut","natural gas",25.211200759373515
"2004","Connecticut","nuclear",52.330327479829144
"2004","Connecticut","Hydro",1.4902705268153773
"2004","Delaware","Petroleum",10.216585921915074
"2004","Delaware","coal",65.916215445996
"2004","Delaware","natural gas",23.867198632088915
"2004","Florida","Renewables",1.1960397164732453
"2004","Florida","Petroleum",17.490305260017898
"2004","Florida","coal",30.58802918602063
"2004","Florida","natural gas",35.81963758954909
"2004","Florida","nuclear",14.780512980771507
"2004","Georgia","coal",65.00591074770958
"2004","Georgia","natural gas",4.8533806193150095
"2004","Georgia","nuclear",27.704988014317145
"2004","Georgia","Hydro",2.2904147374642894
"2004","Hawaii","Renewables",3.3447604929120724
"2004","Hawaii","Petroleum",81.26563513388308
"2004","Hawaii","coal",14.861484295376634
"2004","Idaho","natural gas",16.117000392618767
"2004","Idaho","Hydro",83.05850019630938
"2004","Illinois","coal",48.95684026118809
"2004","Illinois","natural gas",1.3128417476243563
"2004","Illinois","nuclear",48.864999734564954
"2004","Indiana","coal",97.4657828068216
"2004","Indiana","natural gas",1.787145181264114
"2004","Iowa","Renewables",2.697254751391822
"2004","Iowa","coal",81.00643117680937
"2004","Iowa","natural gas",1.953349971203686
"2004","Iowa","nuclear",11.828086004991361
"2004","Iowa","Hydro",2.2701094259934727
"2004","Kansas","Petroleum",1.8256055067444792
"2004","Kansas","coal",73.94984929134868
"2004","Kansas","natural gas",1.7678872998567734
"2004","Kansas","nuclear",21.66142927381945
"2004","Kentucky","Petroleum",3.852086679928937
"2004","Kentucky","coal",91.61711045627175
"2004","Kentucky","Hydro",4.021233816661525
"2004","Louisiana","Petroleum",5.21093903707243
"2004","Louisiana","coal",33.18530593889654
"2004","Louisiana","natural gas",35.953792967761885
"2004","Louisiana","nuclear",24.002923072599007
"2004","Louisiana","Hydro",1.5444503780319851
"2004","Maine","Renewables",11.559275561007286
"2004","Maine","Petroleum",5.238473194314164
"2004","Maine","coal",1.4647521466195252
"2004","Maine","natural gas",61.050580849989174
"2004","Maine","Hydro",20.686918248069848
"2004","Maryland","Petroleum",6.3869224853587845
"2004","Maryland","coal",57.028769743458284
"2004","Maryland","natural gas",2.184844122808747
"2004","Maryland","nuclear",28.750024648512216
"2004","Maryland","Hydro",4.945477490978645
"2004","Massachusetts","Renewables",2.649902865998734
"2004","Massachusetts","Petroleum",15.585095933468665
"2004","Massachusetts","coal",22.890882500600267
"2004","Massachusetts","natural gas",44.830070067448105
"2004","Massachusetts","nuclear",12.96356929255888
"2004","Massachusetts","Hydro",1.0804793399253487
"2004","Michigan","Renewables",1.4266386831561237
"2004","Michigan","coal",58.755832307078556
"2004","Michigan","natural gas",12.339340537352783
"2004","Michigan","nuclear",26.505125492168663
"2004","Minnesota","Renewables",2.469283548747407
"2004","Minnesota","Petroleum",1.5198659645763524
"2004","Minnesota","coal",65.78307004946545
"2004","Minnesota","natural gas",2.4972075953406736
"2004","Minnesota","nuclear",26.51986596457635
"2004","Minnesota","Hydro",1.210706877293761
"2004","Mississippi","Petroleum",6.5968161531301455
"2004","Mississippi","coal",41.695505859328385
"2004","Mississippi","natural gas",27.284660731759708
"2004","Mississippi","nuclear",24.42301725578176
"2004","Missouri","coal",85.69249297470895
