"Entity","Code","Year","continent","Fish","Prod"
"Afghanistan","AFG",1961,"Asia","Freshwater",300
"Afghanistan","AFG",1962,"Asia","Freshwater",300
"Afghanistan","AFG",1963,"Asia","Freshwater",300
"Afghanistan","AFG",1964,"Asia","Freshwater",300
"Afghanistan","AFG",1965,"Asia","Freshwater",300
"Afghanistan","AFG",1966,"Asia","Freshwater",300
"Afghanistan","AFG",1967,"Asia","Freshwater",400
"Afghanistan","AFG",1968,"Asia","Freshwater",400
"Afghanistan","AFG",1969,"Asia","Freshwater",460
"Afghanistan","AFG",1970,"Asia","Freshwater",460
"Afghanistan","AFG",1971,"Asia","Freshwater",560
"Afghanistan","AFG",1972,"Asia","Freshwater",560
"Afghanistan","AFG",1973,"Asia","Freshwater",560
"Afghanistan","AFG",1974,"Asia","Freshwater",560
"Afghanistan","AFG",1975,"Asia","Freshwater",660
"Afghanistan","AFG",1976,"Asia","Freshwater",770
"Afghanistan","AFG",1977,"Asia","Freshwater",770
"Afghanistan","AFG",1978,"Asia","Freshwater",770
"Afghanistan","AFG",1979,"Asia","Freshwater",770
"Afghanistan","AFG",1980,"Asia","Freshwater",870
"Afghanistan","AFG",1981,"Asia","Freshwater",870
"Afghanistan","AFG",1982,"Asia","Freshwater",870
"Afghanistan","AFG",1983,"Asia","Freshwater",970
"Afghanistan","AFG",1984,"Asia","Freshwater",970
"Afghanistan","AFG",1985,"Asia","Freshwater",970
"Afghanistan","AFG",1986,"Asia","Freshwater",970
"Afghanistan","AFG",1987,"Asia","Freshwater",1170
"Afghanistan","AFG",1988,"Asia","Freshwater",1170
"Afghanistan","AFG",1989,"Asia","Freshwater",1170
"Afghanistan","AFG",1990,"Asia","Freshwater",1400
"Afghanistan","AFG",1991,"Asia","Freshwater",1400
"Afghanistan","AFG",1992,"Asia","Freshwater",1500
"Afghanistan","AFG",1993,"Asia","Freshwater",1500
"Afghanistan","AFG",1994,"Asia","Freshwater",1600
"Afghanistan","AFG",1995,"Asia","Freshwater",1600
"Afghanistan","AFG",1996,"Asia","Freshwater",1600
"Afghanistan","AFG",1997,"Asia","Freshwater",1550
"Afghanistan","AFG",1998,"Asia","Freshwater",1500
"Afghanistan","AFG",1999,"Asia","Freshwater",1500
"Afghanistan","AFG",2000,"Asia","Freshwater",1300
"Afghanistan","AFG",2001,"Asia","Freshwater",1250
"Afghanistan","AFG",2002,"Asia","Freshwater",1350
"Afghanistan","AFG",2003,"Asia","Freshwater",1350
"Afghanistan","AFG",2004,"Asia","Freshwater",1450
"Afghanistan","AFG",2005,"Asia","Freshwater",1450
"Afghanistan","AFG",2006,"Asia","Freshwater",1450
"Afghanistan","AFG",2007,"Asia","Freshwater",2050
"Afghanistan","AFG",2008,"Asia","Freshwater",2050
"Afghanistan","AFG",2009,"Asia","Freshwater",2050
"Afghanistan","AFG",2010,"Asia","Freshwater",2050
