Country,2015,2016,2017,2018,2019
Albania,150.00,50.00,,,
Algeria,650.00,650.00,415.00,2300.00,2400.00
Argentina,5027.50,4126.50,4624.30,5161.80,4644.50
Australia,4924.70,5259.40,5327.90,5688.80,5492.80
Austria,7687.30,7437.60,8134.60,6885.00,7423.50
Azerbaijan,180.00,180.00,180.00,200.00,200.00
Bahrain,,,,720.00,700.00
Bangladesh,3500.00,3500.00,3500.00,3800.00,5100.00
Belarus,2510.00,2188.00,2343.00,2470.00,2621.00
Belgium,7257.10,7687.30,7842.30,7980.40,7759.50
Bosnia and Herzegovina,819.00,805.90,756.00,695.20,800.60
Brazil,33257.60,31642.40,34777.60,35406.50,32568.90
Bulgaria,543.10,527.30,652.40,666.10,565.90
Canada,12472.60,12645.90,13208.00,13443.00,12897.00
Chile,1111.80,1152.50,1157.50,1145.20,1133.10
China,803825.00,807609.40,870854.50,928260.00,996341.70
Colombia,1211.10,1271.90,1252.80,1219.00,1332.80
Croatia,121.50,0.10,0.10,135.80,69.10
Cuba,284.50,243.70,221.00,225.40,229.90
Czechia,5261.60,5305.50,4550.10,4863.60,4436.80
D.P.R. Korea,1250.00,1250.00,1250.00,1250.00,1250.00
Ecuador,719.70,576.20,561.00,583.40,606.80
Egypt,5506.00,5035.70,6870.10,7806.80,7257.00
El Salvador,123.90,100.30,96.30,99.20,102.20
Finland,3988.30,4101.20,4003.20,4146.30,3473.30
France,14984.10,14412.60,15504.70,15387.40,14449.70
Germany,42675.70,42079.90,43297.20,42434.70,39627.30
Ghana,25.00,25.00,25.00,25.00,25.00
Greece,910.00,1158.00,1359.00,1467.00,1350.00
Guatemala,402.60,313.80,293.80,299.70,305.70
Hungary,1675.00,1273.70,1900.80,1988.90,1769.50
India,89026.40,95476.60,101454.70,109272.00,111350.70
Indonesia,4854.20,4745.90,5195.10,6183.00,7783.40
Iran,16145.50,17894.60,21235.60,24519.70,25609.20
Israel,300.00,300.00,300.00,300.00,300.00
Italy,21957.60,23312.10,24007.20,24495.80,23190.40
Japan,105134.40,104775.30,104661.10,104318.80,99284.10
Jordan,300.00,330.00,330.00,350.00,350.00
Kazakhstan,3910.00,4289.00,4641.00,3966.30,4134.40
Kenya,20.00,20.00,20.00,20.00,20.00
Kuwait,,,,1300.00,1270.00
Libya,351.80,491.60,421.60,396.30,606.40
Luxembourg,2127.10,2175.40,2171.70,2228.00,2119.30
Macedonia,121.30,169.10,272.80,266.10,239.30
Malaysia,3783.60,2764.10,3214.90,4108.50,6820.50
Mexico,18217.70,18823.60,19924.10,20204.00,18387.00
Moldova,443.00,126.00,469.00,497.40,391.90
Montenegro,150.00,120.00,120.00,100.00,75.00
Morocco,515.90,519.90,550.00,520.00,500.00
Myanmar,150.00,200.00,250.00,300.00,350.00
Netherlands,6995.10,6916.70,6781.30,6813.00,6656.90
New Zealand,792.60,577.10,657.50,651.80,667.10
Nigeria,100.00,100.00,100.00,100.00,100.00
Norway,590.00,620.00,603.10,574.60,620.80
Oman,2000.00,2000.00,2000.00,2000.00,2000.00
Others,110.00,115.00,115.00,115.00,115.00
Pakistan,2892.00,3553.00,4966.00,4719.00,3304.00
Paraguay,48.10,34.60,24.30,25.30,26.30
Peru,1081.60,1168.40,1207.00,1216.50,1230.40
Philippines,968.00,1075.20,1377.60,1474.80,1915.00
Poland,9198.00,9001.30,10332.00,10166.80,8956.10
Portugal,2030.00,2010.00,2075.90,2215.30,2032.80
Qatar,2593.00,2521.00,2644.00,2575.00,2557.80
Romania,3352.00,3275.80,3360.80,3549.90,3448.30
Russia,70898.00,70453.00,71491.00,72122.00,71897.00
Saudi Arabia,5229.10,5460.70,4831.40,8187.00,8191.00
Serbia,955.30,1172.60,1476.70,1973.40,1929.40
Singapore,501.20,520.10,595.50,618.20,766.30
Slovakia,4561.60,4808.20,4974.30,4800.00,3600.00
Slovenia,604.00,613.50,648.40,653.80,623.20
South Africa,6417.10,6141.30,6301.20,6327.30,6151.70
South Korea,69670.50,68575.80,71030.00,72464.00,71411.90
Spain,14844.70,13615.80,14440.90,14320.50,13587.70
Sri Lanka,30.00,30.00,30.00,30.00,30.00
Sweden,4557.10,4816.80,4926.50,4653.70,4720.90
Switzerland,1475.00,1500.00,1450.00,1500.00,1500.00
Syria,5.00,5.00,5.00,5.00,5.00
"Taiwan, China",21392.50,21750.90,22437.80,23240.50,21954.40
Thailand,5069.50,5400.10,6761.80,6402.50,4246.00
Trinidad and Tobago,591.20,36.10,0.00,0.00,0.00
Tunisia,50.00,50.00,50.00,50.00,50.00
Turkey,31517.30,33163.10,37523.90,37311.70,33743.10
Ukraine,22968.00,24218.00,21417.30,21100.50,20848.20
United Arab Emirates,3006.10,3149.10,3309.30,3247.50,3326.60
United Kingdom,10906.70,7634.90,7491.30,7267.70,7218.10
United States,78845.30,78475.00,81612.20,86607.40,87761.20
Uruguay,97.50,61.40,57.80,60.00,62.30
Uzbekistan,643.00,654.00,654.00,646.00,666.00
Venezuela,1345.30,552.90,443.80,129.00,50.80
Vietnam,5647.00,7811.00,11473.00,15471.00,17469.00
World,1625141.50,1632780.40,1735874.60,1825485.70,1875155.40
 ,,,,,
 ,,,,,
 ,,,,,
