"character","char_popular","costume","rank","issue","char_costume","parameter","value"
"Gambit = Name Unknown","Gambit","costumed",4,97,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,97,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,97,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,97,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,98,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,98,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,98,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,98,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,99,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,99,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,99,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,99,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,100,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,100,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,100,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,100,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,101,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,101,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,101,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,101,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,102,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,102,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,102,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,102,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,103,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,103,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,103,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,103,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,104,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,104,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,104,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,104,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,105,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,105,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,105,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,105,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,106,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,106,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,106,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,106,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,107,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,107,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,107,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,107,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,108,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,108,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,108,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,108,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,109,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,109,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,109,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,109,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,110,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,110,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,110,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,110,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,111,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,111,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,111,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,111,"Gambit (costumed)   ","depicted",0
