"state","year","incidence"
"ALABAMA","1928",334.98999999999995
"ALABAMA","1929",111.93000000000004
"ALABAMA","1930",157.00000000000006
"ALABAMA","1931",337.29000000000013
"ALABAMA","1932",10.20999999999999
"ALABAMA","1933",65.21999999999998
"ALABAMA","1934",590.27
"ALABAMA","1935",265.3400000000002
"ALABAMA","1936",20.779999999999994
"ALABAMA","1937",22.459999999999987
"ALABAMA","1938",496.4400000000001
"ALABAMA","1939",182.63999999999984
"ALABAMA","1940",115.12000000000002
"ALABAMA","1941",297.47000000000014
"ALABAMA","1942",126.14999999999995
"ALABAMA","1943",130.82000000000002
"ALABAMA","1944",252.86999999999998
"ALABAMA","1945",27.329999999999984
"ALABAMA","1946",126.74999999999997
"ALABAMA","1947",127.25999999999995
"ALABAMA","1948",69.09000000000002
"ALABAMA","1949",368.79999999999984
"ALABAMA","1950",50.900000000000006
"ALABAMA","1951",103.24000000000002
"ALABAMA","1952",351.71999999999997
"ALABAMA","1953",93.99000000000001
"ALABAMA","1954",280.3899999999998
"ALABAMA","1955",69.68
"ALABAMA","1956",231.74999999999994
"ALABAMA","1957",299.78999999999996
"ALABAMA","1958",242.33999999999992
"ALABAMA","1959",108.19000000000003
"ALABAMA","1960",63.330000000000005
"ALABAMA","1961",78.01000000000002
"ALABAMA","1962",71.58000000000006
"ALABAMA","1963",34.74000000000002
"ALABAMA","1964",533.6800000000001
"ALABAMA","1965",68.20000000000006
"ALABAMA","1966",52.37999999999999
"ALABAMA","1967",38.98000000000002
"ALABAMA","1968",4.650000000000001
"ALABAMA","1969",0.36
"ALABAMA","1970",13.94
"ALABAMA","1971",55.24000000000001
"ALABAMA","1972",4.02
"ALABAMA","1973",0.42000000000000004
"ALABAMA","1974",0.58
"ALABAMA","1975",0.13
"ALABAMA","1977",2.06
"ALABAMA","1978",3.43
"ALABAMA","1979",3.35
"ALABAMA","1980",0.5700000000000001
"ALABAMA","1981",0
"ALABAMA","1982",0.05
"ALABAMA","1983",0.03
"ALABAMA","1984",0
"ALABAMA","1986",0.02
"ALABAMA","1987",0.09000000000000001
"ALABAMA","1988",0.02
"ALABAMA","1989",1.4600000000000002
"ALABAMA","1990",0.6500000000000001
"ALABAMA","1991",0.02
"ALABAMA","1993",0.02
"ALABAMA","1997",0.14
"ALABAMA","1998",0
"ALABAMA","2002",0.16
"ALASKA","1954",691.67
"ALASKA","1955",241.86999999999998
"ALASKA","1956",1120.98
"ALASKA","1957",414.70000000000005
"ALASKA","1958",562.0600000000002
"ALASKA","1959",816.5500000000001
"ALASKA","1960",635.7899999999997
"ALASKA","1961",420.96000000000004
"ALASKA","1962",571.5400000000001
"ALASKA","1963",722.27
"ALASKA","1964",439.8899999999997
"ALASKA","1965",79.38
"ALASKA","1966",236.57
"ALASKA","1967",53.269999999999975
"ALASKA","1968",3.8600000000000003
"ALASKA","1969",6.77
"ALASKA","1970",33.61000000000001
"ALASKA","1971",19.419999999999995
"ALASKA","1972",3.9399999999999995
"ALASKA","1973",1.47
"ALASKA","1974",0.27
"ALASKA","1976",2.73
"ALASKA","1977",15.07
"ALASKA","1978",0.5
"ALASKA","1979",4.48
"ALASKA","1980",1.44
"ALASKA","1982",0.2
"ALASKA","1988",0.18
"ALASKA","1989",0
"ALASKA","1990",4.859999999999999
"ALASKA","1991",0.18
"ALASKA","1992",0.68
"ALASKA","1994",2.67
"ALASKA","1996",11.160000000000002
"ALASKA","1997",0.16
"ALASKA","1998",2.58
"ALASKA","2000",0.16
"ARIZONA","1928",200.75000000000003
"ARIZONA","1929",54.87999999999996
"ARIZONA","1930",466.30999999999983
"ARIZONA","1931",497.6900000000003
"ARIZONA","1932",20.110000000000003
"ARIZONA","1933",296.0100000000002
"ARIZONA","1934",238.8099999999999
"ARIZONA","1935",135.01999999999995
"ARIZONA","1936",525.5
"ARIZONA","1937",837.3000000000002
"ARIZONA","1938",149.34000000000006
"ARIZONA","1939",144.02
"ARIZONA","1940",339.05999999999995
"ARIZONA","1941",615.2899999999997
"ARIZONA","1942",740.8300000000003
"ARIZONA","1943",172.43999999999997
"ARIZONA","1944",736.7099999999999
"ARIZONA","1945",93.74000000000002
"ARIZONA","1946",498.69000000000005
"ARIZONA","1947",224.49000000000015
"ARIZONA","1948",623.3799999999999
"ARIZONA","1949",531.4599999999997
"ARIZONA","1950",315.95000000000005
"ARIZONA","1951",1351.4900000000007
"ARIZONA","1952",424.58999999999986
"ARIZONA","1953",557.9100000000001
"ARIZONA","1954",531.51
"ARIZONA","1955",1024.03
"ARIZONA","1956",644.3200000000003
"ARIZONA","1957",700.9700000000003
"ARIZONA","1958",825.1799999999997
"ARIZONA","1959",719.0200000000002
"ARIZONA","1960",325.9099999999999
"ARIZONA","1961",559.22
"ARIZONA","1962",431.74000000000007
"ARIZONA","1963",583.67
"ARIZONA","1964",405.53999999999985
"ARIZONA","1965",100.59999999999995
"ARIZONA","1966",336.90000000000003
"ARIZONA","1967",62.080000000000005
"ARIZONA","1968",14.61
"ARIZONA","1969",31.210000000000004
"ARIZONA","1970",53.049999999999976
"ARIZONA","1971",25.390000000000004
"ARIZONA","1972",40.83000000000002
"ARIZONA","1973",1.12
"ARIZONA","1974",0.8900000000000002
"ARIZONA","1975",3.53
"ARIZONA","1976",9.999999999999995
"ARIZONA","1977",8.71
"ARIZONA","1978",2.52
"ARIZONA","1979",3.2499999999999996
"ARIZONA","1980",11.629999999999999
"ARIZONA","1981",0.36000000000000004
"ARIZONA","1982",0.53
"ARIZONA","1985",7.49
"ARIZONA","1986",7.450000000000001
"ARIZONA","1987",1
"ARIZONA","1988",0.08
"ARIZONA","1989",3.9600000000000004
"ARIZONA","1990",7.720000000000001
"ARIZONA","1991",9.040000000000001
"ARIZONA","1992",0
"ARIZONA","1993",0.06
"ARIZONA","1994",0.2
"ARIZONA","1995",0.26999999999999996
"ARIZONA","1996",0.16999999999999998
"ARIZONA","1997",0.18
"ARIZONA","1998",0.2
"ARIZONA","1999",0.02
"ARIZONA","2001",0.02
"ARKANSAS","1928",481.7700000000002
"ARKANSAS","1929",67.21999999999996
"ARKANSAS","1930",53.43999999999998
"ARKANSAS","1931",45.910000000000004
"ARKANSAS","1932",5.329999999999997
