"conflict_name","deaths","conflict_start_year","conflict_end_year"
"Afghanistan vs. Anti-Reformists of 1924",1500,1924,1925
"Afghanistan vs. Anti-Reformists of 1928",18750,1928,1929
"Afghanistan vs. Mujahedin",516000.00000000006,1978,1992
"Algeria vs. Former Rebel Leaders",150000,1962,1963
"American-Philippino",20234,1899,1902
"Angola vs. UNITA of 1975",100000.00000000004,1975,1991
"Angolan-Portugese",79000,1961,1975
"Argentina vs. Army",900,1955,1955
"Assam",2105,1962,1962
"Austria vs. Socialists",311,1934,1934
"Bangladesh",11223,1971,1971
"Boer War of 1899",12423.999999999998,1899,1902
"Bolivia vs. Leftists",600,1952,1952
"Boxer Rebellion",3003,1900,1900
"Brazil vs. Paolistas",3000,1932,1932
"British Conquest of Kano &Sokoto",365,1903,1903
"British-Afghan of 1919",1236,1919,1919
"British-Mau Mau",12955,1952,1956
"British-Palestinian",2849,1936,1939
"British-Zulu of 1906",2356,1906,1906
"Bulgaria vs. Agrarian League",3000,1923,1923
"Burma vs. Ethnic Rebels",24825,1968,1980
"Burma vs. Kachin Rebels",10712.999999999998,1983,1995
"Burma vs. Karens",10375,1948,1951
"Burundi vs. Hutu of 1972",3000,1972,1972
"Burundi vs. Hutu of 1988",2000,1988,1988
"Caco Revolt",2348,1918,1920
"Cambodia vs. Khmer Rouge of 1970",249999.99999999997,1970,1975
"Cambodia vs. Khmer Rouge of 1978",90700.00000000001,1978,1991
"Cameroon",4270,1955,1960
"Chaco",37000,1932,1935
"Chad vs. Frolinat of 1966",3500,1966,1971
"Chad vs. Frolinat of 1980",27199.999999999996,1980,1988
"Changkufeng",1243,1938,1938
"Chile vs. Pinochet Led Rebels",2095,1973,1973
"China vs. Communists of 1930",500000,1930,1935
"China vs. Communists of 1946",1209900,1946,1950
"China vs. Kuomintang",10500,1926,1928
"China vs. Muslims of 1928",200000,1928,1928
"China vs. Pai-Lings",5000,1914,1914
"China vs. Red Guard",50000,1967,1968
"China vs. Republicans of 1911",1500,1911,1911
"China vs. Republicans of 1913",7500,1913,1913
"China vs. Taiwanese",1000,1947,1947
"China vs. Tibetans",71000,1956,1959
"China vs. War Lords",75000,1929,1930
"China vs. Yunnan Rebels",1000,1917,1918
"Colombia vs. Conservatives",549,1948,1949
"Colombia vs. Liberals of 1899",50000,1899,1903
"Colombia vs. Liberals of 1949",134820,1949,1962
"Costa Rica vs. National Union Party",2000,1948,1948
"Cuba vs. Castroites",5000,1958,1959
"Dominican Republic vs. Leftists",3276,1965,1965
"East Timorese",32000,1975,1977
"El Salvador vs. Leftists",2600,1932,1932
"El Salvador vs. Salvadorean Democratic Front",54999.99999999999,1979,1992
"Ethiopia vs. Eritrean Rebels",200000.00000000003,1974,1991
"Ethiopia vs. Somali Rebels",32000,1976,1983
"Ethiopia vs. Tigrean Liberation Front",15999.999999999998,1978,1991
"Ethiopian-Somalian",6000,1977,1978
"Falklands",964,1982,1982
"Finland vs. Communists",11750,1918,1918
"First Balkan",63000,1912,1913
"First Kashmir",7500,1948,1949
"First Moroccan",3246,1911,1912
"Football",2107,1969,1969
"Fourth Central American",1000,1907,1907
"Franco-Algerian of 1954",252026,1954,1962
"Franco-Druze",8000,1925,1927
"Franco-Indochinese of 1945",365000,1945,1954
"Franco-Madagascan of 1947",6952,1947,1948
"Franco-Syrian",5000,1920,1920
"Franco-Thai",765,1940,1941
"Franco-Tunisian of 1952",2000,1952,1954
"Franco-Turkish",1000,1919,1921
"Gov Afghanistan vs. Gov United Kingdom, Gov United States of America",1397,2001,2001
"Gov Afghanistan vs. Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Hizb-i Wahdat, Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan",178183,1989,2017
"Gov Afghanistan vs. IS",5590,2015,2017
"Gov Algeria vs. IS",50,2014,2017
"Gov Algeria vs. Takfir wa'l Hijra",18887,1990,2017
"Gov Angola vs. FLEC-R",503,1991,2017
"Gov Angola vs. UNITA",30222,1989,2013
"Gov Australia, Gov United Kingdom, Gov United States of America vs. Gov Iraq",7228,2003,2003
"Gov Azerbaijan vs. Military faction (forces of Suret Husseinov)",119,1993,1995
"Gov Azerbaijan vs. Republic of Artsakh",5465,1991,2017
"Gov Bangladesh vs. IS",89,2015,2017
"Gov Bangladesh vs. JSS/SB",140,1989,1997
"Gov Bangladesh vs. PBCP, PBCP-J",204,1994,2017
"Gov Bosnia-Herzegovina vs. Autonomous Province of Western Bosnia",971,1993,1995
"Gov Bosnia-Herzegovina vs. Croatian Republic of Bosnia-Herzegovina, Croatian irregulars",2654,1993,1994
"Gov Bosnia-Herzegovina vs. Serbian Republic of Bosnia-Herzegovina, Serbian irregulars",9829,1992,1995
"Gov Burundi vs. Palipehutu",8828,1990,2016
