Name,Start,End,Political Party
Edward Mutesa,1963,1966,Kabaka Yekka
Milton Obote,1966,1971,Uganda People's Congress
Idi Amin,1971,1979,Uganda Army
Yusuf Lule,1978,1979,Independent
Godfrey Binaisa,1979,1980,Uganda People's Congress
Paulo Muwanga,1979,1980,Uganda People's Congress
Presidential Commission,1979,1980,Independent
Milton Obote,1980,1985,Uganda People's Congress
Bazilio Olara-Okello,1985,1986,Uganda Army
Tito Okello,1985,1986,Uganda Army
Yoweri Museveni,1986,2021,National Resistance Movement
