city,country,population,source,URL
Hobart,Australia,220000,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
"Prince George, BC",Canada,78675,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Angra dos Reis,Brazil,197265,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Aparecida,Brazil,36673,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Aracaju,Brazil,686762,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Assis,Brazil,102395,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Belém,Brazil,1464941,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Belo Horizonte,Brazil,2609391,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Birigui,Brazil,122878,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Brasília,Brazil,3113259,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Brotas,Brazil,21541,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Brusque,Brazil,134043,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Cabreúva,Brazil,43117,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Cajamar,Brazil,56682,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Campinas,Brazil,1031554,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Campos de Goytacazes,Brazil,387417,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Canoas,Brazil,328291,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Capivari,Brazil,53152,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Caxias do Sul,Brazil,381270,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Cerquilho,Brazil,45142,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Curitiba,Brazil,1718421,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Estância Climática de São Bento do Sapucaí,Brazil,10000,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Estância Hidromineral de Águas de São Pedro,Brazil,2707,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Estância Turística de Guaratinguetá,Brazil,121073,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Estância Turística de ITU,Brazil,167095,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Extrema,Brazil,33817,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Fernandópolis,Brazil,61931,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Florianópolis,Brazil,412724,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Goiânia,Brazil,1171195,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Jaboatão dos Guararapes,Brazil,630008,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Limeira,Brazil,289665,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Lorena,Brazil,76506,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Maceió,Brazil,954991,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Mairiporã,Brazil,92323,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Montes Claros,Brazil,332379,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Niterói,Brazil,456456,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Nova Odessa,Brazil,56764,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Palmas,Brazil,196272,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Salvador,Brazil,2711840,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
Santos,Brazil,411403,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
São Caetano,Brazil,136453,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
São Gonçalo,Brazil,337273,CDP,https://www.cdp.net/en/cities/world-renewable-energy-cities
