Company Rank,Company Name,Market Cap Value,Country
1,Johnson & Johnson,$428.66 B, USA
,JNJ,,
2,Roche,$320.41 B, Switzerland
,RHHBY,,
3,Pfizer,$219.39 B, USA
,PFE,,
4,Eli Lilly,$208.99 B, USA
,LLY,,
5,Novartis,$207.70 B, Switzerland
,NVS,,
6,AbbVie,$202.60 B, USA
,ABBV,,
7,Merck,$191.67 B, USA
,MRK,,
8,Novo Nordisk,$187.83 B, Denmark
,NVO,,
9,Astrazeneca,$152.28 B, UK
,AZN,,
10,Bristol-Myers Squibb,$145.80 B, USA
,BMY,,
11,Amgen,$136.50 B, USA
,AMGN,,
12,Sanofi,$130.37 B, France
,SNY,,
13,CVS Health,$110.49 B, USA
,CVS,,
14,GlaxoSmithKline,$104.30 B, UK
,GSK,,
15,CSL,$103.10 B, Australia
,CSL.AX,,
16,Gilead Sciences,$83.62 B, USA
,GILD,,
17,Moderna,$83.25 B, USA
,MRNA,,
18,Merck KGaA,$80.61 B, Germany
,MRK.DE,,
19,Bayer,$59.43 B, Germany
,BAYZF,,
20,Jiangsu Hengrui Medicine,$58.51 B, China
,600276.SS,,
21,Regeneron Pharmaceuticals,$55.83 B, USA
,REGN,,
22,Biogen,$55.00 B, USA
,BIIB,,
23,BioNTech,$54.23 B, Germany
,BNTX,,
24,Takeda Pharmaceutical,$52.67 B, Japan
,TAK,,
25,Lonza,$52.16 B, Switzerland
,LONN.SW,,
26,Walgreens Boots Alliance,$45.05 B, USA
,WBA,,
27,Celltrion,$33.80 B, S. Korea
,068270.KS,,
28,Astellas Pharma,$33.42 B, Japan
,ALPMF,,
29,BeiGene,$31.65 B, China
,BGNE,,
30,Eisai,$31.20 B, Japan
,4523.T,,
31,West Pharma,$26.59 B, USA
,WST,,
32,Hansoh Pharma,$26.00 B, China
,3692.HK,,
33,LabCorp,$25.97 B, USA
,LH,,
34,Otsuka Holdings,$23.15 B, Japan
,4578.T,,
35,Horizon Therapeutics,$21.13 B, Ireland
,HZNP,,
36,Alnylam Pharmaceuticals,$20.42 B, USA
,ALNY,,
37,kyowa Kirin,$18.85 B, Japan
,4151.T,,
