Top10,Country,Other Fuel Combustion,Agriculture,Waste,Fugitive Emissions,Industrial Processes,Transportation,Manufacturing/Construction,Building,Electricity/Heat,Global Bunker*,Other Territories*
Top 10,China,299.64,730.6,185.65,693.38,1122.48,843.5,2842.4,525.1,4644.1,,
Top 10,United States,94.53,380.93,131.03,291.97,222.02,1711.2,433.6,496.5,2145.5,,
Top 10,EU (27),109.1,395.23,111.44,56.84,163.17,789,355.4,460.4,1157.5,,
Top 10,India,119.04,704.16,80.98,54.95,130.61,265.3,533.8,109.2,1111.3,,
Top 10,Russia,22.24,96.6,115.75,713.04,55.27,240.2,187.8,156.3,840,,
Top 10,Japan,26.6,21.51,7.04,2.3,73.75,207.5,190.3,120.2,610.2,,
Top 10,Brazil,39.18,503.2,68.89,8.86,29.75,198.5,85.7,20.4,95.8,,
Top 10,Indonesia,30.95,190.22,129.47,33.25,33.75,134.5,84.2,23.1,206.6,,
Top 10,Iran,18.78,33.17,45.42,121.1,30.72,130.6,91.4,134.5,195.1,,
Top 10,South Korea,12.98,14.06,10.01,5.2,72.45,101.3,73,51.4,356.6,,
Others,Canada,30.73,56.35,17.55,46.56,20.85,172.4,64,73.4,213.4,,
Others,Mexico,25.71,95.72,45.07,33.31,41.39,155.9,61.9,21.8,196.1,,
Others,Saudi Arabia,1.9,6.45,26.67,13.15,88.21,136.9,110.8,4.9,274.7,,
Others,Australia,13.34,119.64,12.12,36.36,18.19,96.1,38.7,14.7,235.7,,
Others,South Africa,12.72,29.62,24.03,2.73,20.43,55.4,50.3,21.2,279.9,,
Others,United Kingdom,9.48,51.04,18.16,7.42,21.52,120.5,36.4,84.7,125.2,,
Others,Turkey,14.03,48.24,16.16,8.14,43.53,79,51.1,54,146.5,,
Others,Thailand,18.58,63.93,12.58,13,53.88,69.2,49.5,6.5,110.1,,
Others,Argentina,15.23,128.04,21.06,11.95,24.91,46.5,30,28.8,73.8,,
Others,Pakistan,3.6,175.63,8.91,13.7,20.4,46.2,41.8,18.7,46.2,,
Others,Vietnam,4.29,71.08,19.93,20.11,34.14,36.9,62.4,12.3,73.9,,
Others,Egypt,5.16,31.77,26.84,14.93,30.24,56,28.6,16.7,100.4,,
Others,Nigeria,35.07,81.69,13.38,59.39,20.94,50.8,6.7,1.7,26.1,,
Others,Malaysia,4.21,13.25,19.94,21.18,17.6,62.8,29.6,4.1,118.5,,
Others,Ukraine,6.65,29.52,14.21,38.2,8.79,24.4,37.6,25.5,105.2,,
Others,Kazakhstan,4.4,22.96,5.45,23.21,4.8,15.1,55.4,16.2,141.3,,
Others,United Arab Emirates,6.42,1.99,18.63,32.36,8.23,34.6,68.2,0.8,88.2,,
Others,Venezuela,1.04,38.6,10.76,65.52,12.2,40,25.3,5.4,56.6,,
Others,Uzbekistan,3.06,33.52,6.8,78.75,6.55,5.7,11.1,26.7,39,,
Others,Algeria,4.8,12.42,13.94,38.2,16.81,45.1,10.9,20.7,47.8,,
Others,Philippines,6.3,59,13.31,0.62,15.78,33.3,16.8,7.9,56.1,,
Others,Iraq,1.77,6.71,10.66,25.02,9.39,25.3,8.9,9,96.7,,
Others,Colombia,9.23,56.77,16.49,17.2,11.98,31.5,14.7,4.7,28,,
Others,Bangladesh,5.62,83.56,20.11,1.4,9.12,9.8,15.1,9,36.3,,
Others,Ethiopia,37.76,109.54,4.72,0,3.46,5.3,3.7,1.1,0,,
Others,Turkmenistan,11.84,9.94,1.35,43.62,2.03,11.8,2.4,17.3,25.9,,
Others,Kuwait,0.31,0.47,2.28,3.88,14.85,14.2,17.6,0.9,57.4,,
Others,Myanmar,7.57,79.13,5.04,0.22,0.3,4.4,4,0.9,7.4,,
Others,Chile,3.94,10.46,4.77,1.19,3.67,26.4,15,5.9,37.1,,
Others,Sudan,9.49,71.88,3.54,0.02,2.23,9.5,1.6,1,6.3,,
Others,Tanzania,25.08,59.86,5.75,2.88,0.57,7,1.3,0.5,1.8,,
Others,Peru,1.08,26.1,11.05,3.01,5.18,22.3,7.8,3.3,17.6,,
Others,Qatar,4.23,0.76,1.03,4.22,2.93,13.2,13.6,0.4,51.9,,
Others,Angola,0.79,37.39,1.64,30.11,1.35,8.4,2.5,4.3,4.3,,
Others,Israel,1.25,1.53,8.02,3.34,13.31,17.6,4.3,0.8,40.1,,
Others,Morocco,6.29,14.56,4.68,3.06,8.23,17.1,7.1,6.9,21.6,,
Others,Cameroon,5.21,13.44,3.74,1.29,58.64,3.2,0.2,0.5,2.2,,
Others,Afghanistan,66.39,15.35,3.37,2.19,0.74,,,,,,
Others,Libya,0.87,2.85,1.62,34.56,4.25,21.2,1.7,1.2,19.3,,
Others,Belarus,2.29,20.22,6.36,1.04,2.69,10.8,4.5,4.9,30.9,,
Others,Azerbaijan,1.36,6.94,3.92,38.13,1.7,6.5,2.8,6.7,14.3,,
Others,New Zealand,1.88,42.62,3.84,0.88,2.12,14.6,6.6,1.6,6.2,,
Others,Kenya,12.38,45.8,1.28,0.02,3.88,8.9,3.5,1.2,1.9,,
Others,Chad,0.72,67.1,2.13,5.72,0.66,,,,,,
Others,Oman,2.91,1.68,1.04,5.95,4.01,12.3,23.8,0.6,23.8,,
Others,Ecuador,3.35,12.75,11.65,1.24,3.18,16.7,3.2,3.5,9.2,,
Others,Serbia,2.81,6.61,5.59,2.38,1.79,6,4.5,2.4,32.2,,
Others,Singapore,0.4,0.12,3.06,0.96,13.36,6.5,12.4,0.6,25.7,,
Others,Central African Republic,32.83,23.21,3,0,0.03,,,,,,
Others,Democratic Republic of the Congo,12.19,26.61,14.13,0.91,1.9,1.9,0.1,0,0,,
Others,Bolivia,3.25,27.24,2.85,3.3,1.74,8.2,2.1,1.6,5.6,,
Others,South Sudan,,52.86,,,,1,0,0,0.7,,
Others,North Korea,6.33,4.92,1.48,12.36,5.64,1.4,15.1,0.1,4.1,,
Others,Uganda,16.82,29.4,1.81,0,0.92,,,,,,
Others,Switzerland,0.81,5.64,0.82,0.23,3.35,16,5.2,13,3.1,,
Others,Mongolia,2.08,27.5,0.24,1.4,0.37,1.7,1.4,1.6,11.7,,
Others,Paraguay,1.4,30.27,7.53,0,1.85,6,0.2,0.2,0,,
Others,Bahrain,0.09,0.03,11.64,2.49,3.22,3.6,2.1,0.3,23.6,,
Others,Nepal,12.54,24.76,0.95,0.01,0.82,3.9,2.8,1.2,0,,
Others,Norway,1.5,5.17,1.19,1.41,2.8,13.3,6,1.8,13.6,,
Others,Syria,1.42,6.88,6.38,3.32,3.59,6.4,3.5,2.9,12,,
Others,Ghana,7.53,10.36,3.47,5.48,2.03,7.3,1.7,0.9,2.7,,
Others,Niger,4.3,27.72,6.13,0.62,0.57,1.2,0.2,0,0.5,,
Others,Cuba,3.56,11.11,3.13,1.94,1.1,1.5,6.5,0.6,11.7,,
Others,Zambia,4.37,28.6,3.37,0.01,1.31,1.2,1.5,0.1,0.6,,
Others,Tunisia,2.24,4.38,3.05,0.97,5.06,7.1,5.1,2.7,9.1,,
Others,Dominican Republic,0.79,8.91,2.61,0.12,3,5.9,3,1.5,11.8,,
Others,Mali,2.22,33.89,0.57,0,0.84,,,,,,
Others,Uruguay,0.71,27.39,1.97,0.01,1.13,3.6,0.8,0.6,0.8,,
Others,Mozambique,3.79,18.52,3.78,2.66,1.36,3.9,0.7,0.2,1.2,,
Others,Jordan,0.72,1.32,5.25,0.26,4.77,8.3,2.7,1.9,10.4,,
Others,Cambodia,3.57,20.98,0.54,0,1.16,5,0.7,0.4,3,,
Others,Sri Lanka,3.29,5.51,3.36,0,1.82,9.4,1.6,0.8,8.7,,
Others,Guatemala,4.67,9.9,1.86,0.01,1.73,8,2,0.9,5.1,,
Others,Lebanon,0.11,0.79,2.93,0,4.37,5.7,1.1,3.2,13.2,,
Others,Senegal,3.37,12.01,3.83,0.02,3.08,3,1.7,0.4,3.1,,
Others,Zimbabwe,4,11.44,2.48,0.68,1.65,2.1,1.1,0.2,6.2,,
Others,Madagascar,2.59,23.91,0.86,0,0.9,,,,,,
Others,Bosnia and Herzegovina,0.08,2.74,1.13,0.71,0.5,3.6,2,1.3,14.9,,
Others,Burkina Faso,1.28,23,1.07,0,1.05,,,,,,
Others,Trinidad and Tobago,0.11,0.3,1.21,0.39,3.31,3.7,4.3,0.4,12.6,,
Others,Somalia,1.37,22.27,2.31,0,0.25,,,,,,
Others,Guinea,2.87,20.01,1.97,0,1.33,,,,,,
Others,Côte d'Ivoire,1.26,7.1,2.09,0.46,2.82,3.6,1.6,0.8,4,,
Others,Yemen,0.84,7.88,2.78,1.64,1.33,2.8,1,2,3.3,,
Others,Honduras,1.39,6.84,2.82,0.02,1.74,4.1,1.3,0.3,3.4,,
Others,Nicaragua,1.05,10.97,1.03,0,0.8,2.4,0.7,0.7,1.5,,
Others,Panama,0.75,3.51,2.34,0,1.86,4.7,2.1,0.8,2.6,,
