Least,Country,Population*
1, Vatican City,799
2, Tokelau,"1,340"
3, Niue,"1,615"
4, Falkland Islands,"3,377"
5, Montserrat,"4,989"
6, Saint Pierre and Miquelon,"5,822"
7, Saint Helena,"6,059"
8, Nauru,"10,756"
9, Wallis and Futuna,"11,432"
10, Tuvalu,"11,646"
11, Anguilla,"14,869"
12, Cook Islands,"17,548"
13, Palau,"18,008"
14, Caribbean Netherlands,"25,979"
15, British Virgin Islands,"30,030"
16, Gibraltar,"33,701"
17, San Marino,"33,860"
18, Liechtenstein,"38,019"
19, Turks and Caicos Islands,"38,191"
20, Monaco,"38,964"
21, Sint Maarten,"42,388"
22, Faroe Islands,"48,678"
23, Saint Kitts and Nevis,"52,823"
24, American Samoa,"55,312"
25, Northern Mariana Islands,"56,188"
26, Greenland,"56,672"
27, Marshall Islands,"58,791"
28, Bermuda,"62,506"
29, Cayman Islands,"64,948"
30, Dominica,"71,808"
31, Andorra,"77,142"
32, Isle of Man,"84,584"
33, Antigua and Barbuda,"97,118"
34, Seychelles,"97,739"
35, United States Virgin Islands,"104,578"
36, Aruba,"106,314"
37, Saint Vincent and the Grenadines,"110,589"
38, Tonga,"110,940"
39, Grenada,"112,003"
40, Micronesia (Fed. States of),"113,815"
41, Kiribati,"117,606"
42, Curaçao,"163,424"
43, Guam,"167,294"
44,Channel Islands,"172,259"
45, Saint Lucia,"182,790"
46, Samoa,"197,097"
47, São Tomé and Príncipe,"215,056"
48,Mayotte,"266,150"
49, French Polynesia,"279,287"
50, French Guiana,"282,731"
