"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10106,"Other Animals",505
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",60
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",3421327
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",35645
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",150983
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1790167
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",34057
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",198.99999999999997
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",115017.00000000001
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",431222
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",268462
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1158
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",56474.00000000001
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",120304
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",1096644
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",375986
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",589560
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",742
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",11438
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",295638
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",165
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",14.999999999999998
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",8716
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",14069
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",6625
2,"Vegetable Products",206,"Trees and other live plants",20602,"Other Live Plants",912
2,"Vegetable Products",206,"Trees and other live plants",20603,"Cut Flowers",5040
2,"Vegetable Products",206,"Trees and other live plants",20604,"Foliage",28.999999999999996
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",92543
