Author	n (strains)	publication title	journal	publication URL	strains
Zhang et al	1	A new coronavirus associated with human respiratory disease in China	unknown	https://dx.doi.org/10.1038/s41586-020-2008-3	hCoV-19/Wuhan/Hu-1/2019
Cherng-Lih Perng et al	4	unknown	unknown	unknown	hCoV-19/Taiwan/TSGH-37/2020,hCoV-19/Taiwan/TSGH-01/2020,hCoV-19/Taiwan/TSGH-41/2021,hCoV-19/Taiwan/TSGH-39/2021
Weijun Chen et al	1	Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding	unknown	https://dx.doi.org/10.1016/S0140-6736(20)30251-8	hCoV-19/Wuhan/WH01/2019
Fan et al	1	unknown	unknown	unknown	hCoV-19/Wuhan/IME-WH03/2019
Frilasita A Yudhaputri et al	3	unknown	unknown	unknown	hCoV-19/Indonesia/NT-EIJK14/2020,hCoV-19/Indonesia/JB-EIJK41/2020,hCoV-19/Indonesia/JK-EIJK48/2020
Oskar Karlsson Lindsjo et al	2	unknown	unknown	unknown	hCoV-19/Sweden/20-02114/2020,hCoV-19/Sweden/20-51847/2020
Caly L. et al A	4	Tracking the COVID-19 pandemic in Australia using genomics	unknown	https://dx.doi.org/10.1101/2020.05.12.20099929	hCoV-19/Australia/VIC02/2020,hCoV-19/Australia/VIC17/2020,hCoV-19/Australia/VIC07/2020,hCoV-19/Australia/VIC1010/2020
Mak TM et al	6	unknown	unknown	unknown	hCoV-19/Singapore/17/2020,hCoV-19/Singapore/712/2020,hCoV-19/Singapore/571/2020,hCoV-19/Singapore/714/2020,hCoV-19/Singapore/464/2020,hCoV-19/Singapore/690/2020
Daniel F Gudbjartsson et al A	1	Spread of SARS-CoV-2 in the Icelandic Population	unknown	https://dx.doi.org/10.1056/NEJMoa2006100	hCoV-19/Iceland/13/2020
Kenneth Siu-Sing LEUNG et al	1	A territory-wide study of early COVID-19 outbreak in Hong Kong community: A clinical, epidemiological and phylogenomic investigation	unknown	https://dx.doi.org/10.1101/2020.03.30.20045740	hCoV-19/HongKong/HKPU64-1202/2020
M.E. Quiñones-Mateu et al	1	unknown	unknown	unknown	hCoV-19/NewZealand/CoV002/2020
Yan Li et al	1	unknown	unknown	unknown	hCoV-19/Jamaica/JM-CDC-0869/2020
Paola Resende et al A	1	Genomic surveillance of SARS-CoV-2 reveals community transmission of a major lineage during the early pandemic phase in Brazil	unknown	https://dx.doi.org/10.1101/2020.06.17.158006	hCoV-19/Brazil/ES-FIOCRUZ-225/2020
Naranzul Ts et al	4	unknown	unknown	unknown	hCoV-19/Mongolia/3631/2020,hCoV-19/Mongolia/54002/2021,hCoV-19/Mongolia/106214/2021,hCoV-19/Mongolia/30/2020
Stefan Schmutz et al	1	unknown	unknown	unknown	hCoV-19/Switzerland/ZH-UZH-1000477102/2020
Matt Storey et al A	9	unknown	unknown	unknown	hCoV-19/NewZealand/20VR0770/2020,hCoV-19/NewZealand/20VR1900/2020,hCoV-19/NewZealand/20VR2038/2020,hCoV-19/NewZealand/20VR0914/2020,hCoV-19/NewZealand/20VR1928/2020,hCoV-19/NewZealand/20VR1949/2020,hCoV-19/NewZealand/20VR1581/2020,hCoV-19/NewZealand/20VR1620/2020,hCoV-19/NewZealand/20VR0712/2020
Samira Al-Maruqi et al	5	unknown	unknown	unknown	hCoV-19/Oman/RESP-20-4400/2020,hCoV-19/Oman/RESP-20-837/2020,hCoV-19/Oman/RESP-20-797/2020,hCoV-19/Oman/52995/2020,hCoV-19/Oman/13551583/2020
