Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1961","1961","index","14.15","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1962","1962","index","14.15","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1963","1963","index","14.15","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1964","1964","index","17.25","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1965","1965","index","19.12","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1966","1966","index","21.37","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1967","1967","index","25.87","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1968","1968","index","26.15","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1969","1969","index","26.43","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1970","1970","index","25.59","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1971","1971","index","20.15","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1972","1972","index","24.93","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1973","1973","index","25.87","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1974","1974","index","26.06","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1975","1975","index","26.15","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1976","1976","index","24.56","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1977","1977","index","14.53","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1978","1978","index","21.28","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1979","1979","index","20.25","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1980","1980","index","20.9","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1981","1981","index","20.72","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1982","1982","index","20.06","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1983","1983","index","19.5","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1984","1984","index","18.75","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1985","1985","index","17.9","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1986","1986","index","18.19","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1987","1987","index","15.56","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1988","1988","index","15.84","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1989","1989","index","15.84","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1990","1990","index","15.81","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1991","1991","index","16.41","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1992","1992","index","16.12","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1993","1993","index","15.94","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1994","1994","index","16.4","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1995","1995","index","18.44","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1996","1996","index","21.88","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1997","1997","index","25.99","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1998","1998","index","30.36","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","1999","1999","index","33.68","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2000","2000","index","38","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2001","2001","index","37.07","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2002","2002","index","33.4","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2003","2003","index","26.29","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2004","2004","index","15.65","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2005","2005","index","18.97","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2006","2006","index","49.21","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2007","2007","index","55.77","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2008","2008","index","52.55","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2009","2009","index","68.21","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2010","2010","index","56.1","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2011","2011","index","58.16","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2012","2012","index","65.62","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2013","2013","index","73.68","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2014","2014","index","83.81","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2015","2015","index","84.11","Fc","Calculated data"
"QI","Production Indices","2","Afghanistan","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2016","2016","index","132.08","Fc","Calculated data"
