"geographicaream49","country","region","measureditemcpc","crop","timepointyears","loss_per_clean","percentage_loss_of_quantity","loss_quantity","loss_qualitiative","loss_monetary","activity","fsc_location1","periodofstorage","treatment","causeofloss","samplesize","units","method_datacollection","tag_datacollection","reference","url"
"124","Canada","","01341","Apples",2007,3.45,"3.446156277","","","","","SWS_Total","","","","","","Cansim 002-0010","National Acctounts","FAO Sources",""
"124","Canada","","01341","Apples",2006,3.63,"3.628549191","","","","","SWS_Total","","","","","","Cansim 002-0010","National Acctounts","FAO Sources",""
"124","Canada","","01341","Apples",2005,3.67,"3.665908034","","","","","SWS_Total","","","","","","Cansim 002-0010 And Fruit And Vegetables 07","National Acctounts","FAO Sources",""
"124","Canada","","01341","Apples",2004,3.51,"3.512782113","","","","","SWS_Total","","","","","","Cansim 002-0010","National Acctounts","FAO Sources",""
"124","Canada","","01341","Apples",2004,3.54,"3.544310449","","","","","SWS_Total","","","","","","Cansim Ii - Table 002-0010 - Supply And Disposition Of Food - Nov 2005","National Acctounts","FAO Sources",""
"124","Canada","","01341","Apples",2003,3.64,"3.636680099","","","","","SWS_Total","","","","","","Cansim Ii - Table 002-0010 - Feb 05","National Acctounts","FAO Sources",""
"124","Canada","","01341","Apples",2003,3.71,"3.710521319","","","","","SWS_Total","","","","","","Cansim 002-0010 And Fruit And Vegetables 07","National Acctounts","FAO Sources",""
"124","Canada","","01341","Apples",2002,3.37,"3.367735211","","","","","SWS_Total","","","","","","Cansim Ii - Table 002-0010 - Feb 05","National Acctounts","FAO Sources",""
"124","Canada","","01341","Apples",2002,3.82,"3.823400784","","","","","SWS_Total","","","","","","Cansim Ii - Food Consumption In Canada (Part I & Ii) - Dec 2003","National Acctounts","FAO Sources",""
"124","Canada","","01341","Apples",2001,3.09,"3.087547108","","","","","SWS_Total","","","","","","Cansim Ii Food Consumption In Canada 2001 Part 2 (Published Oct 2002)Stock Changes = Beginning St...","National Acctounts","FAO Sources",""
"124","Canada","","01341","Apples",2000,2.84,"2.83834344","","","","","SWS_Total","","","","","","Cansim Ii Food Consumption In Canada 2001 Part 2 (Published Oct 2002)Stock Changes = Beginning St...","National Acctounts","FAO Sources",""
"156","China","","01341","Apples",2001,4,"4","","","","","Storage","6 Months","","","","","","-","","http://aciar.gov.au/files/node/2249/p105chapter1.pdf"
"156","China","","01341","Apples",2001,4,"4","","","","","Storage","6 Months","","","","","","-","","http://aciar.gov.au/files/node/2249/p105chapter1.pdf"
"218","Ecuador","","01341","Apples",2003,3,"2.996977837","","","","","SWS_Total","","","","","","Fbs2003","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"218","Ecuador","","01341","Apples",2002,9.03,"9.02746712","","","","","SWS_Total","","","","","","Hdb 2002","Food Balance Sheet/Ag. Production Questionnaire","FAO Sources",""
"276","Germany","","01341","Apples",2002,1.59,"1.589966692","","","","","SWS_Total","","","","","","","FAO Sources","FAO Sources",""
"276","Germany","","01341","Apples",2001,1.53,"1.525182687","","","","","SWS_Total","","","","","","","FAO Sources","FAO Sources",""
"276","Germany","","01341","Apples",2000,1.34,"1.336266259","","","","","SWS_Total","","","","","","","FAO Sources","FAO Sources",""
"348","Hungary","","01341","Apples",2005,0.91,"0.911903535","","","","","SWS_Total","","","","","","National Statistical Yearbook","National Statistics Yearbook","FAO Sources",""
"348","Hungary","","01341","Apples",2004,0.87,"0.869371537","","","","","SWS_Total","","","","","","National Statistical Yearbook","National Statistics Yearbook","FAO Sources",""
"348","Hungary","","01341","Apples",2003,0.97,"0.966887026","","","","","SWS_Total","","","","","","National Statistical Yearbook","National Statistics Yearbook","FAO Sources",""
"356","India","","01341","Apples",2014,0.02,"0.02","","","","","Farm","","","","1 agro-climatic zone","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
"356","India","","01341","Apples",2014,0.11,"0.11","","","","Packaging","Farm","","","","1 agro-climatic zone","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
"356","India","","01341","Apples",2014,0.13,"0.13","","","","Storage","Storage","","","","1 agro-climatic zone","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
"356","India","","01341","Apples",2014,0.25,"0.25","","","","Processing","Storage","","","","1 agro-climatic zone","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
"356","India","","01341","Apples",2014,0.29,"0.29","","","","Collection","Farm","","","","1 agro-climatic zone","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
"356","India","","01341","Apples",2014,0.34,"0.34","","","","Retailer","Storage","","","","1 agro-climatic zone","","Stratified Multistage Random Sampling","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf"
