NAME_LONG,FORMAL_EN,NAME_AR,NAME_BN,NAME_DE,NAME_ES,NAME_FR,NAME_EL,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_PT,NAME_RU,NAME_SV,NAME_TR,NAME_VI,NAME_ZH
Fiji,Republic of Fiji,فيجي,ফিজি,Fidschi,Fiyi,Fidji,Φίτζι,फ़िजी,Fidzsi-szigetek,Fiji,Figi,フィジー,피지,Fiji,Fidżi,Fiji,Фиджи,Fiji,Fiji,Fiji,斐濟
Tanzania,United Republic of Tanzania,تنزانيا,তানজানিয়া,Tansania,Tanzania,Tanzanie,Τανζανία,तंज़ानिया,Tanzánia,Tanzania,Tanzania,タンザニア,탄자니아,Tanzania,Tanzania,Tanzânia,Танзания,Tanzania,Tanzanya,Tanzania,坦桑尼亚
Western Sahara,Sahrawi Arab Democratic Republic,الصحراء الغربية,পশ্চিম সাহারা,Westsahara,Sahara Occidental,Sahara occidental,Δυτική Σαχάρα,पश्चिमी सहारा,Nyugat-Szahara,Sahara Barat,Sahara Occidentale,西サハラ,서사하라,Westelijke Sahara,Sahara Zachodnia,Saara Ocidental,Западная Сахара,Västsahara,Batı Sahra,Tây Sahara,西撒哈拉
Canada,Canada,كندا,কানাডা,Kanada,Canadá,Canada,Καναδάς,कनाडा,Kanada,Kanada,Canada,カナダ,캐나다,Canada,Kanada,Canadá,Канада,Kanada,Kanada,Canada,加拿大
United States,United States of America,الولايات المتحدة,মার্কিন যুক্তরাষ্ট্র,Vereinigte Staaten,Estados Unidos,États-Unis,Ηνωμένες Πολιτείες Αμερικής,संयुक्त राज्य अमेरिका,Amerikai Egyesült Államok,Amerika Serikat,Stati Uniti d'America,アメリカ合衆国,미국,Verenigde Staten van Amerika,Stany Zjednoczone,Estados Unidos,Соединённые Штаты Америки,USA,Amerika Birleşik Devletleri,Hoa Kỳ,美国
Kazakhstan,Republic of Kazakhstan,كازاخستان,কাজাখস্তান,Kasachstan,Kazajistán,Kazakhstan,Καζακστάν,कज़ाख़िस्तान,Kazahsztán,Kazakhstan,Kazakistan,カザフスタン,카자흐스탄,Kazachstan,Kazachstan,Cazaquistão,Казахстан,Kazakstan,Kazakistan,Kazakhstan,哈萨克斯坦
Uzbekistan,Republic of Uzbekistan,أوزبكستان,উজবেকিস্তান,Usbekistan,Uzbekistán,Ouzbékistan,Ουζμπεκιστάν,उज़्बेकिस्तान,Üzbegisztán,Uzbekistan,Uzbekistan,ウズベキスタン,우즈베키스탄,Oezbekistan,Uzbekistan,Usbequistão,Узбекистан,Uzbekistan,Özbekistan,Uzbekistan,乌兹别克斯坦
Papua New Guinea,Independent State of Papua New Guinea,بابوا غينيا الجديدة,পাপুয়া নিউগিনি,Papua-Neuguinea,Papúa Nueva Guinea,Papouasie-Nouvelle-Guinée,Παπούα Νέα Γουινέα,पापुआ न्यू गिनी,Pápua Új-Guinea,Papua Nugini,Papua Nuova Guinea,パプアニューギニア,파푸아뉴기니,Papoea-Nieuw-Guinea,Papua-Nowa Gwinea,Papua-Nova Guiné,Папуа-Новая Гвинея,Papua Nya Guinea,Papua Yeni Gine,Papua New Guinea,巴布亚新几内亚
Indonesia,Republic of Indonesia,إندونيسيا,ইন্দোনেশিয়া,Indonesien,Indonesia,Indonésie,Ινδονησία,इंडोनेशिया,Indonézia,Indonesia,Indonesia,インドネシア,인도네시아,Indonesië,Indonezja,Indonésia,Индонезия,Indonesien,Endonezya,Indonesia,印度尼西亚
Argentina,Argentine Republic,الأرجنتين,আর্জেন্টিনা,Argentinien,Argentina,Argentine,Αργεντινή,अर्जेण्टीना,Argentína,Argentina,Argentina,アルゼンチン,아르헨티나,Argentinië,Argentyna,Argentina,Аргентина,Argentina,Arjantin,Argentina,阿根廷
