RowIDs,Year,Measure,Country_Name,Country_Code,Series_Name,Series_Code
Row0,2005,2.066527002,Argentina,ARG,coal,EG.ELC.COAL.ZS
Row0,2015,2.029567389,Argentina,ARG,coal,EG.ELC.COAL.ZS
Row1,2005,32.23402944,Argentina,ARG,hydroelectric,EG.ELC.HYRO.ZS
Row1,2015,26.24157509,Argentina,ARG,hydroelectric,EG.ELC.HYRO.ZS
Row2,2005,52.44618024,Argentina,ARG,natural gas,EG.ELC.NGAS.ZS
Row2,2015,49.48226026,Argentina,ARG,natural gas,EG.ELC.NGAS.ZS
Row3,2005,6.515247746,Argentina,ARG,nuclear,EG.ELC.NUCL.ZS
Row4,2005,5.446910163,Argentina,ARG,oil,EG.ELC.PETR.ZS
Row4,2015,15.42319446,Argentina,ARG,oil,EG.ELC.PETR.ZS
Row6,2005,1.291105402,Argentina,ARG,renewable,EG.ELC.RNWX.ZS
Row6,2015,1.898494036,Argentina,ARG,renewable,EG.ELC.RNWX.ZS
Row7,2005,79.52808664,Australia,AUS,coal,EG.ELC.COAL.ZS
Row7,2015,62.8716168,Australia,AUS,coal,EG.ELC.COAL.ZS
Row8,2005,6.704270255,Australia,AUS,hydroelectric,EG.ELC.HYRO.ZS
Row8,2015,5.296183545,Australia,AUS,hydroelectric,EG.ELC.HYRO.ZS
Row9,2005,10.42404761,Australia,AUS,natural gas,EG.ELC.NGAS.ZS
Row9,2015,20.79547797,Australia,AUS,natural gas,EG.ELC.NGAS.ZS
Row11,2005,1.244159109,Australia,AUS,oil,EG.ELC.PETR.ZS
Row11,2015,2.695064136,Australia,AUS,oil,EG.ELC.PETR.ZS
Row13,2005,2.099436384,Australia,AUS,renewable,EG.ELC.RNWX.ZS
Row13,2015,8.34165755,Australia,AUS,renewable,EG.ELC.RNWX.ZS
Row14,2005,2.665290435,Brazil,BRA,coal,EG.ELC.COAL.ZS
Row14,2015,4.722411339,Brazil,BRA,coal,EG.ELC.COAL.ZS
Row15,2005,83.72937204,Brazil,BRA,hydroelectric,EG.ELC.HYRO.ZS
Row15,2015,61.8484936,Brazil,BRA,hydroelectric,EG.ELC.HYRO.ZS
Row16,2005,4.667607863,Brazil,BRA,natural gas,EG.ELC.NGAS.ZS
Row16,2015,13.66624717,Brazil,BRA,natural gas,EG.ELC.NGAS.ZS
Row17,2005,2.445209201,Brazil,BRA,nuclear,EG.ELC.NUCL.ZS
Row18,2005,2.897529483,Brazil,BRA,oil,EG.ELC.PETR.ZS
Row18,2015,5.044253265,Brazil,BRA,oil,EG.ELC.PETR.ZS
Row20,2005,3.395255475,Brazil,BRA,renewable,EG.ELC.RNWX.ZS
Row20,2015,12.11841445,Brazil,BRA,renewable,EG.ELC.RNWX.ZS
Row21,2005,79.19611784,China,CHN,coal,EG.ELC.COAL.ZS
Row21,2015,70.30942695,China,CHN,coal,EG.ELC.COAL.ZS
Row22,2005,15.87772039,China,CHN,hydroelectric,EG.ELC.HYRO.ZS
Row22,2015,19.06981297,China,CHN,hydroelectric,EG.ELC.HYRO.ZS
Row23,2005,0.485589486,China,CHN,natural gas,EG.ELC.NGAS.ZS
Row23,2015,2.487030638,China,CHN,natural gas,EG.ELC.NGAS.ZS
Row24,2005,2.12312425,China,CHN,nuclear,EG.ELC.NUCL.ZS
Row25,2005,2.020143445,China,CHN,oil,EG.ELC.PETR.ZS
Row25,2015,0.165618383,China,CHN,oil,EG.ELC.PETR.ZS
Row27,2005,0.297304582,China,CHN,renewable,EG.ELC.RNWX.ZS
Row27,2015,4.857004208,China,CHN,renewable,EG.ELC.RNWX.ZS
Row28,2005,5.375431102,France,FRA,coal,EG.ELC.COAL.ZS
