"Birth_Place","Birthday","Gender","Loan_Expire_Date","Name_in_Chinese","Name_in_English","Name_Meaning","Panda_Order","Resident_Since","Status","Age_Year","Return_Date","Zoo","Age","Age_When_Loan_Expires","Age_When_Residence_Starts"
"Chengdu, China","09/01/2000","M","09/07/2023","##","Bing Xing","Ice star",1,"09/07/2007","in","20-year","Expected to return in 2023","Zoo Madrid","20.3","23.0","7.02"
"NA","9/16/2003","F","09/07/2023","##","Hua Zui Ba","Cutie lips",2,"09/07/2007","in","17-year","Expected to return in 2023","Zoo Madrid","17.3","20.0","3.98"
"Zoo Madrid","8/31/2016","F","09/07/2023","##","Chulina","Treasure of Bamboo",3,"8/31/2016","in","4-year","Expected to return in 2023","Zoo Madrid","4.31","7.02","0.0"
"Zoo Madrid","8/31/2016","F","09/07/2023","##","Chulina","Treasure of Bamboo",3,"8/31/2016","in","4-year","Expected to return in 2023","Zoo Madrid","4.31","7.02","0.0"
"Wolong, China","8/14/2003","M","12/04/2021","##","Yang Guang","Sunshine",4,"12/04/2011","in","17-year","Expected to return in 2021","Edinburgh Zoo","17.4","18.3","8.31"
"Beijing, China","8/24/2003","F","12/04/2021","##","Tian Tian","Sweetie",5,"12/04/2011","in","17-year","Expected to return in 2021","Edinburgh Zoo","17.3","18.3","8.28"
"Beijing, China","8/24/2003","F","12/04/2021","##","Tian Tian","Sweetie",5,"12/04/2011","in","17-year","Expected to return in 2021","Edinburgh Zoo","17.3","18.3","8.28"
"NA","09/06/2008","M","1/15/2022","##","Yuan Zi","Chubby",6,"1/15/2012","in","12-year","Expected to return in 2022","ZooParc de Beauval","12.3","13.4","3.36"
"Chengdu, China","08/10/2008","F","1/15/2022","##","Huan Huan","Joy",7,"1/15/2012","in","12-year","Expected to return in 2022","ZooParc de Beauval","12.4","13.4","3.43"
"ZooParc de Beauval","08/04/2017","M","08/04/2021","##","Yuan Meng","Accomplishment of a dream",8,"08/04/2017","in","3-year","Expected to return in 2021","ZooParc de Beauval","3.38","4.0","0.0"
"ZooParc de Beauval","08/04/2017","M","08/04/2021","##","Yuan Meng","Accomplishment of a dream",8,"08/04/2017","in","3-year","Expected to return in 2021","ZooParc de Beauval","3.38","4.0","0.0"
"Ya'an Bi Feng Xia, China","7/22/2009","M","NA","##","Xing Hui","Twinkling star",9,"2/23/2014","in","11-year","Expected to return in 2029","NA","NA","NA","NA"
"Ya'an Bi Feng Xia, China","07/07/2009","F","2/23/2029","##","Hao Hao","Cute",10,"2/23/2014","in","11-year","Expected to return in 2029","Pairi Daiza","11.5","19.6","4.64"
"NA","06/02/2016","M","NA","##","Tian Bao","Treasure of heaven",11,"06/02/2016","in","5-year","Loan expire date is unknown","Pairi Daiza","4.56","NA","0.0"
"Pairi Daiza","08/08/2019","M","08/08/2023","##","Bao Di","Little brother of Tian Bao",12,"08/08/2019","in","1-year","Expected to return in 2023","Pairi Daiza","1.37","4.0","0.0"
"Pairi Daiza","08/08/2019","F","08/08/2023","##","Bao Mei","Little sister of Tian Bao",13,"08/08/2019","in","1-year","Expected to return in 2023","Pairi Daiza","1.37","4.0","0.0"
"NA","08/05/2013","M","04/11/2032","##","##","##",14,"04/11/2017","in","7-year","Expected to return in 2032","NA","NA","NA","NA"
"Ya'an Bi Feng Xia, China","08/11/2013","F","04/11/2032","##","##","##",15,"04/11/2017","in","7-year","Expected to return in 2032","Ouwehands Dierenpark","7.37","18.7","3.67"
"Ouwehands Dierenpark Rhenen","05/01/2020","M","NA","##","Fan Xing","Van Gogh's The Starry Night",16,"05/01/2020","in","NA","Expected to return in 2024","Ouwehands Dierenpark","0.641","4.0","0.0"
"NA","07/10/2013","M","1/18/2033","##","Pyry (Hua Bao)","Snowfall",17,"1/18/2018","in","7-year","Expected to return in 2033","Ähtäri Zoo","7.45","19.5","4.53"
"Ya'an Bi Feng Xia, China","9/20/2014","F","1/18/2033","##","Lumi (Jin Baobao)","Snow",18,"1/18/2018","in","6-year","Expected to return in 2033","Ähtäri Zoo","6.26","18.3","3.33"
"NA","8/23/2013","M","04/04/2034","##","Xing Er","Star two",19,"04/04/2019","in","7-year","Expected to return in 2034","Zoo København","7.33","20.6","5.62"
"Chengdu, China","7/26/2014","F","NA","##","Mao Sun","Bamboo shoot",20,"04/04/2019","in","6-year","Expected to return in 2034","Zoo København","6.41","19.7","4.69"
"Chengdu, China","7/15/2010","M","6/23/2032","##","##","##",21,"6/23/2017","in","10-year","Expected to return in 2032","Zoo Berlin","10.4","22.0","6.95"
"Chengdu, China","07/10/2013","F","6/23/2032","##","Meng Meng","Sweet dream",22,"6/23/2017","in","7-year","Expected to return in 2032","Zoo Berlin","7.45","19.0","3.96"
"Zoo Berlin","8/31/2019","M","8/31/2023","##","Meng Xiang","Dream",23,"8/31/2019","in","1-year","Expected to return in 2023","Zoo Berlin","1.31","4.0","0.0"
"Zoo Berlin","8/31/2019","M","8/31/2023","##","Meng Yuan","Dreams come true",24,"8/31/2019","in","1-year","Expected to return in 2023","Zoo Berlin","1.31","4.0","0.0"
"Beijing, China","8/23/1999","M","NA","##","##","##",25,"4/16/2019","in","21-year","Loan expire date is unknown","Tiergarten Schönbrunn","21.3","NA","19.7"
