RowIDs,Year,Country_Name,Country_Code,Series_Name,Series_Code,Measure_KWH
Row0,2005,Argentina,ARG,coal,EG.ELC.COAL.ZS,2.066527002kwh
Row0,2015,Argentina,ARG,coal,EG.ELC.COAL.ZS,2.029567389kwh
Row1,2005,Argentina,ARG,hydroelectric,EG.ELC.HYRO.ZS,32.23402944kwh
Row1,2015,Argentina,ARG,hydroelectric,EG.ELC.HYRO.ZS,26.24157509kwh
Row2,2005,Argentina,ARG,natural gas,EG.ELC.NGAS.ZS,52.44618024kwh
Row2,2015,Argentina,ARG,natural gas,EG.ELC.NGAS.ZS,49.48226026kwh
Row3,2005,Argentina,ARG,nuclear,EG.ELC.NUCL.ZS,6.515247746kwh
Row4,2005,Argentina,ARG,oil,EG.ELC.PETR.ZS,5.446910163kwh
Row4,2015,Argentina,ARG,oil,EG.ELC.PETR.ZS,15.42319446kwh
Row6,2005,Argentina,ARG,renewable,EG.ELC.RNWX.ZS,1.291105402kwh
Row6,2015,Argentina,ÅRG,renewÅble,EG.ELC.RNWX.ZS,1.898494036kwh
Row7,2005,Australia,AUS,coÅl,EG.ELC.COAL.ZS,79.52808664kwh
Row7,2015,Australia,AUS,coal,EG.ELC.COAL.ZS,62.8716168kwh
Row8,2005,Australia,AUS,hydroelectric,EG.ELC.HYRO.ZS,6.704270255kwh
Row8,2015,Australia,AUS,hydroelectric,EG.ELC.HYRO.ZS,5.296183545kwh
Row9,2005,Australia,AUS,natural gas,EG.ELC.NGAS.ZS,10.42404761kwh
Row9,2015,Australia,AUS,natural gas,EG.ELC.NGAS.ZS,20.79547797kwh
Row11,2005,Australia,AUS,oil,EG.ELC.PETR.ZS,1.244159109kwh
Row11,2015,Australia,AUS,oil,EG.ELC.PETR.ZS,2.695064136kwh
Row13,2005,Australia,AUS,renewable,EG.ELC.RNWX.ZS,2.099436384kwh
Row13,2015,Australia,ÅUS,renewÅble,EG.ELC.RNWX.ZS,8.34165755kwh
Row14,2005,Brazil,BRA,coal,EG.ELC.COAL.ZS,2.665290435kwh
Row14,2015,Brazil,BRA,coal,EG.ELC.COAL.ZS,4.722411339kwh
Row15,2005,Brazil,BRA,hydroelectric,EG.ELC.HYRO.ZS,83.72937204kwh
Row15,2015,Brazil,BRA,hydroelectric,EG.ELC.HYRO.ZS,61.8484936kwh
Row16,2005,Brazil,BRA,natural gas,EG.ELC.NGAS.ZS,4.667607863kwh
Row16,2015,Brazil,BRÃ,natural gÃs,EG.ELC.NGAS.ZS,13.66624717kwh
Row17,2005,Brazil,BRA,nuclear,EG.ELC.NUCL.ZS,2.445209201kwh
Row18,2005,Brazil,BRA,oil,EG.ELC.PETR.ZS,2.897529483kwh
Row18,2015,Brazil,BRA,oil,EG.ELC.PETR.ZS,5.044253265kwh
Row20,2005,Brazil,BRA,renewable,EG.ELC.RNWX.ZS,3.395255475kwh
Row20,2015,Brazil,BRA,renewable,EG.ELC.RNWX.ZS,12.11841445kwh
Row21,2005,China,CHN,coal,EG.ELC.COAL.ZS,79.19611784kwh
Row21,2015,China,CHN,coal,EG.ELC.COAL.ZS,70.30942695kwh
Row22,2005,China,CHN,hydroelectric,EG.ELC.HYRO.ZS,15.87772039kwh
Row22,2015,China,CHN,hydroelectric,EG.ELC.HYRO.ZS,19.06981297kwh
Row23,2005,China,CHN,natural gas,EG.ELC.NGAS.ZS,0.485589486kwh
Row23,2015,China,CHN,natural gas,EG.ELC.NGAS.ZS,2.487030638kwh
Row24,2005,China,CHN,nuclear,EG.ELC.NUCL.ZS,2.12312425kwh
Row25,2005,China,CHN,oil,EG.ELC.PETR.ZS,2.020143445kwh
Row25,2015,China,CHN,oil,EG.ELC.PETR.ZS,0.165618383kwh
Row27,2005,China,CHN,renewable,EG.ELC.RNWX.ZS,0.297304582kwh
