"","Continent","Country","ISO_Code","Country_Code","Metric","Region","Date","Year","Population"
"1","Asia","Afghanistan","AFG",4,"Rural with sanitation","Southern Asia",1990-01-01,1990,12067.57
"2","Europe","Albania","ALB",8,"Rural with sanitation","Southern Europe",1990-01-01,1990,3281.453
"3","Africa","Algeria","DZA",12,"Rural with sanitation","Northern Africa",1990-01-01,1990,25912.364
"4","Europe","Andorra","AND",20,"Rural with sanitation","Southern Europe",1990-01-01,1990,54.511
"5","Africa","Angola","AGO",24,"Rural with sanitation","Middle Africa",1990-01-01,1990,11127.87
"6","North America","Anguilla","AIA",660,"Rural with sanitation","Caribbean",1990-01-01,1990,8.334
"7","North America","Antigua and Barbuda","ATG",28,"Rural with sanitation","Caribbean",1990-01-01,1990,61.906
"8","South America","Argentina","ARG",32,"Rural with sanitation","South America",1990-01-01,1990,32729.74
"9","Asia","Armenia","ARM",51,"Rural with sanitation","Western Asia",1990-01-01,1990,3544.695
"10","North America","Aruba","ABW",533,"Rural with sanitation","Caribbean",1990-01-01,1990,62.148
"11","Oceania","Australia","AUS",36,"Rural with sanitation","Australia and New Zealand",1990-01-01,1990,17096.869
"12","Europe","Austria","AUT",40,"Rural with sanitation","Western Europe",1990-01-01,1990,7706.571
"13","Asia","Azerbaijan","AZE",31,"Rural with sanitation","Western Asia",1990-01-01,1990,7216.503
"14","North America","Bahamas","BHS",44,"Rural with sanitation","Caribbean",1990-01-01,1990,256.338
"15","Asia","Bahrain","BHR",48,"Rural with sanitation","Western Asia",1990-01-01,1990,495.944
"16","Asia","Bangladesh","BGD",50,"Rural with sanitation","Southern Asia",1990-01-01,1990,105983.136
"17","North America","Barbados","BRB",52,"Rural with sanitation","Caribbean",1990-01-01,1990,260.374
"18","Europe","Belarus","BLR",112,"Rural with sanitation","Eastern Europe",1990-01-01,1990,10231.983
"19","Europe","Belgium","BEL",56,"Rural with sanitation","Western Europe",1990-01-01,1990,9978.241
"20","North America","Belize","BLZ",84,"Rural with sanitation","Central America",1990-01-01,1990,187.552
"21","Africa","Benin","BEN",204,"Rural with sanitation","Western Africa",1990-01-01,1990,5001.271
"22","North America","Bermuda","BMU",60,"Rural with sanitation","Northern America",1990-01-01,1990,60.931
"23","Asia","Bhutan","BTN",64,"Rural with sanitation","Southern Asia",1990-01-01,1990,535.505
"24","South America","Bolivia","BOL",68,"Rural with sanitation","South America",1990-01-01,1990,6856.246
"25","Europe","Bosnia and Herzegovina","BIH",70,"Rural with sanitation","Southern Europe",1990-01-01,1990,4526.996
"26","Africa","Botswana","BWA",72,"Rural with sanitation","Southern Africa",1990-01-01,1990,1379.814
"27","South America","Brazil","BRA",76,"Rural with sanitation","South America",1990-01-01,1990,150393.143
"28","North America","British Virgin Islands","VGB",92,"Rural with sanitation","Caribbean",1990-01-01,1990,16.459
"29","Asia","Brunei Darussalam","BRN",96,"Rural with sanitation","South-eastern Asia",1990-01-01,1990,256.939
"30","Europe","Bulgaria","BGR",100,"Rural with sanitation","Eastern Europe",1990-01-01,1990,8821.111
"31","Africa","Burkina Faso","BFA",854,"Rural with sanitation","Western Africa",1990-01-01,1990,8811.033
"32","Africa","Burundi","BDI",108,"Rural with sanitation","Eastern Africa",1990-01-01,1990,5613.141
"33","Asia","Cambodia","KHM",116,"Rural with sanitation","South-eastern Asia",1990-01-01,1990,9008.856
"34","Africa","Cameroon","CMR",120,"Rural with sanitation","Middle Africa",1990-01-01,1990,12070.359
"35","North America","Canada","CAN",124,"Rural with sanitation","Northern America",1990-01-01,1990,27662.44
"36","Africa","Cape Verde","CPV",132,"Rural with sanitation","Western Africa",1990-01-01,1990,341.256
"37","Africa","Central African Republic","CAF",140,"Rural with sanitation","Middle Africa",1990-01-01,1990,2937.832
"38","Africa","Chad","TCD",148,"Rural with sanitation","Middle Africa",1990-01-01,1990,5958.022
"39","South America","Chile","CHL",152,"Rural with sanitation","South America",1990-01-01,1990,13141.202
"40","Asia","China","CHN",156,"Rural with sanitation","Eastern Asia",1990-01-01,1990,1154605.773
"41","South America","Colombia","COL",170,"Rural with sanitation","South America",1990-01-01,1990,34271.563
"42","Africa","Comoros","COM",174,"Rural with sanitation","Eastern Africa",1990-01-01,1990,415.144
"43","Africa","Congo","COG",178,"Rural with sanitation","Middle Africa",1990-01-01,1990,2386.467
"44","Oceania","Cook Islands","COK",184,"Rural with sanitation","Polynesia",1990-01-01,1990,17.613
"45","North America","Costa Rica","CRI",188,"Rural with sanitation","Central America",1990-01-01,1990,3095.994
"46","Africa","Cote d'Ivoire","CIV",384,"Rural with sanitation","Western Africa",1990-01-01,1990,12165.909
"47","Europe","Croatia","HRV",191,"Rural with sanitation","Southern Europe",1990-01-01,1990,4776.374
"48","North America","Cuba","CUB",192,"Rural with sanitation","Caribbean",1990-01-01,1990,10582.082
"49","Asia","Cyprus","CYP",196,"Rural with sanitation","Western Asia",1990-01-01,1990,766.611
"50","Europe","Czech Republic","CZE",203,"Rural with sanitation","Eastern Europe",1990-01-01,1990,10323.701
"51","Africa","Democratic Republic of the Congo","COD",180,"Rural with sanitation","Middle Africa",1990-01-01,1990,34962.676
"52","Europe","Denmark","DNK",208,"Rural with sanitation","Northern Europe",1990-01-01,1990,5140.332
"53","Africa","Djibouti","DJI",262,"Rural with sanitation","Eastern Africa",1990-01-01,1990,588.356
"54","North America","Dominica","DMA",212,"Rural with sanitation","Caribbean",1990-01-01,1990,70.928
"55","North America","Dominican Republic","DOM",214,"Rural with sanitation","Caribbean",1990-01-01,1990,7183.646
"56","South America","Ecuador","ECU",218,"Rural with sanitation","South America",1990-01-01,1990,10218.085
"57","Africa","Egypt","EGY",818,"Rural with sanitation","Northern Africa",1990-01-01,1990,56397.273
"58","North America","El Salvador","SLV",222,"Rural with sanitation","Central America",1990-01-01,1990,5252.082
