"","COUNTRY","B2P_FISCAL_YEAR","TOTAL_PEOPLE_SERVED"
"1","Bolivia",2008,5000
"2","Bolivia",2012,11000
"3","Bolivia",2013,3540
"4","Bolivia",2014,2650
"5","Bolivia",2015,2508
"6","Bolivia",2016,2897
"7","Bolivia",2017,5278
"8","Bolivia",2018,8340
"9","Bolivia",2019,18169
"10","Rwanda",2012,22000
"11","Rwanda",2013,15400
"12","Rwanda",2014,17000
"13","Rwanda",2015,17300
"14","Rwanda",2016,62010
"15","Rwanda",2017,58000
"16","Rwanda",2018,22500
"17","Rwanda",2019,88394
"18","Uganda",2018,5280
"19","Uganda",2019,5852
"20","Uganda",2020,3083
