"","Home_Team","Total_Goals_Taken","Number_Games"
"1","Brazil",28,9
"2","Cameroon",18,6
"3","Korea Republic",18,7
"4","Argentina",17,8
"5","Spain",17,7
"6","USA",15,7
"7","Uruguay",13,5
"8","Japan",12,5
"9","Nigeria",12,4
"10","Saudi Arabia",12,5
"11","Denmark",11,3
"12","Germany",11,6
"13","Australia",9,3
"14","France",9,6
"15","Netherlands",8,4
"16","Sweden",8,5
"17","Costa Rica",7,2
"18","Haiti",7,1
"19","Honduras",7,4
"20","Italy",7,5
"21","Switzerland",7,2
"22","Algeria",6,3
"23","Belgium",6,4
"24","Bulgaria",6,2
"25","South Africa",6,2
"26","Soviet Union",6,2
"27","Colombia",5,2
"28","Northern Ireland",5,2
"29","Poland",5,3
"30","Portugal",5,3
"31","Romania",5,2
"32","Zaire",5,2
"33","Croatia",4,2
"34","Czech Republic",4,2
"35","England",4,2
"36","Greece",4,2
"37","Scotland",4,2
"38","Slovenia",4,2
"39","Togo",4,2
"40","Bolivia",3,1
"41","Chile",3,2
"42","Ecuador",3,1
"43","Ghana",3,2
"44","Hungary",3,1
"45","Iraq",3,2
"46","Jamaica",3,1
"47","Korea DPR",3,1
"48","Mexico",3,2
"49","Morocco",3,2
"50","Austria",2,2
"51","China PR",2,1
"52","German DR",2,1
"53","rn"">United Arab Emirates",2,1
"54","Slovakia",2,1
"55","Tunisia",2,1
"56","Yugoslavia",2,1
"57","Angola",1,1
"58","Canada",1,1
"59","Paraguay",1,1
"60","rn"">Serbia and Montenegro",1,1
"61","Senegal",1,1
"62","Serbia",1,1
