"CountryName","CountryCode","CountryNameInExtract","Region","LeastDevelopedCountries","LandlockedDevelopingCountries","SmallIslandDevelopingState","DevelopmentStatus","GlobalPeaceIndex","StateFragilityIndex","HDICategory","HDIScore","LifeExpectancyAtBirth","ExpectedYearsOfSchooling","MeanYearsOfSchooling","GNIperCapita"
"Guinea-Bissau","GNB","guinea-bissau","Western Africa","Least developed country",,"Small island developing State","developing country",2.264,17,"LOW HUMAN DEVELOPMENT",0.42,55.2,9.0,2.8,1362
"Haiti","HTI","haiti","Caribbean","Least developed country",,"Small island developing State","developing country",2.066,15,"LOW HUMAN DEVELOPMENT",0.483,62.8,8.7,4.9,1669
"Timor-Leste","TLS","timor-leste","South-Eastern Asia","Least developed country",,"Small island developing State","developing country",1.879,7,"MEDIUM HUMAN DEVELOPMENT",0.595,68.2,11.7,4.4,5363
"Cuba","CUB","cuba","Caribbean",,,"Small island developing State","developing country",2.057,5,"HIGH HUMAN DEVELOPMENT",0.769,79.4,13.8,11.5,7301
"Dominican Republic","DOM","dominican_republic","Caribbean",,,"Small island developing State","developing country",2.143,4,"HIGH HUMAN DEVELOPMENT",0.715,73.5,13.1,7.6,11883
"Guyana","GUY","guyana","South America",,,"Small island developing State","developing country",2.105,9,"MEDIUM HUMAN DEVELOPMENT",0.636,66.4,10.3,8.5,6522
"Jamaica","JAM","jamaica","Caribbean",,,"Small island developing State","developing country",2.091,3,"HIGH HUMAN DEVELOPMENT",0.719,75.7,12.4,9.7,7415
"Mauritius","MUS","mauritius","Eastern Africa",,,"Small island developing State","developing country",1.559,1,"HIGH HUMAN DEVELOPMENT",0.777,74.4,15.6,8.5,17470
"Papua New Guinea","PNG","papua_new_guinea","Melanesia",,,"Small island developing State","developing country",2.143,11,"LOW HUMAN DEVELOPMENT",0.505,62.6,9.9,4.0,2463
"Singapore","SGP","singapore","South-Eastern Asia",,,"Small island developing State","developing country",1.535,2,"VERY HIGH HUMAN DEVELOPMENT",0.912,83.0,15.4,10.6,76628
"Trinidad and Tobago","TTO","trinidad_and_tobago","Caribbean",,,"Small island developing State","developing country",2.056,4,"HIGH HUMAN DEVELOPMENT",0.772,70.4,12.3,10.9,26090
"Afghanistan","AFG","afghanistan","Southern Asia","Least developed country","Landlocked developing country",,"developing country",3.538,21,"LOW HUMAN DEVELOPMENT",0.465,60.4,9.3,3.2,1885
"Bhutan","BTN","bhutan","Southern Asia","Least developed country","Landlocked developing country",,"developing country",1.445,7,"MEDIUM HUMAN DEVELOPMENT",0.605,69.5,12.6,3.0,7176
