Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,229858719,2948.970797676256,3584083,45.981967312050976,467094,4713543,60.47236633469332,56188,0.7208635456627321,8096,
United States of America,Americas,42163561,12738.13,924872,279.42,122624,673728,203.54,12584,3.8,1959
India,South-East Asia,33563421,2432.12,216096,15.66,31923,446050,32.32,2122,0.15,282
Brazil,Americas,21247094,9995.84,227264,106.92,-573,591440,278.25,3643,1.71,485
The United Kingdom,Europe,7530107,11092.28,217420,320.27,33560,135621,199.78,974,1.43,166
Russian Federation,Europe,7354995,5039.93,140475,96.26,21438,201445,138.04,5610,3.84,820
Turkey,Europe,6932453,8219.74,193563,229.51,28168,62307,73.88,1666,1.98,242
France,Europe,6760265,10394.11,40861,62.83,6400,114133,175.48,379,0.58,55
Iran (Islamic Republic of),Eastern Mediterranean,5477229,6521.06,116842,139.11,17433,118191,140.72,2572,3.06,286
Argentina,Americas,5243231,11601.15,13383,29.61,1837,114579,253.52,763,1.69,61
Colombia,Americas,4943622,9715.69,10624,20.88,1373,125962,247.55,249,0.49,38
Spain,Europe,4940824,10438.52,14217,30.04,1391,86085,181.87,203,0.43,5
Italy,Europe,4645853,7789.63,27813,46.63,3963,130488,218.79,388,0.65,67
Indonesia,South-East Asia,4201559,1536.09,20250,7.4,2881,141114,51.59,1195,0.44,160
Germany,Europe,4171666,5016.03,56810,68.31,10696,93238,112.11,401,0.48,115
Mexico,Americas,3585565,2780.96,56593,43.89,12521,272580,211.41,3564,2.76,815
Poland,Europe,2900862,7642.27,4915,12.95,974,75537,199,73,0.19,14
South Africa,Africa,2884134,4862.92,14933,25.18,0,86216,145.37,748,1.26,0
Philippines,Western Pacific,2417419,2206.06,134488,122.73,15592,37228,33.97,1486,1.36,154
Ukraine,Europe,2370425,5420.13,38885,88.91,7866,55284,126.41,633,1.45,123
Peru,Americas,2168431,6576.61,6137,18.61,779,199060,603.73,220,0.67,24
Malaysia,Western Pacific,2142924,6620.91,111989,346.01,14990,24565,75.9,2556,7.9,487
Netherlands,Europe,1989805,11430.68,12876,73.97,1935,18132,104.16,42,0.24,4
Iraq,Eastern Mediterranean,1984399,4933.56,21135,52.55,2906,21949,54.57,318,0.79,38
Czechia,Europe,1687973,15784.39,3085,28.85,525,30448,284.72,16,0.15,2
Japan,Western Pacific,1683965,1331.45,26961,21.32,2845,17319,13.69,360,0.28,43
Chile,Americas,1648550,8623.84,3317,17.35,524,37379,195.54,118,0.62,5
Canada,Americas,1585732,4201.49,30611,81.11,3822,27488,72.83,225,0.6,54
Bangladesh,South-East Asia,1548320,940.15,10117,6.14,1144,27337,16.6,228,0.14,24
Thailand,South-East Asia,1524613,2184.26,90376,129.48,13256,15884,22.76,931,1.33,131
Israel,Europe,1249328,14433.85,42987,496.64,5921,7592,87.71,108,1.25,8
Pakistan,Eastern Mediterranean,1230238,556.94,17429,7.89,2333,27374,12.39,436,0.2,47
Belgium,Europe,1229236,10668.19,10632,92.27,8,25533,221.59,35,0.3,5
Romania,Europe,1172981,6068.55,37954,196.36,7095,35964,186.06,678,3.51,113
Sweden,Europe,1147879,11114.69,5080,49.19,883,14809,143.39,14,0.14,0
Portugal,Europe,1064025,10334.44,5678,55.15,891,17933,174.18,51,0.5,8
Kazakhstan,Europe,944733,5031.41,19709,104.97,2940,15503,82.57,472,2.51,0
Morocco,Eastern Mediterranean,923924,2503.14,15575,42.2,1702,14040,38.04,357,0.97,31
Serbia,Europe,886543,12798.91,48031,693.42,7201,7885,113.83,252,3.64,39
Switzerland,Europe,826706,9552.2,8124,93.87,0,10585,122.3,20,0.23,0
Cuba,Americas,825351,7286.83,56854,501.95,7151,6978,61.61,455,4.02,59
Hungary,Europe,819547,8388.81,2867,29.35,526,30145,308.56,27,0.28,2
Jordan,Eastern Mediterranean,816574,8003.17,7131,69.89,1028,10637,104.25,69,0.68,4
Nepal,South-East Asia,788769,2707.12,6780,23.27,941,11072,38,70,0.24,13
United Arab Emirates,Eastern Mediterranean,733643,7417.73,2900,29.32,318,2080,21.03,12,0.12,2
Austria,Europe,725163,8146.92,12791,143.7,2089,10707,120.29,65,0.73,12
Viet Nam,Western Pacific,718963,738.62,73323,75.33,11527,17781,18.27,1595,1.64,236
Tunisia,Eastern Mediterranean,702503,5944.04,5082,43,1696,24654,208.6,271,2.29,101
Greece,Europe,638921,5960.88,16160,150.77,2325,14575,135.98,264,2.46,27
Lebanon,Eastern Mediterranean,619950,9082.92,5262,77.09,718,8253,120.92,43,0.63,7
Georgia,Europe,602065,15092.47,12338,309.29,1653,8711,218.37,321,8.05,47
Saudi Arabia,Eastern Mediterranean,546735,1570.45,484,1.39,54,8679,24.93,39,0.11,7
Guatemala,Americas,533744,2979.22,13758,76.79,0,13115,73.2,256,1.43,0
Belarus,Europe,522275,5527.12,13761,145.63,1989,4041,42.76,88,0.93,13
Costa Rica,Americas,513384,10077.98,16648,326.81,2731,6098,119.71,247,4.85,42
Sri Lanka,South-East Asia,508672,2375.5,9978,46.6,0,12376,57.8,559,2.61,0
Ecuador,Americas,507020,2873.77,1392,7.89,0,32661,185.12,170,0.96,0
Bolivia (Plurinational State of),Americas,497676,4263.47,2064,17.68,290,18672,159.96,69,0.59,8
Bulgaria,Europe,487588,7014.16,10427,150,850,20251,291.32,442,6.36,27
Azerbaijan,Europe,476409,4698.7,11019,108.68,1356,6370,62.83,175,1.73,17
