Country of Origin,Female,Male,Transgender,Total,2013 - 2014 % Change
Albania,317,15,0,332,57%
Nigeria,166,24,0,190,23%
Romania,55,79,0,134,79%
Vietnam,43,64,0,107,2%
Poland,20,58,0,78,-5%
China,44,31,0,75,25%
Lithuania,20,44,0,64,10%
Slovakia,27,33,0,60,20%
United Kingdom,22,34,0,56,107%
Hungary,20,27,0,47,-35%
Czech Republic,12,27,0,39,26%
Eritrea,26,9,0,35,775%
India,17,18,0,35,133%
Ghana,18,7,0,25,32%
Bulgaria,8,16,0,24,300%
Ethiopia,22,1,0,23,229%
Uganda,21,2,0,23,-32%
Kenya,21,1,0,22,83%
Pakistan,9,10,1,20,-23%
Philippines,18,1,0,19,6%
Bangladesh,5,13,0,18,125%
Cameroon,11,6,0,17,89%
Portugal,3,11,0,14,1300%
Thailand,13,0,0,13,18%
Sierra Leone,11,1,0,12,-8%
Sri Lanka,9,3,0,12,71%
Indonesia,12,0,0,12,50%
Sudan,1,10,0,11,1000%
Latvia,5,5,0,10,-82%
Malawi,10,0,0,10,150%
Afghanistan,2,6,0,8,N/A
Zimbabwe,7,1,0,8,60%
Gambia,8,0,0,8,0%
Jamaica,5,1,0,6,200%
Burma,3,3,0,6,500%
Somalia,4,1,0,5,67%
Iran,3,2,0,5,0%
Nepal,3,2,0,5,400%
Syria,1,3,0,4,N/A
Liberia,4,0,0,4,300%
Ukraine,1,3,0,4,300%
Democratic Republic of the Congo,3,0,0,3,-40%
Morocco,3,0,0,3,0%
Guinea,2,1,0,3,-25%
Brazil,2,0,1,3,N/A
Kosovo,3,0,0,3,50%
Russia,2,1,0,3,50%
Egypt,1,1,0,2,100%
Iraq,2,0,0,2,N/A
Ivory Coast,2,0,0,2,-67%
South Africa,1,1,0,2,-33%
Zambia,2,0,0,2,-60%
Bhutan,2,0,0,2,N/A
Bolivia,1,1,0,2,100%
North Korea,2,0,0,2,100%
Senegal,2,0,0,2,N/A
Angola,1,0,0,1,-75%
Mali,1,0,0,1,0%
Namibia,1,0,0,1,0%
Guinea Bissau,1,0,0,1,N/A
Ireland,0,1,0,1,0%
Kuwait,0,1,0,1,N/A
Malaysia,1,0,0,1,-67%
Not known,1,0,0,1,N/A
Spain,0,1,0,1,-50%
Algeria,1,0,0,1,-50%
Australia,1,0,0,1,N/A
Burundi / Tanzania,1,0,0,1,0%
DRC naturalised as United Kingdom,0,1,0,1,N/A
Estonia,1,0,0,1,N/A
Ethiopia / Eritrea,1,0,0,1,N/A
Guyana,1,0,0,1,N/A
Honduras,1,0,0,1,N/A
Italy,1,0,0,1,0%
Ivory Coast/Ghana,1,0,0,1,N/A
Lao People's Democratic Republic,0,1,0,1,-50%
Madagascar,1,0,0,1,N/A
Mexico,1,0,0,1,N/A
Mongolia,1,0,0,1,-67%
Norway,1,0,0,1,N/A
Rwanda,1,0,0,1,-67%
Saint Vincent and the Grenadines,1,0,0,1,N/A
Saudi Arabia,0,1,0,1,N/A
Serbia,1,0,0,1,N/A
St Lucia,1,0,0,1,N/A
Tanzania,1,0,0,1,-50%
Togo,1,0,0,1,0%
Trinidad & Tobago,1,0,0,1,0%
UK/Nigerian,1,0,0,1,0%
Total,"1,084",583,2,"1,669",
