Producing countries,Consuming countries,GHG emissions 
Indonesia,United States,26.32
Brazil,United States,2.46
Malaysia,United States,1.64
Australia,United States,4.07
Mexico,United States,4.66
Indonesia,European Union,57.61
Brazil,European Union,16.60
Malaysia,European Union,6.04
Australia,European Union,0.99
Mexico,European Union,0.34
Indonesia,Japan,18.47
Brazil,Japan,2.79
Malaysia,Japan,2.34
Australia,Japan,6.07
Mexico,Japan,0.17
Indonesia,China,47.55
Brazil,China,64.97
Malaysia,China,7.86
Australia,China,4.28
Mexico,China,0.20
Indonesia,India,72.95
Brazil,India,0.75
Malaysia,India,5.05
Australia,India,1.06
Mexico,India,0.05
Indonesia,Pakistan,24.37
Brazil,Pakistan,0.85
Malaysia,Pakistan,1.93
Australia,Pakistan,0.12
Mexico,Pakistan,0.04
